Temperature (K),Effusion rate (D2/cm^2/s)
539.6512, 1.1116e-9
559.186, 4.1127e10
580.1163, 9.6705e10
600.3488, 2.0564e11
620.5814, 3.4125e11
648.4884, 6.1802e11
669.4186, 8.6145e11
689.6512, 1.0482e12
709.8837, 1.1816e12
721.7442, 1.2227e12
740.5814, 1.1382e12
757.3256, 9.7928e11
777.5581, 7.7142e11
798.4884, 5.1243e11
818.7208, 3.268e11
838.2558, 2.312e11
859.186, 1.4895e11
879.4186, 8.8924e10
898.2558, 6.1135e10
920.5814, 4.5574e10
