x (cm),x error (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV),J_sat (A/cm^2),J_sat error (A/cm^2),V_sat (eV),V_sat error (eV),synthetic
-5.01228,0.4585503620709897,4243056207.885883,10208757865.36375,2.539207818518456,3.2219634050643524,-0.0003557565697645,0.0061890412893469,0.2678501552096491,9.063258843969829,True
-4.85775,0.3014854470846951,15912169665.250404,12966714105.6344,1.9548325279879988,2.1659900526159257,-0.0011990416820425,0.0040968533036743,0.9399562774557978,4.606233963027434,True
-4.70475,0.1133832959297611,8059734766.172528,11234303187.190125,2.0968903416264855,1.7915889052429232,-0.0006246568413075,0.0050632964635445,0.3663232814894989,3.969195965963461,True
-4.586939999999999,0.2480330111044466,17091698439.1738,11375175253.064745,2.896363780435714,1.782996174975371,-0.0015149080284856,0.0049566708001643,3.415286139923118,3.67318038054867,True
-4.45995,0.4689288836888092,12653562053.105646,11284387466.141493,3.480811681619766,2.0771135347268848,-0.0012142065208463,0.0090841410899528,1.711879872036675,4.8074964172530255,True
-4.320719999999999,0.3220293646773634,19774115562.590324,12562787865.885908,2.7484828783173696,1.7692327292933083,-0.0017140808545666,0.007964926308935,0.1781475068398699,3.707024952520688,True
-4.149359999999999,0.106933581722565,13568308229.74733,13550611202.089985,2.6702582857119515,2.116027601878195,-0.0011618952309534,0.0105271207670808,-1.5843833978846384,4.542853975474056,True
-4.028489999999999,0.2995260284438285,23661443049.82552,16753924638.083694,1.4372247165141516,0.9894571452158348,-0.0015838905711005,0.0081702649781111,-3.4565661033462405,1.6659478847794085,True
-3.896909999999999,0.4288845577883372,9045224768.222364,12583526444.967691,2.318218236409071,1.7433203826956811,-0.0007302988535125,0.0097132276816652,-2.808896117802132,4.424298056680057,True
-3.740849999999999,0.192526070714409,23404110764.00593,13797870066.203115,3.4068847792110826,2.178910764942622,-0.0022248533584264,0.0110369993767423,0.6714787805141833,4.728801318466046,True
-3.5817299999999994,0.2023514712844999,8600101783.597807,11544441579.882845,2.1574705755955423,1.5935890237356545,-0.0006742667883971,0.008661240008841,-3.302469539537296,3.944158672199338,True
-3.4746300000000003,0.4303376763976194,24523624578.148895,15054271671.325348,2.1303105885327116,1.1652660301611486,-0.0019128553099014,0.0089893387877821,-1.7791484535722146,2.1732833121630417,True
-3.3170399999999995,0.2492910491234043,20063382130.61121,14287773477.280176,2.7940084015409217,1.351283030951986,-0.0017512995709863,0.0122693724897976,-1.8594662993881024,2.867702098292071,True
-3.1518000000000006,0.1896708274278359,19197574745.070644,13553201600.43514,4.0848499668098475,2.1335307622082036,-0.0019769827347494,0.0146366811965719,1.167457891753489,4.928706337153839,True
-3.0324599999999995,0.4746573857498782,21523524735.779247,13959851910.260986,3.2588689713246475,1.4633976552573436,-0.0020069471330095,0.0133007104453779,-0.9078668591080268,3.1619484395552964,True
-2.9574900000000004,0.2732437617668987,44285796784.911674,4822621434.515814,5.591576907049986,0.8759261477585616,-0.0052568220252312,0.0134973360666823,-15.044807217707309,1.2796502185988992,False
-2.8167300000000006,0.2707157114428274,44101857354.466934,2187777122.077336,4.5462790690477926,0.4432172496624549,-0.0047647098313389,0.0029255879343141,-14.856825284900877,0.9061411947473664,False
-2.6775000000000007,0.2774635129474773,50206621609.25567,2823675620.754123,5.337143039452407,0.549913942642215,-0.0058338480322613,0.0055162321139905,-16.128272958869264,0.8420735971899607,False
-2.54592,0.2899446883942074,54555462020.84131,2578999047.0053873,5.5590034696416435,0.4987343194585278,-0.0064585166545912,0.0047186179220207,-16.650971312508993,0.7938131823689751,False
-2.38221,0.2775313192339185,58493666174.73345,2873142868.3736463,5.98230604587237,0.5208564951031249,-0.0071625481257605,0.0068698036441976,-17.283923709956106,0.8307027522067756,False
-2.2491000000000003,0.315627565421679,63531800454.54646,5155897037.088649,6.564926188254009,0.7127011359448234,-0.0081215500068828,0.0184604985657607,-16.456799814680778,1.0545200103077796,False
-2.0976300000000005,0.2759392234251011,76493052925.43567,14935272706.711603,7.112099743258194,1.091997007955265,-0.0101500498396282,0.0650591670816153,-14.045945591841242,2.2101383881643653,False
