x (cm),x error (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV),J_sat (A/cm^2),J_sat error (A/cm^2),V_sc (eV),V_sc error (eV),synthetic
-6.23322,0.3541713830900778,1664666876.2853658,1131239409.9368005,0.6370079692005535,1.342807785567574,-8.567959045422846e-05,0.0001507210115073,-3.035861728353779,2.0983660925541106,True
-6.08175,0.2422038735661414,2976046803.592405,27317698561.595524,0.3157094959622938,2.4559555570157863,-0.0001297405712025,0.0040845965257434,-2.3834910104863263,3.9474327729087473,True
-5.9532300000000005,0.2336564136579403,19487829074.22018,42295424050.693886,0.3356038103147304,2.131680734541739,-0.0008598683371688,0.0050135604233158,-2.1931061515863153,3.892250701942152,True
-5.809410000000001,0.3591622281305411,47730895790.97938,126197210170.8096,0.2834450985417316,3.902451564294786,-0.0020392579243469,0.0060622619847295,-2.9964530122488373,13.549296990070646,True
-5.6548799999999995,0.3673137927926286,8367468103.663286,41682341069.08976,0.1157336838170156,1.2243433986461072,-0.0003169266874254,0.006642246072653,-3.831149894830155,0.8851942352708431,True
-5.52789,0.167422012633262,72881915420.28622,119608628002.6003,0.1137874141878304,1.8755745072644356,-0.0027561132371251,0.0063069163211418,-3.921760119487088,6.529496611577307,True
-5.413139999999999,0.2216838068952125,8436312228.246714,26730102995.773148,0.5645120658763816,0.9787801112103648,-0.0004201421257124,0.0056770445419017,-2.5000611997604034,2.17534416308147,True
-5.27391,0.406762514569402,33288430395.160824,22547800012.12071,3.488284667549405,2.73955576557868,-0.0032088889077227,0.0109211792227083,4.68376540476433,6.4010852482104,True
-5.1056099999999995,0.3888256488869129,12817228650.74709,26971234478.254807,1.6079979851103374,1.7886630283478795,-0.0008982506026165,0.0136077681621151,-2.4626719379117037,4.260378807312256,True
-4.97097,0.1912620688421841,30129393720.449284,24368560285.28156,3.395558711359954,1.9469329650879792,-0.0028704075213063,0.0177389055112924,2.1996393234892793,4.272050482246552,True
