x (cm),x error (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV),J_sat (A/cm^2),J_sat error (A/cm^2),V_sat (eV),V_sat error (eV),synthetic
-6.840629999999999,0.4635589284942872,18904426623.352848,59017322334.00772,0.1066276798288859,2.6068560549654363,-0.0007107107928192,0.0096912907842332,-5.719826791394546,4.446104762266633,True
-6.661619999999999,0.3528144167484792,15930284425.753963,44781060931.71674,0.4228102477256171,2.8388293998145495,-0.0007386658546103,0.0109367953827157,-4.994117275400942,3.8998848535141497,True
-6.53769,0.2545731656695261,29675591706.01602,43484365884.290146,0.3516101218543007,1.2937822796821838,-0.0013218679843643,0.0100746224350124,-4.986537100075145,2.034296442258148,True
-6.40917,0.3414354873988822,21370773978.455284,36495657954.217445,1.5321892220635287,2.266137890352273,-0.001470518906519,0.0189640524142354,-3.347421194022271,4.158315055473029,True
-6.2102699999999995,0.4276117175298444,26320992492.64206,37262639856.65319,2.5319211855751864,2.3030470200536715,-0.002212226063845,0.0279429177369775,-1.6247547198330865,5.135211747977116,True
-6.0893999999999995,0.3354844947255861,35834785010.074814,39072274793.17509,3.313394982921105,2.343070097644329,-0.0033777615548366,0.0369131034030812,-0.4743022339761761,5.2526856544586735,True
-5.94558,0.2694650980933689,40968949960.42292,34154612318.440727,4.5751174917452175,1.84178880908304,-0.0044549842513121,0.0449255168413833,1.3611655665645224,5.066556987712522,True
-5.77575,0.3158319611562992,48649154984.287285,37457514542.801025,4.2375134621529105,1.814137147525961,-0.005111152267394,0.0508076945870486,-0.5952969745772342,4.578362239656595,True
-5.68089,0.3369356796562663,48367145219.72846,41071239012.8685,5.931003365802122,2.2911329257891753,-0.0059204962828209,0.0800302118184436,1.5291223264129146,6.78071214750102,True
-5.530950000000001,0.3097820192336506,52373859829.17994,45674977847.80551,3.4813745983692876,1.5775898602106575,-0.0050442823954028,0.0561773094350129,-2.643785990945089,4.072015134902035,True
-5.414669999999999,0.3059095293432484,52717997292.22982,45470672462.97576,4.78767319328498,2.1791582298348944,-0.0058513960722892,0.0852306197850227,-3.018473258263808,5.87121848475801,True
-5.27544,0.3282736937355687,63831918675.874565,48249955871.44767,8.014748359724036,2.8083184384536164,-0.00899067082524,0.1214580821640072,5.741511277283243,8.160942100778007,True
-5.142329999999999,0.3379612470675329,61321577264.01618,53625117403.37254,8.466211149708615,2.7237661850617556,-0.0088631089424557,0.1617008941846778,4.225456083028805,9.358541767471689,True
-4.96485,0.3232869740704394,86343883988.15262,62058915682.25783,9.42952599262102,3.161566154847483,-0.0131330055758382,0.1850386567962185,8.1918838092142,9.26054108715373,True
-4.85163,0.3314224140035068,79387511374.58727,73097290946.14067,7.543516446429772,2.73540930860457,-0.0108678454727099,0.2083572808443273,1.4543723901235344,8.77770672916668,True
