Sample,Date,T_e (eV),n_e 10^18 (/m^3),phi_i 10^22 (/m^3/s),E_i (eV),Temp (K),S_B_ion (cm^3/s),B ionisation rate (1/s),vth_B (cm/s),B mean free path (cm),S_k BH (cm^3/s),B-H ionisation rate (1/s),BH mean free path (cm)
Boron rod,2024/08/15,5.85,0.212,0.2125,62.6,458,1.1510424999999998e-08,2440.2100999999993,87696.8832766659,35.93825108611178,9.938811752827273e-09,2107.0280915993817,41.03061847237918
Boron pebble rod,2024/08/27,5.3,0.2475,0.2375,61.25,472,9.277149999999999e-09,2296.0946249999997,87696.8832766659,38.1939325678557,7.861110757027167e-09,1945.624912364224,43.60592482356699
