Temperature (K),Evaporation rate (atoms/cm^2/s)
1870.1596, 2.2295e15
1928.705, 4.1072e15
1958.5996, 8.81e15
2017.1101, 1.8336e16
2095.1023, 5.2588e16
2197.2458, 1.2185e17
