x (cm),x error (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV),J_sat (A/cm^2),J_sat error (A/cm^2),V_sat (eV),V_sat error (eV),synthetic
-4.83633,0.2484021092864893,7502360154.660782,19056483609.91799,0.1002824953950515,0.7431003175856734,-0.000280571812737,0.0006950922383533,0.2006860070007938,0.8060153422935741,True
-4.709339999999999,0.3132558375228972,17150486255.525644,23760702774.870884,0.1730914165396989,0.9124821733143242,-0.0006791750971999,0.0008657332280174,0.1714013135148324,1.1314672418942058,True
-4.56705,0.3213301802261161,16158229373.232536,17430766281.821754,0.8393935593416125,1.1732157094495763,-0.000902643297276,0.0018126845272849,0.7382378654344767,2.035602638742813,True
-4.41558,0.1987368952681163,22492893237.327976,20352389857.719906,0.9747143379048304,0.9386055960480596,-0.0013184618346278,0.0022955508294401,1.1234138215878773,1.590990797407809,True
-4.27788,0.2845846081708217,34351997432.67753,24019071666.709103,0.9812195877510376,0.9566048420172318,-0.002018041102653,0.0025574181041839,1.1512245979407991,1.719993716968956,True
-4.152419999999999,0.3574513376019832,44907813557.390656,27227568847.4774,0.9006322449350422,0.8047831575112913,-0.0025653832848826,0.0025594934264541,1.1125312217469427,1.4059663526640125,True
-4.004009999999999,0.3079382065550559,43911325314.50123,27860775665.355156,1.0223271277022752,0.609372624320502,-0.0026151633900921,0.0046077535962669,0.3108599874484021,1.0091527577627362,True
-3.85407,0.1768280560289195,58756674907.07948,32917467014.33262,1.0756058693659447,0.7554727550790481,-0.0035599942399666,0.0059978658863258,0.039367674341267,1.353304546794875,True
-3.7041299999999993,0.2693656095426276,54376381910.81185,35149958056.18064,2.2675400493134283,0.9954441104085524,-0.0043664204662052,0.0139905437176917,1.7321505864719826,2.0488919642612853,True
-3.5801999999999996,0.4378742809290381,60001382696.69788,34327666792.98249,3.1207382312293026,0.8301728897717728,-0.0055109708270124,0.0200944948010445,2.9293222798946745,2.092169625338359,True
-3.427200000000001,0.3071352349216254,65095275804.569176,43844217579.849625,2.2315445838473176,0.9790570315842646,-0.0051930428688041,0.0202570780902133,0.7620150876229528,2.037058371478285,True
