# ******** Mean D flux on the sample **********
# Gamma_D_mean: 1.363E+17 -/+ 3.411E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 4.006E+00 -/+ 1.003E+00 eV
# ************ Lorentzian fit to n_e ************
# amplitude:  3.351E+11 -/+ 5.756E+10 (1/cm^3)
# gamma:      2.979 -/+ 0.763 (cm)
# center:     0.00 (cm)
# yoffset:     -6.962E+10 -/+ 6.368E+10 (1/cm^3)
# ************ Gaussian fit to T_e ************
# A:          3.168E+00 -/+ 9.211E-01 (1/cm^3)
# sigma:      0.743 -/+ 0.278 (cm)
# mu:         0.00 (cm)
# baseline:   1.181E+00 -/+ 2.901E-01 (1/cm^3)
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,49931347832.975174,11898063169.258528,1.1810162022782749,0.3439645067232088
-3.959798994974874,51489322284.130905,11667300922.121471,1.1810167347566416,0.3439621200227227
-3.919597989949749,53072077282.33699,11449797090.82252,1.1810174382470626,0.34395903397962396
-3.879396984924623,54679955626.185776,11246388668.816135,1.1810183648559056,0.34395505679982075
-3.8391959798994977,56313297780.59259,11057885235.38381,1.1810195816463416,0.3439499480747844
-3.798994974874372,57972441247.64429,10885053297.6948,1.1810211746444592,0.3439434076151426
-3.758793969849246,59657719892.50476,10728599242.74852,1.1810232538329786,0.3439350620411687
-3.7185929648241207,61369463222.09248,10589151387.992722,1.1810259593519001,0.3439244487669023
-3.678391959798995,63107995614.185165,10467241781.636412,1.1810294691676733,0.3439109969800155
-3.6381909547738696,64873635494.54889,10363288542.277664,1.1810340085212099,0.34389400518933977
-3.5979899497487438,66666694459.639786,10277579619.179628,1.1810398615209068,0.3438726148897191
-3.557788944723618,68487476342.381454,10210258877.623299,1.1810473853102974,0.34384577988428333
-3.5175879396984926,70336276218.48723,10161315352.829279,1.1810570273115075,0.3438122308135722
-3.477386934673367,72213379350.76903,10130576366.434624,1.181069346125653,0.3437704344772604
-3.4371859296482414,74119060068.86064,10117704970.6532,1.1810850367598438,0.3437185476078874
-3.3969849246231156,76053580581.7813,10122201900.093914,1.1811049609474586,0.3436543648800705
-3.35678391959799,78017189720.77663,10143411903.363049,1.1811301834333925,0.34357526112952896
-3.3165829145728645,80010121609.90596,10180534034.17485,1.181162015208316,0.34347812803404293
-3.2763819095477387,82032594261.8896,10232635240.107977,1.1812020647942922,0.34335930589781366
-3.2361809045226133,84084808096.80104,10298666422.410921,1.1812522988066092,0.34321451171110884
-3.1959798994974875,86166944381.28099,10377480064.919592,1.1813151131408755,0.3430387653636017
-3.1557788944723617,88279163586.0685,10467848542.447304,1.1813934162571094,0.3428263168132685
-3.115577889447236,90421603659.79274,10568482305.152151,1.1814907261496457,0.34257057819991243
-3.0753768844221105,92594378217.14864,10678047273.93841,1.18161128269821,0.34226406639596
-3.035175879396985,94797574639.795,10795180948.800358,1.181760177185543,0.3418983633649342
-2.9949748743718594,97031252088.56676,10918506904.78109,1.1819435008334624,0.34146410401167815
-2.9547738693467336,99295439425.88933,11046647511.14866,1.1821685142442455,0.34095100402140693
-2.914572864321608,101590133047.62456,11178234846.725492,1.1824438396286192,0.34034794355850595
-2.8743718592964824,103915294623.9662,11311919892.149456,1.1827796776454562,0.3396431266844606
-2.834170854271357,106270848749.45,11446380157.194609,1.1831880505606294,0.33882434099405745
-2.7939698492462313,108656680502.63972,11580325950.579168,1.1836830732419017,0.3378793472643973
-2.7537688442211055,111072632916.61427,11712505525.40619,1.1842812532312472,0.3367964348093045
-2.7135678391959797,113518504362.00548,11841709340.789583,1.1850018207636965,0.33556518458086304
-2.6733668341708543,115994045845.02812,11966773674.533745,1.1858670891209537,0.33417748854248563
-2.633165829145729,118498958223.70967,12086583807.576805,1.1869028451078616,0.3326288798614019
-2.592964824120603,121032889346.36543,12200076982.054193,1.1881387687108513,0.3309202329924157
-2.5527638190954773,123595431117.28004,12306245314.157124,1.189608880132434,0.32905989399789415
-2.5125628140703515,126186116495.55342,12404138822.481052,1.191352011389977,0.3270662966261028
-2.472361809045226,128804416434.1454,12492868713.600925,1.193412298519402,0.32497110429860004
-2.4321608040201004,131449736767.31154,12571611049.921888,1.1958396891383043,0.32282288557966915
-2.391959798994975,134121415055.86653,12639610910.750458,1.1986904587067464,0.32069127156574584
-2.351758793969849,136818717401.03322,12696187146.005968,1.2020277272919357,0.31867144601388325
-2.3115577889447234,139540835239.04004,12740737812.786867,1.2059219670160592,0.31688867016556743
-2.271356783919598,142286882130.10815,12772746377.669016,1.2104514886728357,0.315502335607936
-2.2311557788944723,145055890557.02448,12791788761.499563,1.2157028942735928,0.31470877649496337
-2.190954773869347,147846808750.10962,12797541297.706633,1.2217714805714266,0.31474179548519726
-2.150753768844221,150658497557.06982,12789789668.658876,1.2287615769636648,0.31586965663882305
-2.1105527638190953,153489727377.93805,12768438875.907927,1.2367867996472364,0.31838732518962004
-2.07035175879397,156339175187.07123,12733524287.282907,1.2459702025643096,0.32260317112081527
-2.030150753768844,159205421665.9408,12685223784.18089,1.2564443045979659,0.32882031628563163
-1.9899497487437188,162086948472.2354,12623871002.560652,1.2683509717353507,0.33731419028270915
-1.949748743718593,164982135672.55212,12549969616.571129,1.2818411325865036,0.34830924254435097
-1.9095477386934672,167889259367.67255,12464208548.591003,1.2970743058088763,0.36195849142206243
-1.8693467336683418,170806489541.0708,12367477896.4078,1.314217918715625,0.37832917295399476
-1.829145728643216,173731888162.86017,12260885238.546928,1.3334463977096294,0.3973962247610865
-1.7889447236180902,176663407582.81104,12145771802.480402,1.3549400132453775,0.4190433542456772
-1.7487437185929648,179598889247.3484,12023727747.628834,1.3788834648253652,0.44306985272067073
-1.708542713567839,182536062776.50427,11896605517.721167,1.4054641951183848,0.46920065939159017
-1.6683417085427137,185472545437.64026,11766529852.849133,1.4348704266564454,0.4970974296512198
-1.6281407035175879,188405842053.31476,11635902629.530407,1.4672889197145502,0.5263691261212222
-1.587939698492462,191333345380.91003,11507400245.91631,1.502902455866991,0.5565814897166697
-1.5477386934673367,194252337001.51343,11383960847.142584,1.5418870582809454,0.5872653903796514
-1.507537688442211,197159988755.0238,11268758390.131851,1.584408966959034,0.6179244262112243
-1.4673366834170856,200053364757.4796,11165160519.242685,1.6306213947528096,0.6480422795055569
-1.4271356783919598,202929424035.14832,11076667641.23746,1.6806610978845458,0.6770903320545621
-1.386934673366834,205785023807.9284,11006831632.83252,1.7346448027521126,0.7045359648080471
