,Photon Energy (eV),Reflectivity
0,0.012,98.7204
1,0.03201450725362681,96.6585626470378
2,0.052029014507253626,92.26652499407598
3,0.07204352176088044,90.18281123061533
4,0.09205802901450726,78.66728661330666
5,0.11207253626813407,81.4362324412206
6,0.1320870435217609,73.7724336068034
7,0.15210155077538773,70.64239319365565
8,0.17211605802901453,69.30738586793396
9,0.19213056528264133,65.5184673807492
10,0.21214507253626816,63.22221473678016
11,0.232159579789895,61.60605925571481
12,0.2521740870435218,60.503475220943805
13,0.2721885942971486,59.54255648935579
14,0.29220310155077545,57.96434617308653
15,0.31221760880440225,57.17628278806069
16,0.33223211605802905,56.579316751709186
17,0.35224662331165585,55.98235071535768
18,0.37226113056528265,55.23093104052026
19,0.3922756378189095,54.443860542771375
20,0.4122901450725363,53.6319196098049
21,0.4323046523261631,52.78480559029515
22,0.45231915957978996,52.2552521288422
23,0.47233366683341677,51.92406762964815
24,0.49234817408704357,51.59288313045411
25,0.5123626813406704,51.2598032182758
26,0.5323771885942972,50.82402068034017
27,0.552391695847924,50.38823814240453
28,0.5724062031015509,49.9549866022052
29,0.5924207103551776,49.64391180864405
30,0.6124352176088045,49.33283701508288
31,0.6324497248624312,49.02176222152172
32,0.6524642321160581,48.751270541634455
33,0.6724787393696849,48.54901484833325
34,0.6924932466233117,48.34675915503206
35,0.7125077538769385,48.144503461730864
36,0.7325222611305653,47.94224776842967
37,0.7525367683841921,47.73999207512847
38,0.772551275637819,47.540199122955975
39,0.7925657828914457,47.34075180388359
40,0.8125802901450726,47.141304484811215
41,0.8325947973986995,46.94185716573884
42,0.8526093046523262,46.74240984666646
43,0.8726238119059531,46.497719097253544
44,0.8926383191595799,46.19326891232501
45,0.9126528264132067,45.88881872739648
46,0.9326673336668335,45.549878983241626
47,0.9526818409204603,45.15539860485798
48,0.9726963481740871,44.760918226474345
49,0.992710855427714,44.36643784809071
50,1.0127253626813408,43.66515127563781
51,1.0327398699349675,42.89450829700564
52,1.0527543771885943,42.49707736725505
53,1.0727688844422212,42.09964643750447
54,1.092783391695848,41.70409991523539
55,1.112797898949475,41.30986971819243
56,1.1328124062031018,40.91563952114946
57,1.1528269134567284,40.5214093241065
58,1.1728414207103552,40.102123821910965
59,1.192855927963982,39.68261974987494
60,1.212870435217609,39.26311567783892
61,1.2328849424712358,38.613616407688376
62,1.2528994497248624,38.387493742747665
63,1.2729139569784893,38.16137107780695
64,1.2929284642321162,37.93524841286622
65,1.312942971485743,37.70912574792551
66,1.3329574787393699,37.412688264132065
67,1.3529719859929965,37.05813126813406
68,1.3729864932466234,36.703574272136066
69,1.3930010005002502,36.33967864904674
70,1.413015507753877,35.96813156022455
71,1.433030015007504,35.59658447140236
72,1.4530445222611306,35.225037382580176
73,1.4730590295147574,35.06928904813231
74,1.4930735367683843,34.924359255400894
75,1.5130880440220111,34.779429462669476
