Photon Energy (eV),Reflectivity (%)
20.9965, 37.7868
21.1556, 37.3483
21.2901, 36.9163
21.486, 36.486
21.6204, 35.9611
21.7673, 35.6461
21.8897, 35.3354
21.9876, 35.1288
22.1339, 34.3272
22.3053, 33.9283
22.4399, 33.6319
22.5865, 33.0528
22.7212, 32.8578
22.9775, 31.7378
23.0754, 31.4622
23.2584, 30.6548
23.3926, 30.0416
23.5635, 29.439
23.7102, 29.0149
23.7953, 28.4365
23.9417, 27.8672
24.1003, 27.2308
24.2708, 26.3813
24.454, 25.7779
24.5632, 25.0475
24.7217, 24.4056
24.8311, 23.782
24.9896, 23.1724
25.1967, 22.3205
25.3305, 21.6872
25.4517, 20.8923
25.5976, 20.2414
25.7193, 19.7238
25.8163, 19.1653
25.9501, 18.6216
26.0469, 18.0426
26.1319, 17.6324
26.2533, 17.0836
26.375, 16.6468
26.4717, 16.0833
26.5444, 15.718
26.6173, 15.4491
26.7144, 15.0546
26.7993, 14.6703
26.8965, 14.3777
26.9691, 14.0111
27.0298, 13.7715
27.0901, 13.4207
27.1995, 13.0778
27.2723, 12.8173
27.3694, 12.49
27.4541, 12.1366
27.6474, 11.2642
27.757, 11.0708
27.8417, 10.7268
27.9388, 10.4529
28.0842, 9.9835
28.1813, 9.7286
28.254, 9.5076
28.3388, 9.265
28.4481, 9.0025
28.5575, 8.7724
28.6669, 8.5483
28.7391, 8.2591
28.7993, 8.0487
28.8843, 7.8883
28.9691, 7.6651
29.0783, 7.4266
29.1629, 7.1959
29.2969, 7.0318
29.3815, 6.8133
29.4665, 6.6583
29.5878, 6.4512
29.6724, 6.2507
29.8191, 6.1431
29.8795, 6.0037
29.9642, 5.8338
30.0856, 5.6522
30.1951, 5.5236
30.3168, 5.3822
30.4751, 5.2294
30.5478, 5.1107
30.6571, 4.9658
30.7417, 4.8115
30.8144, 4.7023
30.8992, 4.5823
30.9967, 4.5037
31.1062, 4.4012
31.252, 4.2519
31.3489, 4.1197
31.5556, 3.9343
31.6526, 3.8338
31.7501, 3.7574
31.9447, 3.6089
32.103, 3.4964
32.2121, 3.3877
32.3462, 3.3104
32.4678, 3.2258
32.5528, 3.1524
32.6867, 3.0806
32.7598, 3.0279
32.8812, 2.9336
33.0152, 2.8667
33.0882, 2.8176
33.2589, 2.7454
33.3684, 2.6829
33.4777, 2.6069
33.5873, 2.5548
33.6724, 2.511
33.7454, 2.4681
33.8429, 2.4258
33.9402, 2.3774
34.0378, 2.3433
34.1349, 2.2835
34.2691, 2.2378
34.3416, 2.1808
34.4515, 2.1495
34.5614, 2.1186
34.6465, 2.0823
34.7929, 2.0348
34.8778, 1.9886
34.9995, 1.9377
35.1459, 1.8989
35.3166, 1.8449
35.4018, 1.8133
35.548, 1.7669
35.6453, 1.7317
35.7795, 1.7019
35.9014, 1.6631
36.011, 1.6299
36.145, 1.5927
36.1935, 1.5699
36.3639, 1.521
36.5345, 1.4736
36.632, 1.4483
36.7782, 1.4112
36.888, 1.387
36.9609, 1.3633
37.0949, 1.3322
37.2168, 1.3056
37.3509, 1.2758
37.4606, 1.2539
37.607, 1.2288
37.692, 1.2009
37.7896, 1.187
37.8745, 1.1567
37.9964, 1.1336
38.1185, 1.1142
38.2162, 1.1013
38.3381, 1.0793
38.4722, 1.0577
38.5205, 1.0367
38.7041, 1.0246
38.8383, 1.0041
38.9599, 0.9785
39.0698, 0.9644
39.167, 0.9425
39.2771, 0.9343
39.4234, 0.913
39.4474, 0.9
39.5817, 0.887
39.7042, 0.8793
39.8016, 0.8641
39.8504, 0.8568
39.9478, 0.842
40.0209, 0.83
