,Wavelength (um),Reflectivity
0,0.18998199099549773,26.928686426295517
1,0.24297598799399697,52.59600317602904
2,0.29596998499249627,36.008315235624394
3,0.34896398199099543,29.848022097430324
4,0.4019579789894947,28.684391022824553
5,0.454951975987994,28.92859906504881
6,0.5079459729864932,29.27614502986937
7,0.5609399699849925,29.963624722451726
8,0.6139339669834917,30.80295191165682
9,0.666927963981991,31.67345942872027
10,0.7199219609804902,32.69225994841944
11,0.7729159579789894,33.816394556399715
12,0.8259099549774886,34.85457942489107
13,0.8789039519759879,35.99135507092181
14,0.9318979489744872,37.44354299468007
15,0.9848919459729865,38.2964347887767
16,1.0378859429714855,39.63108736159732
17,1.090879939969985,40.82216758053713
18,1.143873936968484,41.86807744552731
19,1.1968679339669832,42.83807836688635
20,1.2498619309654826,44.37260481498972
21,1.3028559279639818,45.14707249919066
22,1.355849924962481,45.84991995235208
23,1.4088439219609803,46.37287993567928
24,1.4618379189594795,46.77002260882201
25,1.5148319159579786,47.04649484808593
26,1.567825912956478,47.32296708734986
27,1.6208199099549772,47.599439326613776
28,1.6738139069534765,47.83796241772197
29,1.7268079039519757,48.049191302681685
30,1.7798019009504749,48.2604201876414
31,1.8327958979489742,48.47164907260111
32,1.8857898949474734,48.68287795756082
33,1.9387838919459728,48.90530691602741
34,1.991777888944472,49.15163281710389
35,2.0447718859429713,49.39795871818036
36,2.0977658829414705,49.64428461925684
37,2.15075987993997,49.89061052033332
38,2.2037538769384692,50.154849834783576
39,2.2567478739369684,50.42629887179754
40,2.3097418709354676,50.6977479088115
41,2.3627358679339667,50.96919694582546
42,2.415729864932466,51.240645982839425
43,2.4687238619309655,51.409839152498854
44,2.5217178589294647,51.567712811671385
45,2.574711855927964,51.7255864708439
46,2.627705852926463,51.88346013001642
47,2.680699849924962,52.04133378918894
48,2.7336938469234617,52.19920744836146
49,2.786687843921961,52.35708110753399
50,2.83968184092046,52.573646561613494
51,2.892675837918959,52.89741274834873
52,2.9456698349174584,53.22117893508397
53,2.9986638319159575,53.544945121819204
54,3.051657828914457,53.86871130855445
55,3.1046518259129563,54.140691452621695
56,3.1576458229114555,54.38449402887236
57,3.2106398199099546,54.628296605123005
58,3.2636338169084538,54.87209918137366
59,3.3166278139069534,55.115901757624314
60,3.3696218109054525,55.35970433387497
61,3.4226158079039517,55.603506910125624
62,3.475609804902451,55.847309486376275
63,3.52860380190095,55.99192808243595
64,3.5815977988994496,56.12617022231741
65,3.634591795897949,56.26041236219886
66,3.687585792896448,56.394654502080314
67,3.740579789894947,56.528896641961765
68,3.7935737868934463,56.66313878184323
69,3.846567783891946,56.79738092172468
70,3.899561780890445,56.93162306160613
71,3.952555777888944,57.06586520148758
72,4.005549774887443,57.20010734136905
73,4.058543771885942,57.3343494812505
74,4.111537768884442,57.46859162113195
75,4.16453176588294,57.60283376101341
76,4.21752576288144,57.817588835259194
77,4.27051975987994,58.09205935355358
78,4.323513756878438,58.36652987184796
79,4.376507753876938,58.64100039014234
80,4.429501750875437,58.91547090843671
81,4.482495747873936,59.189941426731096
82,4.535489744872435,59.46441194502547
83,4.5884837418709346,59.61880317127231
84,4.641477738869434,59.75319429282939
85,4.694471735867933,59.887585414386464
86,4.7474657328664325,60.02197653594355
87,4.800459729864931,60.156367657500624
88,4.853453726863431,60.29075877905771
89,4.90644772386193,60.425149900614784
90,4.959441720860429,60.55954102217187
91,5.012435717858929,60.693932143728944
92,5.065429714857427,60.82832326528602
93,5.118423711855927,60.96271438684311
94,5.171417708854427,61.09710550840018
95,5.224411705852925,61.231496629957256
96,5.277405702851425,61.39618109801221
97,5.330399699849924,61.560979458211484
98,5.383393696848423,61.725777818410776
99,5.436387693846923,61.890576178610075
100,5.489381690845422,62.05537453880935
101,5.542375687843921,62.220172899008645
102,5.59536968484242,62.38497125920793
103,5.6483636818409195,62.549769619407215
104,5.701357678839419,62.714567979606514
105,5.754351675837918,62.8793663398058
106,5.8073456728364174,63.048794657193866
107,5.860339669834916,63.23554083665787
108,5.913333666833416,63.42228701612186
109,5.9663276638319145,63.60903319558586
110,6.019321660830414,63.79577937504987
111,6.072315657828914,63.982525554513856
112,6.125309654827412,64.16927173397787
113,6.178303651825912,64.35601791344186
114,6.231297648824411,64.54276409290586
115,6.28429164582291,64.72951027236985
116,6.33728564282141,64.91625645183385
117,6.390279639819909,65.10300263129784
118,6.443273636818408,65.28974881076184
119,6.496267633816907,65.47649499022585
120,6.549261630815407,65.66324116968984
121,6.602255627813906,65.84998734915384
122,6.655249624812405,66.03673352861783
123,6.7082436218109045,66.22347970808184
124,6.761237618809403,66.41022588754583
125,6.814231615807903,66.59697206700983
126,6.867225612806402,66.78371824647382
127,6.920219609804901,66.21595040668643
128,6.973213606803401,65.41187408117621
129,7.0262076038018995,66.27787749585806
130,7.079201600800399,67.14388091053995
131,7.132195597798899,68.00988432522183
132,7.185189594797397,68.87588773990369
133,7.238183591795897,69.74189115458556
134,7.291177588794396,70.60789456926744
135,7.344171585792895,69.35702589098074
136,7.397165582791395,68.73374757832299
137,7.450159579789894,68.85336146232699
138,7.503153576788393,68.97297534633095
139,7.556147573786892,69.09258923033494
140,7.6091415707853916,69.2122031143389
141,7.662135567783891,69.3318169983429
142,7.71512956478239,69.45143088234687
143,7.7681235617808895,69.57104476635084
144,7.821117558779388,69.69065865035482
145,7.874111555777888,69.8102725343588
146,7.9271055527763865,69.92988641836277
147,7.980099549774886,70.04950030236675
148,8.033093546773387,70.16911418637073
149,8.086087543771885,70.28872807037472
150,8.139081540770384,70.40834195437868
