# Sample diameter: 1.015 cm
# Beam diameter: 0.8165 cm
# Heat load: 38 MW/m^2
# Sample ID: R4N137
# Laser test: ROW513
FID,Area,Mean,StdDev,X,Y,Time (s),Viewport coating (nm),Corrected mean,Temperature (K),Temperature lpb (K),Temperature upb (K)
1,112,0.0,0.0,278,474,0.0,0.0,0.0,764.0,764.0,764.0
2,112,0.071,0.259,278,474,0.005,0.246,0.071,764.0,764.0,764.0
3,112,0.688,0.658,278,474,0.01001,0.492,0.692,764.0,764.0,764.0
4,112,2.295,1.235,278,474,0.01501,0.738,2.317,2050.0,2050.0,2050.0
5,112,7.982,2.031,278,474,0.02001,0.984,8.086,2394.0,2356.0,2394.0
6,112,15.161,3.699,272,476,0.02502,1.23,15.409,2585.0,2562.0,2606.0
7,112,27.357,5.34,267,482,0.03002,1.476,27.896,2789.0,2775.0,2803.0
8,112,35.17,6.585,264,487,0.03502,1.721,35.979,2889.0,2878.0,2911.0
9,112,48.607,8.114,262,490,0.04003,1.968,49.888,3028.0,3019.0,3046.0
10,112,64.25,10.054,260,492,0.04503,2.213,66.157,3162.0,3148.0,3176.0
11,112,76.098,9.666,259,494,0.05003,2.459,78.612,3242.0,3229.0,3254.0
12,112,82.107,9.471,258,494,0.05504,2.705,85.096,3284.0,3272.0,3290.0
13,112,88.58,8.171,258,494,0.06004,2.951,92.103,3324.0,3313.0,3330.0
14,112,92.804,8.347,258,494,0.06504,3.197,96.809,3346.0,3341.0,3357.0
15,112,97.643,6.174,259,494,0.07005,3.443,102.189,3378.0,3367.0,3383.0
16,112,97.134,3.951,259,493,0.07505,3.689,101.987,3373.0,3373.0,3378.0
17,112,97.58,4.313,257,490,0.08005,3.935,102.789,3378.0,3373.0,3383.0
18,112,97.741,3.435,256,482,0.08506,4.181,103.294,3383.0,3378.0,3383.0
19,112,98.634,3.671,255,471,0.09006,4.427,104.577,3388.0,3383.0,3393.0
20,112,101.438,3.274,261,468,0.09506,4.673,107.901,3403.0,3403.0,3408.0
21,112,101.366,3.647,268,460,0.10007,4.919,108.175,3408.0,3403.0,3408.0
22,112,99.277,4.302,270,457,0.10507,5.165,106.291,3398.0,3393.0,3403.0
23,112,98.902,4.358,270,457,0.11007,5.41,106.233,3398.0,3393.0,3403.0
24,112,100.571,4.293,271,456,0.11508,5.657,108.379,3408.0,3403.0,3413.0
25,112,99.357,3.988,272,455,0.12008,5.903,107.419,3403.0,3398.0,3408.0
26,112,100.054,4.18,272,455,0.12508,6.148,108.524,3408.0,3403.0,3413.0
27,112,100.83,4.384,272,455,0.13009,6.395,109.723,3413.0,3408.0,3418.0
28,112,99.893,3.575,272,455,0.13509,6.64,109.056,3413.0,3408.0,3413.0
29,112,99.973,3.845,272,455,0.14009,6.886,109.499,3413.0,3408.0,3418.0
30,112,98.723,2.758,274,455,0.1451,7.132,108.482,3408.0,3403.0,3413.0
31,112,98.054,2.844,274,453,0.1501,7.378,108.097,3408.0,3403.0,3408.0
32,112,97.098,3.148,274,452,0.1551,7.624,107.392,3403.0,3398.0,3408.0
33,112,97.402,3.009,275,452,0.16011,7.87,108.079,3408.0,3403.0,3408.0
34,112,96.455,2.405,274,451,0.16511,8.116,107.377,3403.0,3398.0,3403.0
35,112,96.804,2.5,275,451,0.17012,8.362,108.116,3408.0,3403.0,3408.0
36,112,95.705,2.433,274,442,0.17512,8.608,107.237,3403.0,3398.0,3403.0
37,112,93.893,2.372,277,439,0.18012,8.854,105.549,3393.0,3393.0,3398.0
38,112,91.688,3.83,276,438,0.18512,9.1,103.406,3383.0,3378.0,3388.0
39,112,92.134,4.271,276,438,0.19013,9.346,104.248,3388.0,3383.0,3393.0
40,112,91.196,3.361,276,438,0.19513,9.592,103.522,3383.0,3378.0,3388.0
41,112,78.312,2.114,276,438,0.20014,9.838,89.186,3307.0,3302.0,3307.0
42,112,43.777,1.575,306,412,0.20514,10.084,50.018,3037.0,3028.0,3037.0
43,112,36.107,1.772,329,365,0.21014,10.329,41.389,2953.0,2953.0,2953.0
44,112,31.366,1.53,339,327,0.21515,10.576,36.072,2900.0,2889.0,2900.0
45,112,25.955,1.613,353,312,0.22015,10.821,29.946,2816.0,2816.0,2829.0
46,112,21.545,1.138,389,296,0.22515,11.067,24.939,2746.0,2746.0,2761.0
47,112,19.661,1.182,426,265,0.23016,11.314,22.832,2715.0,2715.0,2731.0
48,112,15.902,0.89,447,233,0.23516,11.559,18.527,2645.0,2645.0,2645.0
49,112,14.857,1.003,459,223,0.24016,11.805,17.366,2626.0,2626.0,2626.0
50,112,12.991,0.865,485,234,0.24517,12.051,15.234,2585.0,2585.0,2585.0
51,112,11.232,0.782,522,236,0.25017,12.297,13.214,2539.0,2539.0,2539.0
52,112,9.75,0.885,536,229,0.25517,12.543,11.508,2487.0,2487.0,2487.0
53,112,9.527,0.805,566,247,0.26017,12.789,11.281,2487.0,2487.0,2487.0
54,112,7.75,0.691,605,258,0.26518,13.035,9.207,2428.0,2428.0,2428.0
55,112,6.982,0.684,623,280,0.27018,13.281,8.322,2394.0,2394.0,2394.0
56,112,5.92,0.84,663,304,0.27519,13.527,7.079,2356.0,2314.0,2356.0
57,112,6.277,1.254,674,327,0.28019,13.773,7.53,2356.0,2356.0,2356.0
58,112,6.0,0.771,712,378,0.28519,14.019,7.221,2356.0,2356.0,2356.0
59,112,5.357,0.642,741,405,0.2902,14.265,6.468,2314.0,2314.0,2314.0
60,112,0.205,0.448,760,434,0.2952,14.511,0.248,764.0,764.0,764.0
