# Sample diameter: 1.015 cm
# Beam diameter: 0.8165 cm
# Heat load: 38 MW/m^2
# Sample ID: R4N137
# Laser test: ROW513
FID,Area,Mean,StdDev,X,Y,Time (s),Viewport coating (nm),Corrected mean,Temperature (K),Temperature lpb (K),Temperature upb (K)
1,256,0.004,0.062,288,531,0.0,0.0,0.004,764.0,764.0,764.0
2,256,0.004,0.062,288,531,0.005,0.246,0.004,764.0,764.0,764.0
3,256,0.273,0.447,288,531,0.01001,0.492,0.275,764.0,764.0,764.0
4,256,0.957,0.688,288,531,0.01501,0.738,0.966,764.0,764.0,1909.0
5,256,1.191,0.839,288,531,0.02001,0.984,1.207,1909.0,1909.0,1909.0
6,256,1.262,0.745,288,531,0.02502,1.23,1.283,1909.0,1909.0,1909.0
7,256,2.242,1.303,288,531,0.03002,1.476,2.286,2050.0,2050.0,2050.0
8,256,5.211,3.07,288,531,0.03502,1.721,5.331,2267.0,2210.0,2267.0
9,256,8.414,3.487,288,531,0.04003,1.968,8.636,2394.0,2394.0,2428.0
10,156,13.769,2.545,289,531,0.04503,2.213,14.178,2562.0,2539.0,2562.0
11,156,17.077,3.097,289,531,0.05003,2.459,17.641,2626.0,2626.0,2645.0
12,156,20.154,3.704,289,531,0.05504,2.705,20.888,2681.0,2681.0,2698.0
13,156,25.032,4.296,289,531,0.06004,2.951,26.028,2775.0,2761.0,2775.0
14,156,29.487,4.618,289,531,0.06504,3.197,30.76,2829.0,2816.0,2842.0
15,156,34.936,5.521,289,531,0.07005,3.443,36.563,2900.0,2889.0,2911.0
16,156,40.821,6.292,288,531,0.07505,3.689,42.861,2963.0,2953.0,2973.0
17,156,36.192,9.639,288,531,0.08005,3.935,38.124,2922.0,2900.0,2933.0
18,156,54.212,9.979,284,521,0.08506,4.181,57.292,3095.0,3079.0,3103.0
19,156,73.141,9.805,285,509,0.09006,4.427,77.548,3235.0,3223.0,3248.0
20,156,82.237,8.164,292,506,0.09506,4.673,87.476,3296.0,3290.0,3302.0
21,156,84.25,7.107,299,498,0.10007,4.919,89.909,3307.0,3302.0,3319.0
22,156,88.942,6.037,300,496,0.10507,5.165,95.226,3341.0,3335.0,3346.0
23,156,91.795,4.466,300,496,0.11007,5.41,98.599,3357.0,3351.0,3362.0
24,156,91.724,5.134,300,496,0.11508,5.657,98.845,3357.0,3351.0,3362.0
25,156,93.564,4.053,300,496,0.12008,5.903,101.156,3373.0,3367.0,3373.0
26,156,95.769,3.402,300,496,0.12508,6.148,103.876,3383.0,3383.0,3388.0
27,156,96.359,3.408,300,496,0.13009,6.395,104.858,3388.0,3388.0,3393.0
28,156,99.019,3.458,300,496,0.13509,6.64,108.102,3408.0,3403.0,3408.0
29,156,98.821,3.182,300,496,0.14009,6.886,108.237,3408.0,3403.0,3408.0
30,156,98.449,2.894,300,496,0.1451,7.132,108.181,3408.0,3403.0,3408.0
31,156,98.994,3.102,300,496,0.1501,7.378,109.134,3413.0,3408.0,3413.0
32,156,98.173,3.742,300,496,0.1551,7.624,108.581,3408.0,3403.0,3413.0
33,156,98.506,3.224,300,496,0.16011,7.87,109.304,3413.0,3408.0,3413.0
34,156,98.737,3.126,300,496,0.16511,8.116,109.917,3413.0,3413.0,3418.0
35,156,98.494,3.028,300,496,0.17012,8.362,110.004,3418.0,3413.0,3418.0
36,156,98.429,3.376,300,496,0.17512,8.608,110.289,3418.0,3413.0,3418.0
37,156,97.481,3.315,300,496,0.18012,8.854,109.583,3413.0,3408.0,3418.0
38,156,96.865,3.096,300,496,0.18512,9.1,109.245,3413.0,3408.0,3413.0
39,156,97.391,2.482,300,496,0.19013,9.346,110.196,3418.0,3413.0,3418.0
40,156,79.506,5.694,315,495,0.19513,9.592,90.252,3313.0,3307.0,3319.0
41,156,46.731,1.972,407,516,0.20014,9.838,53.22,3063.0,3054.0,3063.0
42,156,36.276,1.38,553,577,0.20514,10.084,41.448,2953.0,2953.0,2953.0
43,156,32.577,1.503,700,650,0.21014,10.329,37.342,2911.0,2911.0,2911.0
44,208,29.856,1.656,847,731,0.21515,10.576,34.335,2878.0,2878.0,2878.0
45,156,26.263,1.311,996,820,0.22015,10.821,30.301,2829.0,2829.0,2829.0
46,156,23.122,1.005,1144,914,0.22515,11.067,26.764,2775.0,2775.0,2775.0
47,156,12.526,2.641,1290,1012,0.23016,11.314,14.546,2562.0,2562.0,2585.0
