# Sample diameter: 1.015 cm
# Beam diameter: 0.8165 cm
# Heat load: 38 MW/m^2
# Sample ID: R4N137
# Laser test: ROW513
FID,Area,Mean,StdDev,X,Y,Time (s),Viewport coating (nm),Corrected mean,Temperature (K),Temperature lpb (K),Temperature upb (K)
1,156,0.006,0.08,309,443,0.0,0.0,0.006,764.0,764.0,764.0
2,156,0.0,0.0,309,443,0.005,0.246,0.0,764.0,764.0,764.0
3,156,0.103,0.304,309,443,0.01001,0.492,0.104,764.0,764.0,764.0
4,156,0.846,0.51,309,443,0.01501,0.738,0.854,764.0,764.0,764.0
5,156,1.141,0.947,309,443,0.02001,0.984,1.156,1909.0,1909.0,1909.0
6,156,1.577,0.623,309,443,0.02502,1.23,1.603,1909.0,1909.0,1909.0
7,156,3.301,1.686,309,443,0.03002,1.476,3.366,2141.0,2141.0,2141.0
8,156,4.09,2.062,298,438,0.03502,1.721,4.184,2210.0,2141.0,2210.0
9,156,6.968,2.405,300,440,0.04003,1.968,7.152,2356.0,2314.0,2356.0
10,156,11.353,3.521,299,439,0.04503,2.213,11.69,2487.0,2487.0,2514.0
11,156,15.942,4.026,297,441,0.05003,2.459,16.469,2606.0,2585.0,2626.0
12,156,21.923,5.316,297,441,0.05504,2.705,22.721,2715.0,2698.0,2731.0
13,156,28.263,6.677,297,441,0.06004,2.951,29.387,2816.0,2803.0,2829.0
14,156,36.872,8.637,298,440,0.06504,3.197,38.463,2922.0,2911.0,2933.0
15,156,44.077,9.825,298,439,0.07005,3.443,46.129,3001.0,2982.0,3010.0
16,156,52.378,9.773,297,438,0.07505,3.689,54.995,3071.0,3063.0,3087.0
17,156,60.147,11.781,295,433,0.08005,3.935,63.358,3140.0,3126.0,3155.0
18,156,65.462,9.79,293,425,0.08506,4.181,69.181,3183.0,3169.0,3190.0
19,156,59.897,8.685,291,411,0.09006,4.427,63.506,3140.0,3133.0,3148.0
20,156,52.724,9.007,297,406,0.09506,4.673,56.083,3087.0,3071.0,3095.0
21,156,45.782,7.167,303,397,0.10007,4.919,48.857,3019.0,3010.0,3037.0
22,156,38.064,6.498,305,394,0.10507,5.165,40.753,2943.0,2933.0,2953.0
23,156,38.397,8.248,305,395,0.11007,5.41,41.243,2953.0,2933.0,2963.0
24,156,33.692,7.36,306,392,0.11508,5.657,36.308,2900.0,2889.0,2911.0
25,156,33.814,8.598,306,392,0.12008,5.903,36.558,2900.0,2889.0,2922.0
26,156,32.346,8.369,308,391,0.12508,6.148,35.084,2889.0,2866.0,2900.0
27,156,32.84,9.064,308,391,0.13009,6.395,35.736,2889.0,2878.0,2911.0
28,156,33.244,10.421,308,391,0.13509,6.64,36.293,2900.0,2878.0,2922.0
29,156,33.673,11.057,308,391,0.14009,6.886,36.881,2900.0,2878.0,2922.0
30,156,34.449,11.843,308,391,0.1451,7.132,37.854,2911.0,2889.0,2933.0
31,156,35.417,12.284,308,391,0.1501,7.378,39.045,2933.0,2900.0,2953.0
32,156,30.218,10.482,310,389,0.1551,7.624,33.422,2866.0,2842.0,2889.0
33,156,30.84,11.142,310,389,0.16011,7.87,34.221,2878.0,2854.0,2900.0
34,156,30.333,11.215,311,389,0.16511,8.116,33.768,2866.0,2842.0,2889.0
35,156,29.295,10.623,313,389,0.17012,8.362,32.718,2854.0,2829.0,2878.0
36,156,27.41,10.271,316,388,0.17512,8.608,30.713,2829.0,2803.0,2854.0
37,156,24.135,9.23,331,388,0.18012,8.854,27.131,2789.0,2761.0,2803.0
38,156,16.66,7.563,360,385,0.18512,9.1,18.789,2645.0,2626.0,2681.0
39,156,8.763,7.579,428,343,0.19013,9.346,9.915,2428.0,2394.0,2487.0
40,156,12.654,2.066,513,316,0.19513,9.592,14.364,2562.0,2539.0,2562.0
41,156,12.026,1.249,595,266,0.20014,9.838,13.696,2539.0,2539.0,2539.0
42,156,9.09,2.991,678,227,0.20514,10.084,10.386,2459.0,2428.0,2459.0
43,156,1.199,0.666,745,213,0.21014,10.329,1.374,1909.0,1909.0,1909.0
