# Sample diameter: 1.015 cm
# Beam diameter: 0.8165 cm
# Heat load: 38 MW/m^2
# Sample ID: R4N137
# Laser test: ROW513
FID,Area,Mean,StdDev,X,Y,Time (s),Viewport coating (nm),Corrected mean,Temperature (K),Temperature lpb (K),Temperature upb (K)
1,156,0.0,0.0,288,492,0.0,0.0,0.0,764.0,764.0,764.0
2,156,0.006,0.08,288,492,0.005,0.246,0.006,764.0,764.0,764.0
3,156,0.538,0.561,288,492,0.01001,0.492,0.542,764.0,764.0,764.0
4,156,2.673,1.429,288,492,0.01501,0.738,2.699,2050.0,2050.0,2050.0
5,156,4.199,2.823,288,492,0.02001,0.984,4.254,2210.0,2141.0,2210.0
6,156,6.827,4.015,288,492,0.02502,1.23,6.939,2314.0,2314.0,2356.0
7,156,15.199,4.017,288,492,0.03002,1.476,15.498,2585.0,2562.0,2606.0
8,156,19.692,4.982,285,497,0.03502,1.721,20.145,2681.0,2664.0,2681.0
9,156,24.558,5.538,283,500,0.04003,1.968,25.205,2761.0,2746.0,2775.0
10,156,29.577,6.147,282,501,0.04503,2.213,30.455,2829.0,2816.0,2842.0
11,156,35.718,7.426,280,503,0.05003,2.459,36.898,2900.0,2889.0,2922.0
12,156,43.744,8.571,279,504,0.05504,2.705,45.336,2992.0,2973.0,3001.0
13,156,50.859,8.916,279,504,0.06004,2.951,52.882,3054.0,3046.0,3071.0
14,156,58.128,10.139,279,504,0.06504,3.197,60.637,3118.0,3103.0,3133.0
15,156,67.397,10.765,279,504,0.07005,3.443,70.535,3190.0,3176.0,3203.0
16,156,74.974,8.588,279,503,0.07505,3.689,78.72,3242.0,3235.0,3254.0
17,156,21.468,5.096,287,592,0.08005,3.935,22.614,2715.0,2698.0,2731.0
18,156,9.994,2.021,326,703,0.08506,4.181,10.562,2459.0,2459.0,2459.0
19,156,11.199,1.492,371,836,0.09006,4.427,11.874,2487.0,2487.0,2514.0
20,156,6.103,2.553,413,987,0.09506,4.673,6.492,2314.0,2314.0,2314.0
