# Sample diameter: 1.015 cm
# Beam diameter: 0.8165 cm
# Heat load: 38 MW/m^2
# Sample ID: R4N137
# Laser test: ROW513
FID,Area,Mean,StdDev,X,Y,Time (s),Viewport coating (nm),Corrected mean,Temperature (K),Temperature lpb (K),Temperature upb (K)
1,208,0.005,0.069,293,484,0.0,0.0,0.005,764.0,764.0,764.0
2,208,0.038,0.193,293,484,0.005,0.246,0.038,764.0,764.0,764.0
3,208,0.668,0.548,293,484,0.01001,0.492,0.672,764.0,764.0,764.0
4,208,1.423,0.87,293,484,0.01501,0.738,1.437,1909.0,1909.0,1909.0
5,208,4.928,2.416,295,483,0.02001,0.984,4.993,2210.0,2210.0,2267.0
6,112,12.018,2.876,292,486,0.02502,1.23,12.215,2514.0,2487.0,2514.0
7,112,16.938,3.302,288,492,0.03002,1.476,17.272,2626.0,2606.0,2626.0
8,112,21.714,4.3,285,498,0.03502,1.721,22.214,2715.0,2698.0,2731.0
9,112,26.902,4.65,283,500,0.04003,1.968,27.611,2789.0,2775.0,2803.0
10,112,32.107,5.018,281,501,0.04503,2.213,33.06,2866.0,2854.0,2878.0
11,112,37.875,7.126,279,505,0.05003,2.459,39.126,2933.0,2911.0,2943.0
12,156,43.429,9.131,279,505,0.05504,2.705,45.01,2992.0,2973.0,3001.0
13,156,50.538,9.5,279,505,0.06004,2.951,52.548,3054.0,3037.0,3071.0
14,156,57.718,10.838,279,505,0.06504,3.197,60.209,3118.0,3103.0,3126.0
15,156,67.397,10.765,279,504,0.07005,3.443,70.535,3190.0,3176.0,3203.0
16,156,73.808,9.83,278,503,0.07505,3.689,77.496,3235.0,3223.0,3248.0
17,156,21.468,5.096,287,592,0.08005,3.935,22.614,2715.0,2698.0,2731.0
18,156,10.199,1.805,325,702,0.08506,4.181,10.778,2459.0,2459.0,2487.0
19,156,11.026,1.749,373,835,0.09006,4.427,11.69,2487.0,2487.0,2487.0
20,156,7.231,1.386,418,986,0.09506,4.673,7.692,2356.0,2356.0,2356.0
