# Sample diameter: 1.015 cm
# Beam diameter: 0.8165 cm
# Heat load: 38 MW/m^2
# Sample ID: R4N137
# Laser test: ROW513
FID,Area,Mean,StdDev,X,Y,Time (s),Viewport coating (nm),Corrected mean,Temperature (K),Temperature lpb (K),Temperature upb (K)
1,208,0.0,0.0,301,479,0.0,0.0,0.0,764.0,764.0,764.0
2,208,0.029,0.168,301,479,0.005,0.246,0.029,764.0,764.0,764.0
3,208,0.462,0.5,301,479,0.01001,0.492,0.465,764.0,764.0,764.0
4,208,2.183,0.976,301,479,0.01501,0.738,2.204,2050.0,2050.0,2050.0
5,208,3.947,2.758,301,479,0.02001,0.984,3.999,2141.0,2141.0,2210.0
6,208,5.216,3.209,301,479,0.02502,1.23,5.301,2267.0,2210.0,2267.0
7,112,14.393,4.072,299,477,0.03002,1.476,14.677,2562.0,2539.0,2585.0
8,156,15.199,4.921,295,484,0.03502,1.721,15.549,2585.0,2562.0,2606.0
9,156,19.526,6.045,293,486,0.04003,1.968,20.041,2681.0,2664.0,2698.0
10,156,22.179,6.056,291,488,0.04503,2.213,22.837,2715.0,2698.0,2731.0
11,156,24.34,6.057,290,491,0.05003,2.459,25.144,2761.0,2746.0,2775.0
12,156,27.179,6.417,290,491,0.05504,2.705,28.168,2803.0,2789.0,2816.0
13,156,31.096,6.615,290,491,0.06004,2.951,32.333,2854.0,2842.0,2866.0
14,156,29.583,7.415,290,491,0.06504,3.197,30.86,2829.0,2816.0,2854.0
15,156,47.724,9.462,290,490,0.07005,3.443,49.946,3028.0,3019.0,3046.0
16,156,59.244,10.545,289,488,0.07505,3.689,62.204,3133.0,3118.0,3140.0
17,156,67.628,12.526,287,484,0.08005,3.935,71.238,3196.0,3183.0,3210.0
18,156,78.282,11.217,285,475,0.08506,4.181,82.73,3266.0,3254.0,3278.0
19,156,84.519,10.857,284,463,0.09006,4.427,89.612,3307.0,3296.0,3319.0
20,156,85.071,8.801,290,459,0.09506,4.673,90.491,3313.0,3307.0,3319.0
21,156,85.256,10.374,296,450,0.10007,4.919,90.983,3313.0,3307.0,3324.0
22,156,88.327,6.443,298,446,0.10507,5.165,94.567,3335.0,3330.0,3341.0
23,156,89.833,7.469,298,447,0.11007,5.41,96.492,3346.0,3341.0,3351.0
24,156,89.519,6.779,299,446,0.11508,5.657,96.469,3346.0,3341.0,3351.0
25,156,90.955,7.719,299,446,0.12008,5.903,98.335,3357.0,3351.0,3362.0
26,156,91.064,6.64,300,445,0.12508,6.148,98.773,3357.0,3351.0,3362.0
27,156,90.904,7.006,300,445,0.13009,6.395,98.921,3357.0,3351.0,3367.0
28,156,93.41,4.886,301,444,0.13509,6.64,101.978,3373.0,3373.0,3378.0
29,156,92.699,5.935,301,444,0.14009,6.886,101.531,3373.0,3367.0,3378.0
30,156,92.519,6.702,301,444,0.1451,7.132,101.664,3373.0,3367.0,3378.0
31,156,93.122,5.629,302,443,0.1501,7.378,102.66,3378.0,3373.0,3383.0
32,156,92.968,6.038,302,443,0.1551,7.624,102.824,3378.0,3373.0,3383.0
33,156,92.731,4.706,303,442,0.16011,7.87,102.896,3378.0,3378.0,3383.0
34,156,91.718,5.237,303,442,0.16511,8.116,102.103,3378.0,3373.0,3383.0
35,156,91.827,4.794,304,442,0.17012,8.362,102.558,3378.0,3373.0,3383.0
36,156,90.045,4.781,306,441,0.17512,8.608,100.895,3367.0,3367.0,3373.0
37,156,82.109,7.701,312,439,0.18012,8.854,92.302,3324.0,3313.0,3330.0
38,156,69.353,4.597,339,435,0.18512,9.1,78.217,3242.0,3235.0,3248.0
39,156,43.038,2.385,431,425,0.19013,9.346,48.697,3019.0,3019.0,3028.0
40,156,34.795,2.629,524,373,0.19513,9.592,39.498,2933.0,2933.0,2933.0
41,156,27.333,4.02,624,315,0.20014,9.838,31.128,2842.0,2829.0,2842.0
42,156,23.244,4.298,720,259,0.20514,10.084,26.558,2775.0,2761.0,2789.0
43,156,23.385,1.736,809,208,0.21014,10.329,26.806,2775.0,2775.0,2789.0
44,156,21.019,1.452,892,163,0.21515,10.576,24.172,2746.0,2731.0,2746.0
45,156,15.218,2.326,974,130,0.22015,10.821,17.558,2626.0,2626.0,2626.0
46,156,12.647,1.174,1051,101,0.22515,11.067,14.639,2562.0,2562.0,2562.0
47,156,11.564,1.036,1123,80,0.23016,11.314,13.429,2539.0,2539.0,2539.0
48,156,11.096,1.117,1194,74,0.23516,11.559,12.928,2514.0,2514.0,2539.0
49,208,10.534,1.404,1268,82,0.24016,11.805,12.313,2514.0,2514.0,2514.0
