label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Lorentzian;433.21455434916373;1391857703346.1208;0.08070448209209768;;;
2;Lorentzian;432.8802938090778;1958102287185.9558;0.4776086736784646;;;
3;Lorentzian;432.59855285218714;793461174675.846;0.08571495018906417;;;
4;Lorentzian;431.68124661353636;1509912282348.828;0.4618351014800792;;;
5;Lorentzian;431.57878366579064;1067211605724.5072;0.047031912006323395;;;
6;Lorentzian;431.09154885252974;1972817150972.1143;0.2516922724680293;;;
7;Lorentzian;430.96305275329297;1309310497969.8042;0.1077479656645064;;;
8;Lorentzian;430.6934542684731;3058809275595.51;0.13134590824295245;;;
9;Lorentzian;430.38183470272185;2209901925300.645;0.21925011042950304;;;
10;Lorentzian;430.14042335732165;1406221348943.272;0.11523527441064108;;;
11;Lorentzian;429.828997053781;2532394096946.3027;0.2042559658265275;;;
12;Lorentzian;429.4495525047836;1432746430525.5273;0.2861941457469097;;;
