label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Lorentzian;433.2114798560414;670568720061.6705;0.12761028336838454;;;
2;Lorentzian;432.90375392542273;1016343153534.9377;0.24014334455854103;;;
3;Lorentzian;432.6010795241602;675235705893.5616;0.12539588161464277;;;
4;Lorentzian;431.6805550517654;937463025310.0753;0.4019239132870722;;;
5;Lorentzian;431.5819475192383;838518705364.347;0.03224656454691166;;;
6;Lorentzian;431.1093705103101;1068394424170.1266;0.16662089538814762;;;
7;Lorentzian;430.98012997310605;946384302058.4647;0.11352330833402924;;;
8;Lorentzian;430.6930179178865;1619655257693.903;0.10900998722745969;;;
9;Lorentzian;430.37735484010693;1119030166759.8047;0.17717464986127807;;;
10;Lorentzian;430.1385270731952;624966316780.8866;0.09219977820219549;;;
11;Lorentzian;429.8275390330783;1234781930151.6416;0.17697149352733366;;;
12;Lorentzian;429.4593237997111;706720907537.4424;0.22929249474873403;;;
