Time (s),Temperature (K),Temperature error (K)
0.0,958.2563543563275,1.9733139093171126e-10
4.894894894894895,960.5210969029356,0.0022685664611542702
9.78978978978979,962.7529176826143,0.009028982022634897
14.684684684684685,964.9520364842034,0.020216075424169023
19.57957957957958,967.1186722782154,0.035765084898767924
24.474474474474476,969.2530432182134,0.05561165744531595
29.36936936936937,971.3553666421866,0.07969184790467845
34.26426426426426,973.425859073928,0.10794211803667332
39.15915915915916,975.46473622441,0.14029933559791957
44.054054054054056,977.472212993162,0.1767007734205766
48.94894894894895,979.4485034696468,0.2170841084919885
53.84384384384384,981.3938209346375,0.2613874210352468
58.73873873873874,983.3083778615934,0.309549193590687
63.633633633633636,985.1923859180379,0.3615083100983329
68.52852852852853,987.0460559669336,0.41720405498130286
73.42342342342343,988.869598068061,0.47657611223019647
78.31831831831832,990.6632214793934,0.5395645644884712
83.21321321321321,992.4271346584746,0.6061098921388323
88.10810810810811,994.1615452637949,0.6761529723906423
93.003003003003,995.8666601561688,0.7496350783683786
97.8978978978979,997.5426854001106,0.8264978782011422
102.7927927927928,999.1898262652115,0.9066834341132438
107.68768768768768,1000.8082872275168,0.9901342015158838
112.58258258258259,1002.3982719709014,1.0767930280999358
117.47747747747748,1003.9599833884483,1.1666031529298602
122.37237237237237,1005.4936235838229,1.259508205538762
127.26726726726727,1006.999393872652,1.3554522050246116
132.16216216216216,1008.4774947838993,1.4543795591476403
137.05705705705705,1009.9281260612416,1.5562350634289486
141.95195195195194,1011.3514866644471,1.6609639002503205
146.84684684684686,1012.7477747707504,1.7685116379552852
151.74174174174175,1014.1171877762306,1.878824229951431
156.63663663663664,1015.459922297187,1.991848013814004
161.53153153153153,1016.7761741715153,2.1075297103908026
166.42642642642642,1018.0661384600868,2.2258164229083905
171.32132132132134,1019.3300094481219,2.346655636079655
176.21621621621622,1020.5679806465695,2.4699952152127214
181.11111111111111,1021.7802447934815,2.595783405321261
186.006006006006,1022.9669938553905,2.723968830236202
190.9009009009009,1024.128419028687,2.854500491718865
195.7957957957958,1025.2647107409953,2.9873277685755615
200.6906906906907,1026.3760586525505,3.1224004157736562
205.5855855855856,1027.4626516575745,3.259668563559144
210.48048048048048,1028.5246778856545,3.399082716575737
215.37537537537537,1029.5623247031174,3.540593752985514
220.27027027027026,1030.575778714408,3.6841529235911334
225.16516516516518,1031.5652257634656,3.8297118509596473
230.06006006006007,1032.5308509350991,3.977222528547949
234.95495495495496,1033.4728385563667,4.126637319829865
239.84984984984985,1034.3913721979495,4.2779089574249305
