# T_fit 3346 -/+ 25 K
# I_fit 5.012E-04 -/+ 1.705E-05 
Wavelength (nm),Radiance (W/cm^2/ster/nm),Radiance error (W/cm^2/ster/nm)
315.0,2.2691864689829007e-06,1.7251309330362706e-07
316.0,2.3321087028865992e-06,1.7654755910256094e-07
317.0,2.3962425391502754e-06,1.8063795007109149e-07
318.0,2.4615979246119207e-06,1.8478420766571772e-07
319.0,2.528184630654493e-06,1.889862583573968e-07
320.0,2.596012249802384e-06,1.932440136624701e-07
321.0,2.6650901924130913e-06,1.9755737021886912e-07
322.0,2.7354276834650624e-06,2.0192620987199442e-07
323.0,2.807033759442516e-06,2.063503997246553e-07
324.0,2.8799172653178584e-06,2.1082979226864177e-07
325.0,2.9540868516325643e-06,2.1536422545591317e-07
326.0,3.0295509716768626e-06,2.1995352279600665e-07
327.0,3.106317878768873e-06,2.2459749349149452e-07
328.0,3.184395623633498e-06,2.2929593251903972e-07
329.0,3.263792051881429e-06,2.3404862077711157e-07
330.0,3.344514801588507e-06,2.3885532521717553e-07
331.0,3.4265713009756265e-06,2.437157989289909e-07
332.0,3.509968766189237e-06,2.4862978135426705e-07
333.0,3.5947141991824784e-06,2.5359699836588293e-07
334.0,3.680814385696943e-06,2.586171624605062e-07
335.0,3.7682758933448763e-06,2.636899728814216e-07
336.0,3.857105069791672e-06,2.68815115808721e-07
337.0,3.9473080410384385e-06,2.739922644797159e-07
338.0,4.038890709804215e-06,2.792210794148181e-07
339.0,4.131858754007623e-06,2.8450120855155993e-07
340.0,4.226217625347374e-06,2.8983228742641436e-07
341.0,4.3219725479811334e-06,2.95213939376311e-07
342.0,4.4191285173023905e-06,3.0064577570242924e-07
343.0,4.517690298814455e-06,3.0612739585256955e-07
344.0,4.617662427101084e-06,3.1165838765253724e-07
345.0,4.7190492048930084e-06,3.1723832745234436e-07
346.0,4.8218547022295575e-06,3.2286678036882546e-07
347.0,4.9260827557145735e-06,3.2854330047249674e-07
348.0,5.031736967865883e-06,3.342674309676053e-07
349.0,5.138820706557206e-06,3.4003870446153097e-07
350.0,5.247337104551785e-06,3.458566430796041e-07
