Temperature (K),Evaporation rate (atoms/cm^2/s)
1866.9301, 4.7803e15
1923.9524, 9.3602e15
1956.8234, 2.2685e16
2018.223, 7.2375e16
2097.6684, 2.4927e17
2198.1754, 9.128e17
