#Procedure: <__main__.ExtrusionProcedure>
#Parameters:
#	Displacement: 10 in
#	Is baseline?: False
#	Ku: 5
#	Load cell error %: 9.8 %
#	Load cell range: 32 kg
#	Temperature stabilization time: 60 s
#	Ramping rate: 60 C/min
#	Sample name: XTBC006
#	Extruder speed: 0.508
#	Start position: 16 in
#	Setpoint temperature: 350 C
#	Tu: 32
#Data:
Time (s),Position (cm),Position (in),Force (N),Force error (N),Temperature (C)
0.0,40.64,16.0,-0.82,-0.081,357.75
0.45,40.64,16.0,-0.44,-0.043,357.0
0.79,40.87,16.1,-0.67,-0.066,356.67
1.127,41.04,16.2,-0.49,-0.048,356.08
1.479,41.21,16.2,-0.2,-0.02,357.08
1.805,41.39,16.3,-0.64,-0.063,358.0
2.145,41.56,16.4,-0.64,-0.062,357.25
2.489,41.73,16.4,-0.32,-0.031,356.5
2.827,41.9,16.5,-0.84,-0.083,356.25
3.168,42.08,16.6,-0.94,-0.092,357.0
3.657,42.25,16.6,-0.78,-0.076,357.42
3.861,42.5,16.7,-1.01,-0.099,356.5
4.522,42.6,16.8,-0.92,-0.091,355.25
4.864,42.94,16.9,-1.05,-0.103,355.83
5.203,43.11,17.0,-1.19,-0.117,356.33
5.704,43.28,17.0,-0.97,-0.095,355.92
5.874,43.54,17.1,-1.11,-0.109,355.17
6.733,43.62,17.2,-0.97,-0.095,355.0
6.895,44.06,17.3,-1.14,-0.111,355.42
7.572,44.14,17.4,-1.05,-0.103,354.67
7.959,44.49,17.5,-1.21,-0.118,354.58
8.38,44.68,17.6,-1.49,-0.146,355.0
8.785,44.9,17.7,-0.85,-0.083,355.33
8.984,45.1,17.8,-0.92,-0.09,354.67
9.62,45.2,17.8,-0.79,-0.078,354.17
10.415,45.53,17.9,-1.54,-0.151,354.58
10.829,45.93,18.1,-0.59,-0.058,353.75
11.029,46.14,18.2,-0.58,-0.057,353.42
11.853,46.24,18.2,0.07,0.007,354.67
11.998,46.66,18.4,0.27,0.026,354.08
12.872,46.73,18.4,0.85,0.083,352.83
13.077,47.18,18.6,1.31,0.128,353.42
13.696,47.28,18.6,0.93,0.091,353.5
14.025,47.6,18.7,1.02,0.1,352.75
14.362,47.76,18.8,0.37,0.036,352.75
14.711,47.94,18.9,1.24,0.121,353.42
15.044,48.11,18.9,1.72,0.169,353.58
15.542,48.28,19.0,1.32,0.13,352.75
15.732,48.54,19.1,2.35,0.231,352.08
16.404,48.63,19.1,2.36,0.232,352.92
16.746,48.97,19.3,3.04,0.298,352.83
17.086,49.15,19.3,3.38,0.332,352.08
17.427,49.32,19.4,3.12,0.306,351.92
17.789,49.49,19.5,3.99,0.391,352.33
18.199,49.68,19.6,4.43,0.434,352.67
18.436,49.88,19.6,4.09,0.4,352.17
19.114,50.01,19.7,5.03,0.493,351.67
19.455,50.35,19.8,4.54,0.445,352.33
19.796,50.52,19.9,5.3,0.52,352.33
20.255,50.7,20.0,5.64,0.553,351.67
20.47,50.93,20.1,5.03,0.493,351.08
21.15,51.04,20.1,6.27,0.615,352.0
21.679,51.38,20.2,5.91,0.579,351.67
21.884,51.65,20.3,6.67,0.653,350.83
22.703,51.76,20.4,6.84,0.67,350.75
22.847,52.17,20.5,7.63,0.748,351.42
23.53,52.25,20.6,7.92,0.776,350.58
23.932,52.59,20.7,8.84,0.866,350.5
24.214,52.8,20.8,9.46,0.927,351.25
24.549,52.94,20.8,9.05,0.887,351.67
24.891,53.11,20.9,9.85,0.965,350.92
25.233,53.28,21.0,10.52,1.031,350.0
25.567,53.46,21.0,10.41,1.02,350.17
25.908,53.63,21.1,10.99,1.077,350.75
26.39,53.8,21.2,11.91,1.167,350.75
26.586,54.05,21.3,11.96,1.172,350.0
27.267,54.15,21.3,13.25,1.298,349.92
27.605,54.49,21.5,13.08,1.281,350.42
27.945,54.66,21.5,13.59,1.332,350.0
28.287,54.84,21.6,14.64,1.435,349.58
28.641,55.01,21.7,14.79,1.449,349.58
29.053,55.19,21.7,15.56,1.525,350.17
29.465,55.4,21.8,16.71,1.637,350.42
29.666,55.61,21.9,15.99,1.567,349.67
30.315,55.71,21.9,17.24,1.69,348.83
30.657,56.04,22.1,16.85,1.651,349.42
30.998,56.21,22.1,17.11,1.677,349.75
31.337,56.39,22.2,17.92,1.756,349.25
31.676,56.56,22.3,17.73,1.737,348.58
32.017,56.73,22.3,18.35,1.799,348.83
32.353,56.9,22.4,19.36,1.898,349.42
32.696,57.08,22.5,19.36,1.898,349.33
33.039,57.25,22.5,19.56,1.917,348.58
33.375,57.42,22.6,20.5,2.009,348.42
33.714,57.59,22.7,20.53,2.012,349.0
34.053,57.77,22.7,21.33,2.09,349.42
34.392,57.94,22.8,22.35,2.19,348.92
34.733,58.11,22.9,21.96,2.152,348.17
35.073,58.28,22.9,22.82,2.236,348.33
35.41,58.46,23.0,24.27,2.378,348.92
35.748,58.63,23.1,24.41,2.392,349.0
36.089,58.8,23.1,24.87,2.437,348.25
36.434,58.97,23.2,25.89,2.537,347.83
36.774,59.15,23.3,25.9,2.538,348.42
37.243,59.32,23.4,26.18,2.565,349.08
37.655,59.56,23.4,27.2,2.665,348.75
37.858,59.77,23.5,27.14,2.66,348.0
38.678,59.87,23.6,28.19,2.763,347.83
38.884,60.29,23.7,28.69,2.812,348.42
39.489,60.39,23.8,29.34,2.875,348.17
39.908,60.7,23.9,29.64,2.905,347.5
40.317,60.91,24.0,29.39,2.88,347.58
40.52,61.12,24.1,30.26,2.965,348.25
41.341,61.22,24.1,30.17,2.956,347.58
41.516,61.64,24.3,31.06,3.044,347.17
42.198,61.73,24.3,31.21,3.059,348.25
42.878,62.08,24.4,32.4,3.176,347.25
43.217,62.42,24.6,32.33,3.168,347.17
43.558,62.59,24.6,33.14,3.248,347.67
43.899,62.77,24.7,33.18,3.251,348.08
44.239,62.94,24.8,32.93,3.228,347.42
44.619,63.11,24.8,34.1,3.342,346.83
45.025,63.31,24.9,34.37,3.368,347.0
45.436,63.51,25.0,34.55,3.386,347.67
45.641,63.72,25.1,35.52,3.481,347.92
46.462,63.83,25.1,35.49,3.478,346.67
46.606,64.24,25.3,36.44,3.572,347.0
47.287,64.32,25.3,36.19,3.547,347.5
47.69,64.66,25.5,37.3,3.656,346.75
47.964,64.87,25.5,37.29,3.654,346.58
48.308,65.01,25.6,37.26,3.651,347.17
48.646,65.18,25.7,38.08,3.732,347.75
48.993,65.35,25.7,38.37,3.76,347.25
49.329,65.53,25.8,36.95,3.621,346.58
49.669,65.7,25.9,31.37,3.074,346.67
50.006,65.87,25.9,31.66,3.103,347.33
