#Procedure: <__main__.ExtrusionProcedure>
#Parameters:
#	Displacement: 10 in
#	Is baseline?: False
#	Ku: 5
#	Load cell error %: 9.8 %
#	Load cell range: 32 kg
#	Temperature stabilization time: 60 s
#	Ramping rate: 60 C/min
#	Sample name: XTBC007
#	Extruder speed: 0.508
#	Start position: 16 in
#	Setpoint temperature: 350 C
#	Tu: 32
#Data:
Time (s),Position (cm),Position (in),Force (N),Force error (N),Temperature (C)
0.0,40.64,16.0,0.36,0.035,357.5
0.447,40.64,16.0,0.69,0.067,357.33
0.789,40.87,16.1,0.35,0.035,357.58
1.24,41.04,16.2,0.36,0.035,356.92
1.472,41.27,16.2,0.63,0.061,356.67
2.264,41.39,16.3,0.24,0.023,357.0
2.482,41.79,16.5,0.54,0.053,357.0
3.165,41.9,16.5,0.17,0.017,355.83
3.507,42.25,16.6,0.44,0.043,356.25
3.851,42.42,16.7,0.4,0.039,356.67
4.187,42.6,16.8,0.1,0.01,356.5
4.528,42.77,16.8,0.22,0.021,355.75
4.861,42.94,16.9,0.24,0.024,355.33
5.202,43.11,17.0,-0.2,-0.02,355.75
5.544,43.28,17.0,-0.08,-0.008,356.17
5.884,43.46,17.1,-0.13,-0.013,355.83
6.224,43.63,17.2,-0.46,-0.045,355.17
6.565,43.8,17.2,-0.31,-0.03,355.0
6.9,43.97,17.3,-0.21,-0.021,355.5
7.245,44.15,17.4,-0.41,-0.041,355.67
7.589,44.32,17.4,-0.32,-0.031,355.08
7.917,44.5,17.5,-0.24,-0.023,354.25
8.259,44.66,17.6,-0.62,-0.061,354.42
8.602,44.84,17.7,-0.45,-0.044,354.83
8.938,45.01,17.7,-0.26,-0.025,354.75
9.279,45.18,17.8,-0.7,-0.068,354.0
9.617,45.35,17.9,-0.56,-0.055,353.42
9.955,45.53,17.9,-0.28,-0.028,353.92
10.297,45.7,18.0,-0.85,-0.084,354.33
10.633,45.87,18.1,-0.57,-0.056,354.08
10.976,46.04,18.1,-0.1,-0.01,353.25
11.319,46.22,18.2,-0.68,-0.066,352.92
11.652,46.39,18.3,-0.48,-0.047,353.42
11.994,46.56,18.3,0.01,0.001,353.75
12.337,46.73,18.4,-0.56,-0.055,353.33
12.673,46.91,18.5,-0.61,-0.06,352.67
13.012,47.08,18.5,0.21,0.021,352.58
13.346,47.25,18.6,-0.25,-0.025,353.08
13.688,47.42,18.7,0.05,0.005,353.08
14.031,47.59,18.7,1.0,0.098,352.5
14.372,47.77,18.8,0.46,0.045,351.75
14.71,47.94,18.9,0.76,0.075,352.08
15.053,48.11,18.9,1.99,0.195,352.58
15.383,48.29,19.0,2.13,0.208,352.42
15.731,48.45,19.1,1.51,0.148,351.58
16.069,48.63,19.1,1.92,0.189,351.17
16.407,48.8,19.2,1.59,0.156,351.67
16.746,48.97,19.3,1.51,0.148,352.17
17.084,49.15,19.3,2.38,0.233,351.67
17.419,49.32,19.4,2.26,0.221,350.92
