#Procedure: <__main__.ExtrusionProcedure>
#Parameters:
#	Displacement: 10 in
#	Is baseline?: False
#	Ku: 5
#	Load cell error %: 9.8 %
#	Load cell range: 32 kg
#	Temperature stabilization time: 60 s
#	Ramping rate: 60 C/min
#	Sample name: XTBC005
#	Extruder speed: 0.508
#	Start position: 16 in
#	Setpoint temperature: 350 C
#	Tu: 32
#Data:
Time (s),Position (cm),Position (in),Force (N),Force error (N),Temperature (C)
0.0,40.64,16.0,2.18,0.213,356.58
0.453,40.64,16.0,-0.13,-0.013,355.83
0.794,40.87,16.1,-0.42,-0.042,355.08
1.136,41.04,16.2,-0.28,-0.027,354.67
1.617,41.22,16.2,0.16,0.016,355.75
1.812,41.46,16.3,-0.26,-0.025,356.67
2.482,41.56,16.4,-0.16,-0.015,354.83
2.822,41.9,16.5,-0.35,-0.034,354.67
3.17,42.07,16.6,-0.72,-0.071,355.33
3.511,42.25,16.6,-0.54,-0.053,355.83
3.844,42.42,16.7,-0.63,-0.062,354.92
4.185,42.59,16.8,-0.95,-0.093,354.0
4.526,42.77,16.8,-0.76,-0.074,354.17
4.866,42.94,16.9,-0.72,-0.07,354.92
5.208,43.11,17.0,-0.94,-0.092,354.92
5.537,43.29,17.0,-0.76,-0.075,354.0
5.924,43.45,17.1,-0.63,-0.062,353.5
6.219,43.65,17.2,-1.11,-0.108,354.17
6.564,43.8,17.2,-0.83,-0.082,354.92
6.898,43.97,17.3,-0.7,-0.068,354.25
7.238,44.14,17.4,-1.17,-0.114,353.33
7.577,44.32,17.4,-0.91,-0.089,353.17
7.918,44.49,17.5,-0.68,-0.067,354.0
8.258,44.66,17.6,-1.3,-0.127,354.5
8.598,44.83,17.7,-0.81,-0.08,353.67
8.938,45.01,17.7,-0.51,-0.05,352.83
9.278,45.18,17.8,-1.28,-0.125,353.0
9.609,45.35,17.9,-0.71,-0.069,353.67
9.949,45.52,17.9,-0.41,-0.04,353.67
10.289,45.69,18.0,-1.13,-0.111,352.75
10.639,45.87,18.1,-0.63,-0.062,352.33
10.971,46.04,18.1,-0.13,-0.012,352.83
11.311,46.21,18.2,-0.77,-0.075,353.58
11.653,46.39,18.3,-0.01,-0.001,353.0
11.994,46.56,18.3,0.6,0.059,352.17
12.324,46.73,18.4,-0.03,-0.003,352.0
12.666,46.9,18.5,0.81,0.079,352.75
13.007,47.07,18.5,1.76,0.172,353.17
13.347,47.25,18.6,1.55,0.152,352.25
13.689,47.42,18.7,1.56,0.153,351.33
14.029,47.59,18.7,1.59,0.156,351.5
14.369,47.77,18.8,0.86,0.084,352.17
14.699,47.94,18.9,1.47,0.144,352.33
15.039,48.11,18.9,2.09,0.205,351.5
15.379,48.28,19.0,1.8,0.177,350.83
15.727,48.45,19.1,2.47,0.242,351.25
16.061,48.63,19.1,3.14,0.308,351.83
16.402,48.8,19.2,2.64,0.259,351.67
16.74,48.97,19.3,3.12,0.306,350.92
17.081,49.14,19.3,3.89,0.381,350.67
17.424,49.32,19.4,3.46,0.339,351.25
17.763,49.49,19.5,4.03,0.394,351.75
18.203,49.66,19.6,4.93,0.484,351.25
18.436,49.89,19.6,4.53,0.444,350.5
19.228,50.01,19.7,5.57,0.546,351.0
19.457,50.41,19.8,4.98,0.488,351.33
20.138,50.52,19.9,6.05,0.593,349.92
20.476,50.87,20.0,5.45,0.534,350.17
20.809,51.04,20.1,5.94,0.583,350.75
21.153,51.21,20.2,6.74,0.66,350.75
21.491,51.39,20.2,6.4,0.628,350.0
21.832,51.56,20.3,6.84,0.67,349.75
22.174,51.73,20.4,7.28,0.714,350.25
22.513,51.9,20.4,7.23,0.708,350.75
22.849,52.08,20.5,7.67,0.752,350.25
23.184,52.25,20.6,8.44,0.827,349.58
23.538,52.42,20.6,8.21,0.804,349.67
23.865,52.6,20.7,8.72,0.854,350.25
24.207,52.76,20.8,9.86,0.966,350.58
24.549,52.94,20.8,9.56,0.937,349.92
24.888,53.11,20.9,10.0,0.98,349.25
25.228,53.28,21.0,10.86,1.065,349.42
25.562,53.46,21.0,10.67,1.046,349.92
25.902,53.63,21.1,11.04,1.082,350.08
26.243,53.8,21.2,12.15,1.19,349.42
26.583,53.97,21.2,12.3,1.205,349.0
26.924,54.14,21.3,12.63,1.237,349.33
27.263,54.32,21.4,13.43,1.317,349.92
27.605,54.49,21.5,13.46,1.319,349.58
27.935,54.66,21.5,13.68,1.341,348.92
28.275,54.83,21.6,14.68,1.439,348.83
28.616,55.0,21.7,15.11,1.481,349.42
28.958,55.18,21.7,15.51,1.52,349.83
29.467,55.35,21.8,16.61,1.627,349.08
29.638,55.61,21.9,16.19,1.587,348.33
30.321,55.7,21.9,17.45,1.71,348.42
30.65,56.04,22.1,17.43,1.708,348.83
30.991,56.21,22.1,17.71,1.736,348.67
31.332,56.38,22.2,18.35,1.799,348.42
31.72,56.56,22.3,18.26,1.79,348.5
32.014,56.75,22.3,18.48,1.811,348.75
32.355,56.9,22.4,19.16,1.878,349.25
32.696,57.08,22.5,19.5,1.911,348.75
33.032,57.25,22.5,19.57,1.917,348.08
33.368,57.42,22.6,20.57,2.016,348.25
33.71,57.59,22.7,20.99,2.058,348.83
34.05,57.76,22.7,21.6,2.116,349.17
34.391,57.94,22.8,22.71,2.226,348.42
34.793,58.11,22.9,22.89,2.243,347.75
35.062,58.31,23.0,23.21,2.274,348.0
35.406,58.45,23.0,24.45,2.396,348.67
35.745,58.63,23.1,24.86,2.437,348.58
36.086,58.8,23.1,24.84,2.434,347.83
36.432,58.97,23.2,25.92,2.54,347.67
36.845,59.15,23.3,26.21,2.568,348.33
37.099,59.36,23.4,26.14,2.562,349.0
37.441,59.49,23.4,27.07,2.653,348.33
37.781,59.66,23.5,27.23,2.668,347.58
38.122,59.83,23.6,27.08,2.654,347.58
38.463,60.01,23.6,27.98,2.743,348.42
38.794,60.18,23.7,28.37,2.78,348.92
39.138,60.35,23.8,28.23,2.767,348.08
39.477,60.52,23.8,29.11,2.853,347.25
39.84,60.69,23.9,29.69,2.91,347.42
40.161,60.88,24.0,29.48,2.889,348.17
40.495,61.04,24.0,30.3,2.969,348.67
40.834,61.21,24.1,30.62,3.001,347.92
41.18,61.38,24.2,30.4,2.979,347.25
41.507,61.56,24.2,31.12,3.049,347.58
41.848,61.73,24.3,31.54,3.091,348.33
42.191,61.9,24.4,31.33,3.07,348.42
42.531,62.07,24.4,32.31,3.167,347.58
42.873,62.25,24.5,33.04,3.238,347.33
43.216,62.42,24.6,32.72,3.207,347.92
43.548,62.59,24.6,33.33,3.267,348.75
43.89,62.76,24.7,33.78,3.31,348.17
44.234,62.94,24.8,33.28,3.261,347.42
44.572,63.11,24.8,34.05,3.337,347.33
44.915,63.28,24.9,34.78,3.409,348.17
45.245,63.46,25.0,34.73,3.404,348.92
45.585,63.62,25.0,35.32,3.461,348.08
45.926,63.8,25.1,35.84,3.512,347.33
46.266,63.97,25.2,35.76,3.504,347.25
46.609,64.14,25.3,36.25,3.553,348.08
46.95,64.32,25.3,36.98,3.624,348.75
47.281,64.49,25.4,36.28,3.555,348.17
47.62,64.66,25.5,37.1,3.636,347.33
47.962,64.83,25.5,37.56,3.681,347.33
48.3,65.0,25.6,37.32,3.658,347.92
48.642,65.18,25.7,37.78,3.702,348.5
48.982,65.35,25.7,38.39,3.762,347.83
49.323,65.52,25.8,37.67,3.691,347.25
49.666,65.7,25.9,32.88,3.222,347.42
49.998,65.87,25.9,33.23,3.257,348.08
50.336,66.04,26.0,33.52,3.285,348.58
