##################################################
# SHOT: 203781
# T_RANGE_CHARGE: [1500, 3500]
##################################################
t (s),q (C)
0.0,0.0
2.0000000000209185e-05,0.01634358987854935
4.000000000041837e-05,0.03268494858615331
6.000000000040018e-05,0.04902453682755815
8.000000000060937e-05,0.06536503611903564
0.00010000000000081855,0.08170500179450471
0.00012000000000011824,0.09804534742101813
0.00014000000000010006,0.11438488218340612
0.00016000000000030923,0.13071825050559843
0.00018000000000029104,0.14705208072366516
0.00020000000000050023,0.1633872446663994
0.0002200000000007094,0.17971930931637392
0.0002400000000009186,0.19605190311442003
0.0002599999999999909,0.2123882378777266
0.0002800000000002001,0.22872758092105194
0.0003000000000001819,0.24506671750862064
0.0003200000000003911,0.26140228249365316
0.0003400000000006003,0.27773075518892426
0.0003600000000005821,0.2940534814994702
0.00038000000000010915,0.310368242473774
0.000400000000000091,0.3266786465219469
0.00042000000000007277,0.3429827019229638
0.00044000000000028196,0.3592823282894154
0.00046000000000049116,0.3755873824640471
0.00048000000000047294,0.3919009841759946
0.0005000000000009095,0.40822043953543813
0.0005199999999999818,0.424544537541306
0.0005399999999999636,0.4408727899490856
0.0005600000000001728,0.4572050988603467
0.000580000000000382,0.4735375725235451
0.0006000000000003638,0.48987044261661716
0.000620000000000573,0.5062043495116764
0.0006400000000007822,0.5225424327061055
0.0006599999999998545,0.5388840058879885
0.0006800000000000637,0.5552231919479436
0.0007000000000002729,0.5715639839690356
0.0007200000000002547,0.5879049444572859
0.0007400000000004638,0.6042432101719969
0.0007600000000009004,0.6205788842216784
0.0007800000000006548,0.6369110676509064
0.0007999999999999545,0.6532395733778267
0.0008200000000001637,0.6695656806072998
0.0008400000000001455,0.6858897229973603
0.0008600000000003547,0.7022136433284205
0.0008800000000003366,0.7185369324937642
0.0009000000000003183,0.7348585346451006
0.0009199999999998454,0.7511802245705528
0.0009400000000000546,0.7675002303314727
0.0009600000000000365,0.7838213317276814
0.0009800000000002456,0.8001443255927742
0.0010000000000004547,0.8164649309045698
0.0010200000000004366,0.8327783739967319
0.0010400000000006457,0.8490870653433509
0.0010599999999999455,0.8653951829691806
0.0010799999999999272,0.8817030843333067
0.0011000000000001365,0.8980067631127895
0.0011200000000003455,0.9143032098751743
0.0011400000000003274,0.9305893097759729
0.0011600000000003092,0.9468655528131528
0.0011800000000007458,0.9631387288419514
0.0011999999999998182,0.9794088081113403
0.0012200000000000273,0.9956770154916637
0.0012400000000002366,1.0119420045267842
0.0012600000000002184,1.0282026273756317
0.0012800000000004275,1.044464464769209
0.0013000000000006366,1.0607261711836067
0.0013200000000006184,1.076986735114967
0.001339999999999918,1.0932416300778796
0.0013600000000001274,1.109485514164781
0.0013800000000001092,1.125719520907267
0.0014000000000003183,1.1419481399627642
0.0014200000000005276,1.15817816871984
0.0014400000000005094,1.174404089462503
0.0014600000000007185,1.1906244655951441
0.0014800000000000182,1.2068415069620904
0.0015000000000002275,1.2230541318957577
0.0015200000000002091,1.2392631071744742
0.0015400000000004184,1.255464661124243
0.0015600000000004003,1.2716646629725523
0.0015800000000006093,1.2878669645483682
0.001599999999999909,1.3040691817007524
0.0016200000000001183,1.3202694699126245
0.0016400000000001001,1.3364684335628416
0.0016600000000003092,1.3526685221937325
0.0016800000000005185,1.3688677104061504
0.0017000000000005002,1.3850698223822844
0.0017200000000007095,1.4012744176972898
0.0017400000000000091,1.4174755661674423
0.001759999999999991,1.4336760902679437
0.0017800000000002,1.4498746165379843
0.0018000000000004093,1.4660716371777383
0.0018200000000003912,1.4822648750287513
0.0018400000000006003,1.4984548046770045
0.0018600000000008096,1.5146489061527453
0.0018800000000001092,1.5308470277554838
0.001900000000000091,1.5470439818538624
0.0019200000000003002,1.5632426865311146
0.001940000000000282,1.5794466669104623
0.0019600000000004913,1.595650889431174
0.0019800000000009276,1.611862844475813
0.0020000000000009095,1.6280822763808247
0.002019999999999982,1.6443053569816684
0.002040000000000191,1.6605324521371558
0.002060000000000173,1.6767638618241265
0.002080000000000382,1.6929958442239232
0.0021000000000005914,1.7092246099320039
0.002120000000000573,1.7254537414641413
0.0021400000000001,1.7416808446758034
0.002160000000000082,1.7579081841565385
0.002180000000000064,1.7741340267446903
0.002200000000000273,1.790359022322975
0.002220000000000482,1.8065885279906746
0.002240000000000464,1.822818291524237
0.0022600000000009006,1.8390513471168775
0.0022799999999999726,1.8552872736419814
0.0022999999999999544,1.8715208668193106
0.002320000000000164,1.887754180204173
0.002340000000000373,1.9039890059650728
0.002360000000000355,1.9202209311701002
0.0023800000000003367,1.9364476497594794
0.002400000000000773,1.95267143060443
0.0024199999999998455,1.9688950323179035
0.0024400000000000545,1.9851202140854065
0.0024600000000002636,2.0013411401994423
0.0024800000000002455,2.017558385537098
0.002500000000000455,2.033771278360557
0.002520000000000664,2.0499760748156315
0.002540000000000646,2.0661790909851314
0.0025599999999999456,2.0823810297614624
0.0025800000000001547,2.0985782249110283
0.0026000000000001365,2.1147730043907615
0.0026200000000003456,2.130963906885511
0.0026400000000003274,2.1471524321168434
0.0026600000000003093,2.163342341768125
0.002680000000000746,2.1795333822960994
0.0027000000000000457,2.1957255507316944
0.0027200000000000275,2.2119168487018714
0.0027400000000002366,2.228103199512549
0.0027600000000004457,2.2442902376012044
0.0027800000000004275,2.260486119841755
0.0028000000000006366,2.276688849895636
0.0028199999999999363,2.292891837641513
0.002839999999999918,2.3090953744172587
0.002860000000000127,2.3252981494453686
0.0028800000000003367,2.341497439390714
0.0029000000000003186,2.3576901525883445
0.0029200000000005276,2.373875511157737
