 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Deuterium in Boron.txt

 Ion = Hydrogen [1] , Mass = 2.014 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   1.206E-01  3.288E-02     255 A       146 A       119 A   
   1.50 keV   1.248E-01  3.190E-02     273 A       152 A       125 A   
   1.60 keV   1.289E-01  3.099E-02     291 A       159 A       132 A   
   1.70 keV   1.329E-01  3.013E-02     308 A       165 A       137 A   
   1.80 keV   1.367E-01  2.933E-02     326 A       171 A       143 A   
   2.00 keV   1.441E-01  2.787E-02     361 A       182 A       154 A   
   2.25 keV   1.529E-01  2.627E-02     404 A       195 A       168 A   
   2.50 keV   1.611E-01  2.488E-02     446 A       207 A       180 A   
   2.75 keV   1.690E-01  2.364E-02     488 A       219 A       192 A   
   3.00 keV   1.765E-01  2.254E-02     529 A       229 A       203 A   
   3.25 keV   1.837E-01  2.156E-02     569 A       239 A       214 A   
   3.50 keV   1.906E-01  2.067E-02     609 A       248 A       224 A   
   3.75 keV   1.973E-01  1.986E-02     648 A       257 A       234 A   
   4.00 keV   2.038E-01  1.912E-02     687 A       265 A       243 A   
   4.50 keV   2.147E-01  1.782E-02     762 A       280 A       261 A   
   5.00 keV   2.251E-01  1.671E-02     836 A       293 A       277 A   
   5.50 keV   2.352E-01  1.575E-02     908 A       305 A       293 A   
   6.00 keV   2.449E-01  1.491E-02     979 A       317 A       307 A   
   6.50 keV   2.543E-01  1.416E-02    1048 A       327 A       320 A   
   7.00 keV   2.634E-01  1.349E-02    1115 A       336 A       333 A   
   8.00 keV   2.807E-01  1.236E-02    1246 A       354 A       356 A   
   9.00 keV   2.969E-01  1.142E-02    1372 A       369 A       378 A   
  10.00 keV   3.120E-01  1.063E-02    1493 A       382 A       397 A   
  11.00 keV   3.262E-01  9.951E-03    1610 A       394 A       414 A   
  12.00 keV   3.395E-01  9.365E-03    1723 A       404 A       431 A   
  13.00 keV   3.520E-01  8.852E-03    1833 A       414 A       446 A   
  14.00 keV   3.638E-01  8.399E-03    1941 A       423 A       460 A   
  15.00 keV   3.750E-01  7.994E-03    2046 A       431 A       473 A   
  16.00 keV   3.857E-01  7.632E-03    2148 A       438 A       485 A   
  17.00 keV   3.959E-01  7.304E-03    2248 A       445 A       497 A   
  18.00 keV   4.058E-01  7.006E-03    2347 A       451 A       508 A   
  20.00 keV   4.248E-01  6.485E-03    2537 A       463 A       529 A   
  22.50 keV   4.472E-01  5.943E-03    2766 A       477 A       552 A   
  25.00 keV   4.686E-01  5.493E-03    2986 A       488 A       572 A   
  27.50 keV   4.890E-01  5.112E-03    3197 A       498 A       591 A   
  30.00 keV   5.084E-01  4.786E-03    3401 A       508 A       608 A   
  32.50 keV   5.270E-01  4.502E-03    3598 A       516 A       624 A   
  35.00 keV   5.447E-01  4.253E-03    3789 A       523 A       638 A   
  37.50 keV   5.614E-01  4.033E-03    3974 A       530 A       652 A   
  40.00 keV   5.773E-01  3.836E-03    4155 A       536 A       664 A   
  45.00 keV   6.064E-01  3.500E-03    4504 A       548 A       687 A   
  50.00 keV   6.321E-01  3.223E-03    4838 A       559 A       707 A   
  55.00 keV   6.546E-01  2.989E-03    5161 A       568 A       725 A   
  60.00 keV   6.742E-01  2.790E-03    5475 A       576 A       742 A   
  65.00 keV   6.912E-01  2.618E-03    5780 A       584 A       757 A   
  70.00 keV   7.057E-01  2.467E-03    6080 A       591 A       772 A   
  80.00 keV   7.284E-01  2.216E-03    6664 A       606 A       798 A   
  90.00 keV   7.440E-01  2.015E-03    7234 A       620 A       821 A   
 100.00 keV   7.539E-01  1.850E-03    7795 A       633 A       842 A   
 110.00 keV   7.595E-01  1.712E-03    8351 A       645 A       862 A   
 120.00 keV   7.615E-01  1.594E-03    8905 A       656 A       881 A   
 130.00 keV   7.607E-01  1.493E-03    9459 A       667 A       899 A   
 140.00 keV   7.578E-01  1.404E-03    1.00 um      677 A       917 A   
 150.00 keV   7.533E-01  1.326E-03    1.06 um      687 A       933 A   
 160.00 keV   7.475E-01  1.257E-03    1.11 um      697 A       950 A   
 170.00 keV   7.407E-01  1.196E-03    1.17 um      707 A       966 A   
 180.00 keV   7.332E-01  1.140E-03    1.23 um      717 A       982 A   
 200.00 keV   7.169E-01  1.044E-03    1.34 um      745 A      1012 A   
 225.00 keV   6.950E-01  9.463E-04    1.49 um      786 A      1051 A   
 250.00 keV   6.729E-01  8.662E-04    1.65 um      828 A      1088 A   
 275.00 keV   6.511E-01  7.993E-04    1.81 um      869 A      1126 A   
 300.00 keV   6.301E-01  7.427E-04    1.97 um      911 A      1165 A   
 325.00 keV   6.101E-01  6.940E-04    2.15 um      954 A      1204 A   
 350.00 keV   5.911E-01  6.517E-04    2.32 um      997 A      1244 A   
 375.00 keV   5.732E-01  6.146E-04    2.50 um     1041 A      1284 A   
 400.00 keV   5.563E-01  5.817E-04    2.69 um     1085 A      1326 A   
 450.00 keV   5.253E-01  5.261E-04    3.08 um     1240 A      1412 A   
 500.00 keV   4.978E-01  4.807E-04    3.50 um     1393 A      1502 A   
 550.00 keV   4.733E-01  4.429E-04    3.94 um     1545 A      1596 A   
 600.00 keV   4.513E-01  4.110E-04    4.40 um     1697 A      1696 A   
 650.00 keV   4.315E-01  3.836E-04    4.88 um     1850 A      1799 A   
 700.00 keV   4.136E-01  3.598E-04    5.38 um     2004 A      1907 A   
 800.00 keV   3.824E-01  3.206E-04    6.45 um     2549 A      2137 A   
 900.00 keV   3.563E-01  2.894E-04    7.60 um     3063 A      2384 A   
   1.00 MeV   3.340E-01  2.641E-04    8.83 um     3564 A      2648 A   
   1.10 MeV   3.147E-01  2.430E-04   10.14 um     4058 A      2929 A   
   1.20 MeV   2.979E-01  2.253E-04   11.53 um     4550 A      3225 A   
   1.30 MeV   2.830E-01  2.100E-04   12.99 um     5043 A      3537 A   
   1.40 MeV   2.698E-01  1.968E-04   14.53 um     5538 A      3863 A   
   1.50 MeV   2.580E-01  1.853E-04   16.14 um     6036 A      4204 A   
   1.60 MeV   2.473E-01  1.751E-04   17.82 um     6538 A      4558 A   
   1.70 MeV   2.376E-01  1.660E-04   19.57 um     7044 A      4926 A   
   1.80 MeV   2.288E-01  1.579E-04   21.39 um     7554 A      5307 A   
   2.00 MeV   2.133E-01  1.439E-04   25.24 um     9410 A      6108 A   
   2.25 MeV   1.977E-01  1.297E-04   30.41 um     1.20 um     7177 A   
   2.50 MeV   1.832E-01  1.181E-04   36.00 um     1.45 um     8320 A   
   2.75 MeV   1.717E-01  1.086E-04   41.99 um     1.69 um     9537 A   
   3.00 MeV   1.618E-01  1.005E-04   48.36 um     1.93 um     1.08 um  
   3.25 MeV   1.532E-01  9.363E-05   55.11 um     2.17 um     1.22 um  
   3.50 MeV   1.455E-01  8.767E-05   62.23 um     2.41 um     1.36 um  
   3.75 MeV   1.386E-01  8.245E-05   69.71 um     2.64 um     1.51 um  
   4.00 MeV   1.324E-01  7.785E-05   77.55 um     2.88 um     1.66 um  
   4.50 MeV   1.217E-01  7.009E-05   94.30 um     3.76 um     1.99 um  
   5.00 MeV   1.127E-01  6.380E-05  112.45 um     4.59 um     2.34 um  
   5.50 MeV   1.050E-01  5.859E-05  131.99 um     5.39 um     2.71 um  
   6.00 MeV   9.844E-02  5.420E-05  152.89 um     6.18 um     3.11 um  
   6.50 MeV   9.269E-02  5.045E-05  175.14 um     6.97 um     3.53 um  
   7.00 MeV   8.763E-02  4.720E-05  198.73 um     7.77 um     3.97 um  
   8.00 MeV   7.911E-02  4.187E-05  249.79 um    10.68 um     4.93 um  
   9.00 MeV   7.222E-02  3.766E-05  306.04 um    13.39 um     5.97 um  
  10.00 MeV   6.652E-02  3.426E-05  367.38 um    16.04 um     7.09 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3501E+01                 eV / Angstrom 
  2.3501E+02                keV / micron   
  2.3501E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.7952E+01                 eV / (1E15 atoms/cm2)
  5.3523E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
