element	sp_num	obs_wl_vac(nm)	unc_obs_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref
B	3	"436.734"	"0.010"	"100"	""		"233.1215"	"235.9604"	"1s.2p.(3P*).4f"	"4F"	"3/2,5/2,7/2,9/2"	"1s.2p.(3P*).5g"	"4G*"	"5/2,7/2,9/2,11/2"		""	"L12547"
O	2	"436.7757"	"0.0010"	"9"	""		"28.8630624"	"31.7016866"	"2s2.2p2.(3P).3d"	"2F"	"5/2"	"2s2.2p2.(3P).4f D"	"2[3]*"	"7/2"		""	"L10621"
O	2	"436.8119"	"0.0010"	"20"	"3.92e+07"	B	"22.9989602"	"25.8373471"	"2s2.2p2.(3P).3s"	"4P"	"5/2"	"2s2.2p2.(3P).3p"	"4P*"	"3/2"		"T6172,T6632"	"L10621,L3448"
C	2	"436.9275"	"0.0017"	"30h,u"	"8.8e+06"	C	"24.656151"	"27.493785"	"2s.2p.(3P*).3d"	"4P*"	"3/2"	"2s.2p.(3P*).4f"	"2D"	"3/2"		"T10528"	"L1176"
O	1	"436.948"	"0.010"	"100"	"7.58e+05"	B	"9.5213638"	"12.3588649"	"2s2.2p3.(4S*).3s"	"3S*"	"1"	"2s2.2p3.(4S*).4p"	"3P"	"1"		"T5803n,LS"	"L3760"
C	2	"436.949"	"0.004"	"66u*"	"1.75e+07"	C+	"24.653514"	"27.490999"	"2s.2p.(3P*).3d"	"4P*"	"5/2"	"2s.2p.(3P*).4f"	"2D"	"5/2"		"T10528"	"L1176"
C	2	"436.949"	"0.004"	"66u*"	"8.0e+06"	C	"24.653514"	"27.490983"	"2s.2p.(3P*).3d"	"4P*"	"5/2"	"2s.2p.(3P*).4f"	"4D"	"3/2"		"T10528"	"L1176"
O	2	"437.0503"	"0.0010"	"13"	"3.57e+07"	B	"26.2254001"	"29.0622429"	"2s2.2p2.(3P).3p"	"2D*"	"3/2"	"2s2.2p2.(3P).3d"	"2D"	"3/2"		"T6172n"	"L10621"
C	2	"437.1085"	"0.0007"	"29"	"2.9e+07"	C	"24.656151"	"27.492608"	"2s.2p.(3P*).3d"	"4P*"	"3/2"	"2s.2p.(3P*).4f"	"4D"	"1/2"		"T10528"	"L1176"
C	2	"437.1889"	"0.0017"	"20h"	"6.4e+06"	C	"24.657857"	"27.493785"	"2s.2p.(3P*).3d"	"4P*"	"1/2"	"2s.2p.(3P*).4f"	"2D"	"3/2"		"T10528"	"L1176"
