element	sp_num	obs_wl_vac(nm)	unc_obs_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref
O	2	"350.2671"	"0.0010"	"4"	""		"28.8525664"	"32.392272"	"2s2.2p2.(3P).3d"	"4D"	"1/2"	"2s2.2p2.(3P).5p"	"4P*"	"3/2"		""	"L10621"
O	2	"350.6842"	"0.0010"	"6"	""		"28.8568239"	"32.392272"	"2s2.2p2.(3P).3d"	"4D"	"3/2"	"2s2.2p2.(3P).5p"	"4P*"	"3/2"		""	"L10621"
O	2	"350.8419"	"0.0010"	"3"	""		"28.8525664"	"32.386467"	"2s2.2p2.(3P).3d"	"4D"	"1/2"	"2s2.2p2.(3P).5p"	"4P*"	"1/2"		""	"L10621"
O	2	"351.2659"	"0.0010"	"5"	""		"28.8568239"	"32.386467"	"2s2.2p2.(3P).3d"	"4D"	"3/2"	"2s2.2p2.(3P).5p"	"4P*"	"1/2"		""	"L10621"
C	1	"351.5806"	"0.0005"	"6000"	""		"7.48779869"	"11.014279"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.(2P*<3/2>).8p"	"2[5/2]"	"3"		""	"L17684"
O	2	"351.5828"	"0.0010"	"2"	"2.22e+05"	D	"28.512453"	"32.038913"	"2s2.2p2.(1D).3p"	"2D*"	"3/2"	"2s2.2p2.(3P).5s"	"2P"	"1/2"		"T5723LS"	"L10621"
O	2	"351.7032"	"0.0010"	"3"	""		"28.8570199"	"32.382266"	"2s2.2p2.(3P).3d"	"4D"	"5/2"	"2s2.2p2.(3P).5p"	"4D*"	"7/2"		""	"L10621"
O	2	"351.7800"	"0.0010"	"4"	""		"28.8577953"	"32.382266"	"2s2.2p2.(3P).3d"	"4D"	"7/2"	"2s2.2p2.(3P).5p"	"4D*"	"7/2"		""	"L10621"
O	2	"351.8313"	"0.0010"	"1"	""		"28.8307832"	"32.354745"	"2s2.2p2.(3P).3d"	"4P"	"3/2"	"2s2.2p2.(3P).5p"	"4D*"	"3/2"		""	"L10621"
C	1	"351.9320"	"0.0010"	"2700"	""		"7.48277598"	"11.005709"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.(2P*<1/2>).8p"	"2[3/2]"	"1"		""	"L17684"
O	2	"353.4014"	"0.0010"	"2"	""		"28.8570199"	"32.365335"	"2s2.2p2.(3P).3d"	"4D"	"5/2"	"2s2.2p2.(3P).5p"	"4D*"	"5/2"		""	"L10621"
O	2	"354.0211"	"0.0010"	"1"	""		"28.8525664"	"32.354745"	"2s2.2p2.(3P).3d"	"4D"	"1/2"	"2s2.2p2.(3P).5p"	"4D*"	"3/2"		""	"L10621"
O	2	"354.4512"	"0.0010"	"2"	""		"28.8568239"	"32.354745"	"2s2.2p2.(3P).3d"	"4D"	"3/2"	"2s2.2p2.(3P).5p"	"4D*"	"3/2"		""	"L10621"
O	2	"354.6057"	"0.0010"	"1"	""		"28.8525664"	"32.348960"	"2s2.2p2.(3P).3d"	"4D"	"1/2"	"2s2.2p2.(3P).5p"	"4D*"	"1/2"		""	"L10621"
O	2	"354.7225"	"0.0010"	"1bl"	""		"28.941697"	"32.436939"	"2s2.2p2.(3P).3d"	"2P"	"3/2"	"2s2.2p2.(3P).5p"	"4S*"	"3/2"		""	"L10621"
O	2	"355.0105"	"0.0010"	"3"	""		"26.3047208"	"29.797124"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).4s"	"2P"	"1/2"		""	"L10621"
O	2	"355.1871"	"0.0010"	"1"	"1.01e+05"	E	"28.955839"	"32.446510"	"2s2.2p2.(3P).3d"	"2P"	"1/2"	"2s2.2p2.(3P).5p"	"2D*"	"3/2"		"T5723LS"	"L10621"
O	4	"356.141"	"0.010"	"230"	"1.03e+08"	B	"59.84297"	"63.32430"	"2s.2p.(3P*).3p"	"2D"	"3/2"	"2s.2p.(3P*).3d"	"2F*"	"5/2"		"T5109LS"	"L648"
O	4	"356.435"	"0.010"	"270"	"1.10e+08"	B	"59.87465"	"63.35310"	"2s.2p.(3P*).3p"	"2D"	"5/2"	"2s.2p.(3P*).3d"	"2F*"	"7/2"		"T5109LS"	"L648"
O	2	"356.7586"	"0.0010"	"2"	""		"29.820351"	"33.295647"	"2s2.2p2.(3P).4s"	"2P"	"3/2"	"2s2.2p2.(3P).6p"	"4D*"	"5/2"		""	"L10621"
B	3	"356.819"	"0.003"	"80"	"2.60e+07"	A	"29.470829"	"32.94555"	"1s2.4s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"3/2"		"T5118LS"	"L482"
B	3	"356.845"	"0.003"	"160"	"2.59e+07"	A	"29.470829"	"32.94528"	"1s2.4s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"1/2"		"T5118LS"	"L482"
O	2	"357.5859"	"0.0010"	"3"	""		"29.0622429"	"32.529492"	"2s2.2p2.(3P).3d"	"2D"	"3/2"	"2s2.2p2.(3P).5p"	"2P*"	"3/2"		""	"L10621"
O	2	"358.2509"	"0.0010"	"4"	""		"29.0686699"	"32.529492"	"2s2.2p2.(3P).3d"	"2D"	"5/2"	"2s2.2p2.(3P).5p"	"2P*"	"3/2"		""	"L10621"
C	2	"358.2785"	"0.0007"	"21"	"1.97e+06"	B	"22.529299"	"25.989855"	"2s.2p.(3P*).3p"	"4D"	"3/2"	"2s.2p.(3P*).4s"	"4P*"	"5/2"		"T5109LS"	"L1176"
C	2	"358.6000"	"0.0007"	"57"	"1.76e+07"	B	"22.532400"	"25.989855"	"2s.2p.(3P*).3p"	"4D"	"5/2"	"2s.2p.(3P*).4s"	"4P*"	"5/2"		"T5109LS"	"L1176"
C	2	"358.6832"	"0.0007"	"20"	"4.90e+06"	B	"22.527518"	"25.984173"	"2s.2p.(3P*).3p"	"4D"	"1/2"	"2s.2p.(3P*).4s"	"4P*"	"3/2"		"T5109LS"	"L1176"
C	2	"358.8681"	"0.0007"	"44"	"3.13e+07"	B	"22.529299"	"25.984173"	"2s.2p.(3P*).3p"	"4D"	"3/2"	"2s.2p.(3P*).4s"	"4P*"	"3/2"		"T5109LS"	"L1176"
C	2	"358.9939"	"0.0007"	"34"	"4.92e+07"	B+	"22.527518"	"25.981185"	"2s.2p.(3P*).3p"	"4D"	"1/2"	"2s.2p.(3P*).4s"	"4P*"	"1/2"		"T2440"	"L1176"
C	2	"359.0681"	"0.0007"	"96"	"7.80e+07"	B	"22.536905"	"25.989855"	"2s.2p.(3P*).3p"	"4D"	"7/2"	"2s.2p.(3P*).4s"	"4P*"	"5/2"		"T5109LS"	"L1176"
C	2	"359.184"	"0.003"	"150*"	"4.95e+07"	B+	"22.529299"	"25.981185"	"2s.2p.(3P*).3p"	"4D"	"3/2"	"2s.2p.(3P*).4s"	"4P*"	"1/2"		"T2440"	"L21568,L1176"
C	2	"359.184"	"0.003"	"150*"	"6.23e+07"	B+	"22.532400"	"25.984173"	"2s.2p.(3P*).3p"	"4D"	"5/2"	"2s.2p.(3P*).4s"	"4P*"	"3/2"		"T2440"	"L21568,L1176"
C	1	"359.6166"	"0.0010"	"2700*"	""		"7.68476777"	"11.132446"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.(2P*<1/2>).11p"	"2[3/2]"	"1"		""	"L17684"
C	1	"359.6166"	"0.0010"	"2700*"	""		"7.48277598"	"10.930438"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.7p"	"3P"	"0"		""	"L17684"
C	1	"359.6482"	"0.0005"	"2700"	""		"7.48779869"	"10.935183"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.7p"	"3P"	"2"		""	"L17684"
C	1	"360.2492"	"0.0005"	"2700"	""		"7.48039414"	"10.922016"	"2s2.2p.3s"	"3P*"	"0"	"2s2.2p.7p"	"3D"	"1"		""	"L17684"
C	1	"360.4468"	"0.0005"	"4100"	""		"7.48277598"	"10.922519"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.7p"	"3D"	"2"		""	"L17684"
C	1	"360.4556"	"0.0005"	"6100"	""		"7.48779869"	"10.927451"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.7p"	"3D"	"3"		""	"L17684"
C	1	"360.4980"	"0.0005"	"2700"	""		"7.48277598"	"10.922016"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.7p"	"3D"	"1"		""	"L17684"
O	2	"360.6152"	"0.0010"	"3"	""		"29.619076"	"33.057203"	"2s2.2p2.(3P).4s"	"4P"	"5/2"	"2s2.2p2.(1D).4p"	"2D*"	"3/2"		""	"L10621"
O	2	"360.6559"	"0.0010"	"2"	""		"28.512453"	"31.950200"	"2s2.2p2.(1D).3p"	"2D*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"1/2"		""	"L10621"
C	1	"360.8969"	"0.0005"	"2700"	""		"7.48277598"	"10.918215"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.7p"	"1P"	"1"		""	"L17684"
C	1	"360.9725"	"0.0005"	"4100"	""		"7.48779869"	"10.922519"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.7p"	"3D"	"2"		""	"L17684"
C	1	"361.0592"	"0.0005"	"2200"	""		"7.68476777"	"11.118671"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.(2P*<3/2>).10p"	"2[1/2]"	"0"		""	"L17684"
C	1	"362.6643"	"0.0005"	"2200"	""		"7.68476777"	"11.103472"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.(2P*<1/2>).10p"	"2[3/2]"	"1"		""	"L17684"
O	2	"364.7599"	"0.0010"	"3"	"1.26e+06"	D	"29.0686699"	"32.467735"	"2s2.2p2.(3P).3d"	"2D"	"5/2"	"2s2.2p2.(3P).5p"	"2D*"	"5/2"		"T5723LS"	"L10621"
C	1	"364.9663"	"0.0005"	"2200"	""		"7.68476777"	"11.081910"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.(2P*<3/2>).9p"	"2[1/2]"	"0"		""	"L17684"
C	1	"365.3865"	"0.0005"	"2200"	""		"7.68476777"	"11.078002"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.(2P*<3/2>).9p"	"2[5/2]"	"2"		""	"L17684"
B	3	"365.663"	"0.010"	"50*"	""		"33.02832"	"[36.41881]"	"1s2.5d"	"2D"	"3/2"	"1s2.9f"	"2F*"	"5/2"		""	"L12547"
B	3	"365.663"	"0.010"	"50*"	""		"33.02840"	"[36.41881]"	"1s2.5d"	"2D"	"5/2"	"1s2.9f"	"2F*"	"7/2"		""	"L12547"
B	3	"365.663"	"0.010"	"50*"	""		"33.02840"	"[36.41881]"	"1s2.5d"	"2D"	"5/2"	"1s2.9f"	"2F*"	"5/2"		""	"L12547"
B	3	"366.11"	"0.03"	"30*"	""		"33.03217"	"[36.41888]"	"1s2.5f"	"2F*"	"5/2"	"1s2.9g"	"2G"	"7/2,9/2"		""	"L12547"
B	3	"366.11"	"0.03"	"30*"	""		"33.03220"	"[36.41888]"	"1s2.5f"	"2F*"	"7/2"	"1s2.9g"	"2G"	"7/2,9/2"		""	"L12547"
B	3	"366.11"	"0.03"	"30*"	""		"33.03273"	"[36.41890]"	"1s2.5g"	"2G"	"7/2,9/2"	"1s2.9h"	"2H*"	"9/2,11/2"		""	"L12547"
O	2	"366.3545"	"0.0010"	"1"	"1.20e+06"	D	"29.0622429"	"32.446510"	"2s2.2p2.(3P).3d"	"2D"	"3/2"	"2s2.2p2.(3P).5p"	"2D*"	"3/2"		"T5723LS"	"L10621"
O	2	"366.8948"	"0.0010"	"3"	""		"28.941697"	"32.320978"	"2s2.2p2.(3P).3d"	"2P"	"3/2"	"2s2.2p2.(3P).5p"	"2S*"	"1/2"		""	"L10621"
C	1	"366.9645"	"0.0005"	"3300"	""		"7.68476777"	"11.063411"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.(2P*<1/2>).9p"	"2[3/2]"	"1"		""	"L17684"
O	2	"367.0517"	"0.0010"	"3"	"1.32e+05"	E	"29.0686699"	"32.446510"	"2s2.2p2.(3P).3d"	"2D"	"5/2"	"2s2.2p2.(3P).5p"	"2D*"	"3/2"		"T5723LS"	"L10621"
O	2	"368.4375"	"0.0010"	"1"	""		"28.955839"	"32.320978"	"2s2.2p2.(3P).3d"	"2P"	"1/2"	"2s2.2p2.(3P).5p"	"2S*"	"1/2"		""	"L10621"
B	2	"369.34"	"0.05"	"30"	"1.2e+07"	C	"19.178635"	"22.53607"	"1s2.2s.3d"	"1D"	"2"	"1s2.2s.5p"	"1P*"	"1"		"u27"	"L12120"
B	2	"369.639"	"0.010"	"130"	""		"21.150629"	"24.50482"	"1s2.2s.4p"	"1P*"	"1"	"1s2.2s.9d"	"1D"	"2"		""	"L12120"
O	3	"369.975"	"0.010"	"80"	"7.62e+07"	C+	"41.993693"	"45.344825"	"2s.2p2.(4P).3s"	"5P"	"2"	"2s.2p2.(4P).3p"	"5D*"	"3"		"T5376LS"	"L3467"
O	3	"370.380"	"0.010"	"80"	""		""	""	""	""	""	""	""	""		""	"L3467"
O	3	"370.442"	"0.010"	"80"	"1.14e+08"	C+	"42.013661"	"45.360597"	"2s.2p2.(4P).3s"	"5P"	"3"	"2s.2p2.(4P).3p"	"5D*"	"4"		"T5376LS"	"L3467"
C	1	"370.6611"	"0.0005"	"3300"	""		"7.68476777"	"11.029715"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.(2P*<3/2>).8p"	"2[1/2]"	"0"		""	"L17684"
O	3	"370.829"	"0.010"	"110"	"7.34e+07"	C+	"37.233938"	"40.577338"	"2s2.2p.(2P*).3p"	"3P"	"1"	"2s2.2p.(2P*).3d"	"3D*"	"2"		"T5376,T5791,LS"	"L3467"
C	1	"371.3091"	"0.0005"	"3300"	""		"7.68476777"	"11.023878"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.(2P*<3/2>).8p"	"2[5/2]"	"2"		""	"L17684"
O	2	"371.3797"	"0.0010"	"25"	"2.75e+07"	B	"22.9662478"	"26.3047208"	"2s2.2p2.(3P).3s"	"4P"	"1/2"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"		"T6172,T6632"	"L10621"
O	3	"371.614"	"0.010"	"110"	"9.73e+07"	C+	"37.250129"	"40.586496"	"2s2.2p.(2P*).3p"	"3P"	"2"	"2s2.2p.(2P*).3d"	"3D*"	"3"		"T5376,T5791,LS"	"L3467"
O	4	"372.699"	"0.010"	"315w"	"6.01e+07"	B	"58.07605"	"61.40269"	"2s.2p.(3P*).3p"	"4D"	"3/2"	"2s.2p.(3P*).3d"	"4F*"	"5/2"		"T5109LS"	"L648"
O	2	"372.8380"	"0.0010"	"27"	"5.64e+07"	B	"22.9793029"	"26.3047208"	"2s2.2p2.(3P).3s"	"4P"	"3/2"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"		"T6172,T6632"	"L10621"
C	1	"373.0086"	"0.0005"	"4200"	""		"7.68476777"	"11.008664"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.(2P*<1/2>).8p"	"2[1/2]"	"1"		""	"L17684"
O	4	"373.009"	"0.010"	"360"	"6.86e+07"	B	"58.09287"	"61.41676"	"2s.2p.(3P*).3p"	"4D"	"5/2"	"2s.2p.(3P*).3d"	"4F*"	"7/2"		"T5109LS"	"L648"
O	2	"373.0286"	"0.0010"	"14"	"2.44e+07"	C	"28.823901"	"32.147624"	"2s2.2p2.(1D).3p"	"2P*"	"1/2"	"2s2.2p2.(1D).4s"	"2D"	"3/2"		"T5723LS"	"L10621"
C	1	"373.3410"	"0.0005"	"5000"	""		"7.68476777"	"11.005709"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.(2P*<1/2>).8p"	"2[3/2]"	"1"		""	"L17684"
C	1	"373.5571"	"0.0005"	"2800"	""		"7.48039414"	"10.7994123"	"2s2.2p.3s"	"3P*"	"0"	"2s2.2p.6p"	"3P"	"1"		""	"L17684"
C	1	"373.6838"	"0.0005"	"5600"	""		"7.48277598"	"10.800665"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.6p"	"3P"	"2"		""	"L17684"
O	2	"373.6846"	"0.0010"	"15"	"2.92e+07"	C	"28.829685"	"32.147566"	"2s2.2p2.(1D).3p"	"2P*"	"3/2"	"2s2.2p2.(1D).4s"	"2D"	"5/2"		"T5723LS"	"L10621"
O	4	"373.791"	"0.010"	"410"	"7.95e+07"	B	"58.11883"	"61.43577"	"2s.2p.(3P*).3p"	"4D"	"7/2"	"2s.2p.(3P*).3d"	"4F*"	"9/2"		"T5109LS"	"L648"
C	1	"373.8249"	"0.0005"	"2800"	""		"7.48277598"	"10.7994123"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.6p"	"3P"	"1"		""	"L17684"
O	2	"374.0825"	"0.0010"	"20"	"2.97e+07"	B	"26.3047208"	"29.619076"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).4s"	"4P"	"5/2"		"T6632"	"L10621"
C	1	"374.1853"	"0.0005"	"2800"	""		"7.48277598"	"10.796222"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.6p"	"3P"	"0"		""	"L17684"
C	1	"374.2507"	"0.0005"	"6300"	""		"7.48779869"	"10.800665"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.6p"	"3P"	"2"		""	"L17684"
O	2	"374.2703"	"0.0010"	"11"	"4.50e+06"	D	"28.361069"	"31.673760"	"2s2.2p2.(1D).3p"	"2F*"	"7/2"	"2s2.2p2.(3P).4d"	"2F"	"7/2"		"T5723LS"	"L10621"
C	1	"374.3915"	"0.0005"	"4200"	""		"7.48779869"	"10.7994123"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.6p"	"3P"	"1"		""	"L17684"
O	3	"374.506"	"0.010"	"110"	""		""	""	""	""	""	""	""	""		""	"L3467"
O	4	"374.595"	"0.010"	"230"	"1.92e+07"	B	"58.09287"	"61.40269"	"2s.2p.(3P*).3p"	"4D"	"5/2"	"2s.2p.(3P*).3d"	"4F*"	"5/2"		"T5109LS"	"L648"
N	4	"374.861"	"0.010"	"90"	"9.92e+07"	B	"58.64816"	"61.95564"	"1s2.2p.(2P*<3/2>).3s"	"1P*"	"1"	"1s2.2p.(2P*<3/2>).3p"	"1D"	"2"		"T5633"	"L4738"
O	2	"374.9946"	"0.0010"	"6"	""		"25.2856211"	"28.591928"	"2s2.2p2.(3P).3p"	"2S*"	"1/2"	"2s2.2p2.(1S).3s"	"2S"	"1/2"		""	"L10621"
O	2	"375.0552"	"0.0010"	"30"	"8.97e+07"	B	"22.9989602"	"26.3047208"	"2s2.2p2.(3P).3s"	"4P"	"5/2"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"		"T6172,T6632"	"L10621"
N	3	"375.574"	"0.010"	"90"	"3.78e+07"	B	"35.65680"	"38.95798"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	"2s.2p.(3P*).3p"	"4S"	"3/2"		"T7192LS"	"L3513"
O	3	"375.574"	"0.010"	"150"	"7.53e+07"	C+	"33.150537"	"36.451709"	"2s2.2p.(2P*).3s"	"3P*"	"1"	"2s2.2p.(2P*).3p"	"3D"	"2"		"u24"	"L3467"
C	1	"375.6188"	"0.0005"	"5600"	""		"7.48039414"	"10.781192"	"2s2.2p.3s"	"3P*"	"0"	"2s2.2p.6p"	"3D"	"1"		""	"L17684"
C	1	"375.7590"	"0.0005"	"6800"	""		"7.48277598"	"10.782347"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.6p"	"3D"	"2"		""	"L17684"
C	1	"375.8116"	"0.0005"	"9600"	""		"7.48779869"	"10.786912"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.6p"	"3D"	"3"		""	"L17684"
O	3	"375.828"	"0.010"	"80"	"5.56e+07"	C+	"33.135857"	"36.434801"	"2s2.2p.(2P*).3s"	"3P*"	"0"	"2s2.2p.(2P*).3p"	"3D"	"1"		"u24"	"L3467"
C	1	"375.8904"	"0.0005"	"4200"	""		"7.48277598"	"10.781192"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.6p"	"3D"	"1"		""	"L17684"
O	3	"376.094"	"0.010"	"250"	"9.79e+07"	C+	"33.182387"	"36.479011"	"2s2.2p.(2P*).3s"	"3P*"	"2"	"2s2.2p.(2P*).3p"	"3D"	"3"		"u24"	"L3467"
O	2	"376.2469"	"0.0010"	"9"	"4.37e+06"	D	"28.358142"	"31.653427"	"2s2.2p2.(1D).3p"	"2F*"	"5/2"	"2s2.2p2.(3P).4d"	"2F"	"5/2"		"T5723LS"	"L10621"
C	1	"376.3320"	"0.0005"	"6800"	""		"7.48779869"	"10.782347"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.6p"	"3D"	"2"		""	"L17684"
O	2	"376.3534"	"0.0010"	"19"	"3.10e+07"	B	"26.3047208"	"29.599076"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).4s"	"4P"	"3/2"		"T6632"	"L10621"
C	1	"376.5026"	"0.0005"	"2800"	""		"7.48277598"	"10.775825"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.6p"	"1P"	"1"		""	"L17684"
N	3	"377.212"	"0.010"	"120"	"5.59e+07"	B	"35.67111"	"38.95798"	"2s.2p.(3P*).3s"	"4P*"	"5/2"	"2s.2p.(3P*).3p"	"4S"	"3/2"		"T7192LS"	"L3513"
O	2	"377.8494"	"0.0010"	"16"	"2.25e+07"	B	"26.3047208"	"29.586034"	"2s2.2p2.(3P).3p"	"4S*"	"3/2"	"2s2.2p2.(3P).4s"	"4P"	"1/2"		"T6632"	"L10621"
B	2	"378.949"	"0.010"	"190"	"1.70e+07"	C	"21.150629"	"24.42236"	"1s2.2s.4p"	"1P*"	"1"	"1s2.2p.3p"	"1D"	"2"		"u27"	"L12120"
O	3	"379.234"	"0.010"	"110"	"2.24e+07"	C+	"33.182387"	"36.451709"	"2s2.2p.(2P*).3s"	"3P*"	"2"	"2s2.2p.(2P*).3p"	"3D"	"2"		"u24"	"L3467"
C	1	"379.4755"	"0.0005"	"5100"	""		"7.68476777"	"10.952019"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.7p"	"1S"	"0"		""	"L17684"
O	2	"379.5438"	"0.0010"	"14"	"6.86e+06"	C	"26.5536859"	"29.820351"	"2s2.2p2.(3P).3p"	"2P*"	"1/2"	"2s2.2p2.(3P).4s"	"2P"	"3/2"		"T5723LS"	"L10621"
O	2	"380.3111"	"0.0010"	"4"	""		"29.797124"	"33.057203"	"2s2.2p2.(3P).4s"	"2P"	"1/2"	"2s2.2p2.(1D).4p"	"2D*"	"3/2"		""	"L10621"
C	2	"380.380"	"0.010"	"56p(S II)*"	"1.8e+06"	E	"20.844740"	"24.10424"	"2s2.4d"	"2D"	"3/2"	"2s2.14f"	"2F*"	"5/2"		"T10528"	"L21568,L22145"
C	2	"380.380"	"0.010"	"56p(S II)*"	"1.9e+06"	E	"20.844765"	"24.10424"	"2s2.4d"	"2D"	"5/2"	"2s2.14f"	"2F*"	"7/2"		"T10528"	"L21568,L22145"
C	2	"380.380"	"0.010"	"56p(S II)*"	"1.3e+05"	E	"20.844765"	"24.10424"	"2s2.4d"	"2D"	"5/2"	"2s2.14f"	"2F*"	"5/2"		"T10528"	"L21568,L22145"
O	2	"380.4065"	"0.0010"	"19"	"3.41e+07"	C	"26.5610940"	"29.820351"	"2s2.2p2.(3P).3p"	"2P*"	"3/2"	"2s2.2p2.(3P).4s"	"2P"	"3/2"		"T5723LS"	"L10621"
C	1	"380.5385"	"0.0005"	"5100"	""		"7.68476777"	"10.942892"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.7p"	"1D"	"2"		""	"L17684"
O	2	"381.4788"	"0.0010"	"6"	"3.74e+04"	C	"22.9989602"	"26.2490334"	"2s2.2p2.(3P).3s"	"4P"	"5/2"	"2s2.2p2.(3P).3p"	"2D*"	"5/2"		"T6172"	"L10621"
O	2	"382.2622"	"0.0010"	"15"	"2.69e+07"	C	"26.5536859"	"29.797124"	"2s2.2p2.(3P).3p"	"2P*"	"1/2"	"2s2.2p2.(3P).4s"	"2P"	"1/2"		"T5723LS"	"L10621"
O	1	"382.449"	"0.010"	"120"	"6.63e+05"	C+	"12.5391924"	"15.7810344"	"2s2.2p3.(2D*).3s"	"3D*"	"3"	"2s2.2p3.(2P*).3p"	"3D"	"3"		"T5713LS"	"L3760"
C	1	"382.9935"	"0.0005"	"4200"	""		"7.68476777"	"10.922016"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.7p"	"3D"	"1"		""	"L17684"
O	2	"383.1377"	"0.0010"	"13"	"1.33e+07"	C	"26.5610940"	"29.797124"	"2s2.2p2.(3P).3p"	"2P*"	"3/2"	"2s2.2p2.(3P).4s"	"2P"	"1/2"		"T5723LS"	"L10621"
C	2	"383.2830"	"0.0017"	"78hql"	"2.04e+07"	B	"20.150477"	"23.385281"	"2s2.4p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2D"	"5/2"		"T5109LS"	"L1176,L4827"
O	2	"383.4161"	"0.0010"	"12"	"1.02e+06"	C	"25.6495863"	"28.8832609"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	"2s2.2p2.(3P).3d"	"2F"	"7/2"		"T6172"	"L10621"
C	1	"383.4435"	"0.0005"	"7300"	""		"7.68476777"	"10.918215"	"2s2.2p.3s"	"1P*"	"1"	"2s2.2p.7p"	"1P"	"1"		""	"L17684"
D	1	"383.54006"	"0.00015"	""	""		"10.20158115391"	"[13.434208453]"	"2p"	"2P*"	"1/2"	"9d"	"2D"	"3/2"		""	"L46,L1890,c27"
D	1	"383.54035"	"0.00015"	""	""		""	""	""	""	""	""	""	""		""	"L46,L1890,c27,c48"
D	1	"383.54293"	"0.00012"	""	"1.2159e+05"	AA	"[10.20160496]"	"[13.434208745]"	"2"	""	""	"9"	""	""		"T8637"	"L46,L1890,c27,c49"
D	1	"383.54544"	"0.00015"	""	""		"10.2016265299"	"[13.434208618]"	"2p"	"2P*"	"3/2"	"9d"	"2D"	"5/2"		""	"L46,L1890,c27"
D	1	"383.54544"	"0.00015"	""	""		""	""	""	""	""	""	""	""		""	"L46,L1890,c27,c50"
C	2	"383.6818"	"0.0017"	"26hql"	"1.69e+07"	B	"20.149652"	"23.381096"	"2s2.4p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2D"	"3/2"		"T5109LS"	"L1176,L4827"
O	2	"383.6943"	"0.0010"	"4"	"2.45e+04"	C	"25.8373471"	"29.0686699"	"2s2.2p2.(3P).3p"	"4P*"	"3/2"	"2s2.2p2.(3P).3d"	"2D"	"5/2"		"T6172"	"L10621"
C	2	"383.7771"	"0.0017"	"9hql"	"3.39e+06"	B	"20.150477"	"23.381096"	"2s2.4p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2D"	"3/2"		"T5109LS"	"L1176"
N	2	"383.946"	"0.010"	"285"	"6.98e+07"	B	"21.159916"	"24.389123"	"2s2.2p.3p"	"3P"	"2"	"2s2.2p.4s"	"3P*"	"2"		"T6385n"	"L3513"
O	2	"384.3905"	"0.0010"	"15"	"8.13e+06"	C	"25.6313478"	"28.8568239"	"2s2.2p2.(3P).3p"	"4D*"	"1/2"	"2s2.2p2.(3P).3d"	"4D"	"3/2"		"T6172,T6632"	"L10621"
O	2	"384.4677"	"0.0010"	"14"	"3.55e+06"	C	"25.6382319"	"28.8630624"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	"2s2.2p2.(3P).3d"	"2F"	"5/2"		"T6172"	"L10621"
