x (cm),n_e (cm^{-3}),T_e (eV),J_sat (A/cm^2),V_sc (eV),J_sat_robust (A/cm^2),x error (cm),n_e error (cm^{-3}),T_e error (eV),J_sat error (A/cm^2),V_sc error (eV)
11.82231,0.0,0.5404467281705396,0.0004433547356248739,78.55153424245383,-0.0006085397772512507,0.2516733904811558,0.0,0.0,0.03677667680626966,0.0
11.67696,0.0,27.943756265120918,0.0007263927359607845,99.99999967064538,-0.0007756400759615481,0.2623202221673195,0.0,134.68706363417402,0.02216418294225861,437.78410826413426
11.525490000000001,1060863362.9670042,10.793378298831874,-0.0001720836776598867,36.283555697484054,0.00015502296811572793,0.3081884937146478,6515865306.766841,61.95944580333191,0.0037930712602098383,172.12117283845637
11.372489999999999,81968022.76119667,0.5520382592097705,-4.05815392517147e-06,13.218978007464539,-0.000228408514207725,0.27700890998851035,2689450972.1183653,12.420339703056522,0.0015195073621613916,19.198729212804654
11.21796,0.0,0.95012197747859,3.6199613121780505e-06,11.973139777058368,5.674677684369608e-05,0.2769116649535397,0.0,5.469132701176636,0.005141892163983483,125.19965916595434
11.07873,0.0,0.5521739077944668,0.00046598373718935605,15.990056102899908,-0.0009618213911625161,0.26959423888899403,0.0,1.546718967029081,0.007405616348257754,3.459606788671712
10.93338,2103787854.7207696,12.635048138007587,-0.0003680324116760717,55.801393056493275,-0.0005079981008304943,0.31666430548730456,10881660717.54197,112.99049335712067,0.018154911923229024,388.31837430736516
10.77579,0.0,0.8151268520645467,7.51573548191393e-05,44.00246800887485,-0.0008530795232726852,0.3090649580565188,0.0,0.0,0.018431161457291064,0.0
10.639619999999999,9140394236.15429,0.10016296566059484,-0.00034179665944087924,1.0135271573745883,-0.0012123019898160603,0.26660463523681993,17583057284.093346,1.3877787807814457e-16,0.0008075304930611884,0.0
10.47897,0.0,0.10016343339015019,0.00010616619276237433,0.7140480024809118,-0.0016911933639426565,0.3069707641757903,0.0,1713435.4396685848,55.08037464650438,85211.32511262294
10.33515,9417282131.466331,0.10016636178368801,-0.0003521516246915139,0.31553507307421497,-0.0011030258749017078,0.2824225977870364,22290055893.512707,1.5053101474660884,0.0007032576209933494,3.2726543327731488
