Ion energy (eV),Sputtering yield,Sputtering yield delta
11.67,0.0,0.0
14.0,0.0,0.0
16.67,0.0,0.0
17.5,0.0,0.0
21.0,0.005855387204081374,0.00504595195004398
25.0,0.008843078985567226,0.007341788586171991
35.0,0.013877092245105771,0.007328780373184104
42.0,0.016705391648901738,0.007924338136757187
50.0,0.019502808452321673,0.009454113548300776
