Ion energy (eV),Mean sputtered energy (eV)
11.67,0.0
14.0,0.0
16.67,0.0
17.5,0.0
21.0,0.0
25.0,0.2603219754764157
35.0,1.3157408515717566
42.0,1.9523351051747468
50.0,2.605323660230393
