Gray value,Temperature [K],Temperature error [K]
0,763.8587122067826,2.3077302483588595
1,1515.1671994597275,4.57754440924389
2,1608.2101773988459,4.858641019331861
3,1667.3563334980154,5.037330312682826
4,1711.6976779604618,5.171292078430398
5,1747.5099531012447,5.279486263145754
6,1777.7688092511821,5.3709027469824235
7,1804.0547355516278,5.450316421606126
8,1827.4065537102308,5.520865721178945
9,1848.4494309797017,5.584439368518736
10,1867.6098604305,5.6423258623277945
11,1885.2395909592278,5.695587888094344
12,1901.6289280847484,5.7451025017666115
13,1916.8872177830535,5.7912000537252375
14,1931.2438607636,5.834573597473112
15,1944.7291567170646,5.875314672861222
16,1957.5352808908083,5.91400386976075
17,1969.7189731311362,5.950812607646937
18,1981.2796645756637,5.985739167902307
19,1992.3283135999823,6.019118772205385
20,2002.9177802195115,6.051111118487951
21,2013.0863597721275,6.081831902634827
22,2022.8692749908778,6.111387537736791
23,2032.2989291565693,6.139875918902022
24,2041.405137369109,6.167387121961054
25,2050.215337933074,6.194004042093879
26,2058.707374787503,6.219659742560432
27,2066.9353518119406,6.244517679190153
28,2074.929992821678,6.268670673177274
29,2082.7119477914675,6.29218111115247
30,2090.3002155875856,6.31510639150328
31,2097.628413217688,6.3372459613827425
32,2104.7813363017,6.35885600091148
33,2111.7855520554376,6.380016773581382
34,2118.606889063191,6.400625042486982
35,2125.23971080823,6.420663778876828
36,2131.761367639606,6.4403666696060595
37,2138.119183990937,6.459574573990746
38,2144.3242828619213,6.478321096259581
39,2150.44949549066,6.496826270364531
40,2156.382818964866,6.514751718927088
41,2162.2385289544222,6.532442685662907
42,2167.9730279079,6.549767455915106
43,2173.584383081168,6.566720190577548
44,2179.128413319208,6.583469526644133
45,2184.5186130832903,6.599754118076405
46,2189.88011767095,6.615952017132779
47,2195.070562475683,6.631633119261882
48,2200.248777808899,6.647277274347126
49,2205.2675238554893,6.662439649110239
50,2210.2770894021182,6.677574288223922
51,2215.134887345004,6.692250414939588
52,2219.992685287889,6.706926541655253
53,2224.69627770083,6.721136790636948
54,2229.399637566001,6.735346337057404
55,2233.973681006047,6.74916519941404
56,2238.52880249329,6.762926895750121
57,2242.9875617835887,6.776397467624135
58,2247.400351126255,6.7897291574811325
59,2251.7569712976365,6.802891151956605
60,2256.033057100406,6.815809840182496
61,2260.2996477448514,6.828699842129461
62,2264.4443958675843,6.841221739781221
63,2268.5891439903166,6.853743637432981
64,2272.6506365289324,6.866014007640279
65,2276.6691640797817,6.878154574259159
66,2280.6669268477203,6.890232407394925
67,2284.5641153441197,6.902006390767733
68,2288.461303840519,6.913780374140541
69,2292.2878797294197,6.92534102637287
70,2296.068387481371,6.936762499943718
71,2299.8488952333223,6.948183973514569
72,2303.5216549287693,6.9592799242561005
73,2307.1899286949865,6.970362322341349
74,2310.8329384259528,6.981368394036111
75,2314.393224389839,6.992124544984407
76,2317.9535103537246,7.002880695932703
77,2321.469605581079,7.013503340124106
78,2324.925959690213,7.023945497553513
79,2328.3823137993463,7.034387654982919
80,2331.7854411600756,7.0446690065259086
81,2335.141738869837,7.054808878760837
82,2338.4980365795986,7.064948750995766
83,2341.8011002506537,7.074927795319195
84,2345.06104570979,7.08477657314136
85,2348.3209911689264,7.094625350963524
86,2351.5359273144495,7.104338148986252
87,2354.7030620277737,7.113906531805963
88,2357.8701967410984,7.123474914625675
89,2361.008042510959,7.1329548112113565
90,2364.0857535119644,7.142253031758201
91,2367.1634645129698,7.151551252305045
92,2370.2344220095924,7.160829069515385
93,2373.225949573516,7.169866917140532
94,2376.2174771374403,7.17890476476568
95,2379.2090047013644,7.187942612390829
96,2382.139417660144,7.196795823746658
97,2385.047862585957,7.20558266642283
98,2387.9563075117703,7.214369509099004
99,2390.840932438488,7.223084388031686
100,2393.669262926352,7.231629193130973
101,2396.4975934142158,7.240173998230259
102,2399.32592390208,7.248718803329546
103,2402.0953983701056,7.257085795680077
104,2404.846456519067,7.265397149604432
105,2407.5975146680285,7.273708503528787
106,2410.339126934065,7.281991320042493
107,2413.0156348831038,7.290077446776748
108,2415.6921428321425,7.298163573511005
109,2418.3686507811813,7.30624970024526
110,2421.017065768967,7.314250953984794
111,2423.6216315029797,7.3221197326374
112,2426.226197236992,7.329988511290006
113,2428.830762971005,7.337857289942613
114,2431.3970599922814,7.345610453148886
115,2433.932182833158,7.3532694345412635
116,2436.4673056740353,7.360928415933642
117,2439.002428514912,7.368587397326018
118,2441.496887343606,7.376123526717842
119,2443.964963145242,7.383579949079281
120,2446.4330389468782,7.39103637144072
121,2448.9011147485144,7.398492793802158
122,2451.333269964697,7.405840694757393
123,2453.7365960295438,7.413101498578682
124,2456.13992209439,7.42036230239997
125,2458.5432481592366,7.427623106221258
126,2460.9219397203383,7.434809485559934
127,2463.262719453964,7.441881327655481
128,2465.6034991875904,7.448953169751029
129,2467.944278921216,7.456025011846575
130,2470.2776992341524,7.4630746200427565
131,2472.5580465532225,7.469963886867742
132,2474.8383938722927,7.476853153692727
133,2477.118741191363,7.4837424205177125
134,2479.3990885104326,7.490631687342697
135,2481.6364224464405,7.497391004369911
136,2483.8583659545243,7.504103824636025
137,2486.080309462608,7.510816644902139
138,2488.302252970692,7.517529465168253
139,2490.510877358999,7.52420204640181
140,2492.676364303714,7.530744303032368
141,2494.841851248429,7.5372865596629275
142,2497.007338193144,7.543828816293486
143,2499.172825137859,7.550371072924046
144,2501.3045763283367,7.556811408846938
145,2503.4154763524652,7.563188750309562
146,2505.526376376594,7.569566091772186
147,2507.637276400723,7.575943433234812
148,2509.7481764248514,7.582320774697436
149,2511.8125829584305,7.588557652442388
150,2513.8706916568576,7.594775503495038
151,2515.9288003552842,7.600993354547686
152,2517.9869090537113,7.607211205600336
153,2520.043900758289,7.613425682049211
154,2522.0509430518596,7.619489253933111
155,2524.05798534543,7.625552825817009
156,2526.065027639,7.631616397700907
157,2528.0720699325707,7.637679969584806
158,2530.0771646575317,7.643737657575625
159,2532.0347979942426,7.649651957686533
160,2533.9924313309534,7.655566257797442
161,2535.9500646676643,7.661480557908352
162,2537.907698004375,7.66739485801926
163,2539.865331341086,7.673309158130169
164,2541.7784380679022,7.679088936761034
165,2543.688255461188,7.684858777828363
166,2545.5980728544737,7.6906286188956905
167,2547.5078902477594,7.696398459963019
168,2549.417707641045,7.702168301030348
169,2551.2953524265554,7.7078409438868745
170,2553.15888533983,7.713470952688308
171,2555.0224182531038,7.7191009614897395
172,2556.8859511663777,7.724730970291171
173,2558.749484079652,7.7303609790926044
174,2560.5982759538088,7.735946453032655
175,2562.416997039861,7.741441078670276
176,2564.235718125914,7.746935704307897
177,2566.0544392119664,7.7524303299455175
178,2567.873160298019,7.757924955583138
179,2569.691881384071,7.7634195812207585
180,2571.474558915756,7.768805313944882
181,2573.2498846190774,7.774168835707182
182,2575.0252103223993,7.779532357469484
183,2576.800536025721,7.784895879231786
184,2578.5758617290426,7.790259400994087
185,2580.342872706382,7.795597802738314
186,2582.0761657360017,7.800834337571002
187,2583.809458765621,7.806070872403689
188,2585.5427517952407,7.811307407236377
189,2587.2760448248605,7.816543942069065
190,2589.0093378544802,7.821780476901753
191,2590.7251837869358,7.826964301471105
192,2592.4177554668927,7.832077811078226
193,2594.1103271468496,7.8371913206853465
194,2595.8028988268065,7.842304830292467
195,2597.4954705067635,7.847418339899588
196,2599.1880421867204,7.8525318495067085
197,2600.860083984372,7.857583335300218
198,2602.513196488523,7.8625776328958406
199,2604.166308992674,7.867571930491462
200,2605.819421496825,7.872566228087084
201,2607.472534000976,7.877560525682706
202,2609.125646505127,7.882554823278329
203,2610.760742764003,7.887494691129919
204,2612.375611241458,7.89237344785939
205,2613.990479718913,7.8972522045888605
206,2615.6053481963672,7.90213096131833
207,2617.220216673822,7.907009718047801
208,2618.8350851512764,7.91188847477727
209,2620.439623668598,7.91673602316797
210,2622.0174182657074,7.921502774216639
211,2623.5952128628164,7.926269525265306
212,2625.173007459926,7.931036276313976
213,2626.750802057035,7.935803027362643
214,2628.3285966541443,7.940569778411312
215,2629.906391251254,7.945336529459981
216,2631.450371718998,7.950001123018121
217,2632.992219503465,7.954659273424366
218,2634.534067287932,7.95931742383061
219,2636.075915072399,7.963975574236855
220,2637.6177628568653,7.968633724643097
221,2639.159610641332,7.973291875049342
222,2640.6855985355473,7.977902110379297
223,2642.1925853279045,7.9824549405676875
224,2643.699572120262,7.987007770756079
225,2645.206558912619,7.991560600944469
226,2646.7135457049767,7.99611343113286
227,2648.2205324973343,8.000666261321252
228,2649.7275192896914,8.005219091509641
229,2651.2068054929537,8.009688234117684
230,2652.679977610346,8.01413890516721
231,2654.1531497277383,8.018589576216732
232,2655.626321845131,8.023040247266257
233,2657.0994939625234,8.027490918315781
234,2658.5726660799155,8.031941589365303
235,2660.0448174224284,8.036389176502805
236,2661.485183339346,8.040740735164187
237,2662.925549256263,8.045092293825567
238,2664.36591517318,8.049443852486949
239,2665.8062810900974,8.05379541114833
240,2667.2466470070144,8.05814696980971
241,2668.6870129239314,8.062498528471092
242,2670.124563600456,8.06684158187449
243,2671.5330955307995,8.071096965349847
244,2672.9416274611426,8.075352348825204
245,2674.3501593914857,8.07960773230056
246,2675.758691321829,8.083863115775918
247,2677.167223252172,8.088118499251275
248,2678.575755182515,8.092373882726632
249,2679.9842871128585,8.09662926620199
250,2681.36226718386,8.100792347987491
251,2682.7399025884665,8.104954388484794
252,2684.1175379930737,8.109116428982096
253,2685.4951733976804,8.113278469479397
254,2686.8728088022876,8.1174405099767
255,2688.2504442068944,8.121602550474002
