Time (s),Pressure (Torr),Laser output power (W),Laser peak power (W)
0.0,0.0,0.0,0.0
0.04155111312866211,0.0,0.0,0.0
0.08140420913696289,0.0,0.0,0.0
0.11365699768066406,0.0,0.0,0.0
0.14304041862487793,0.0,0.0,0.0
0.17345023155212402,0.0,0.0,0.0
0.20555496215820312,0.0,0.0,0.0
0.23610520362854004,0.0,0.0,0.0
0.26441097259521484,0.0,0.0,0.0
0.29544806480407715,0.0,0.0,0.0
0.32698488235473633,0.0,0.0,0.0
0.35752439498901367,0.0,0.0,0.0
0.39083337783813477,0.0,420.0,3263.0
0.42270708084106445,0.0,927.0,3263.0
0.4642186164855957,0.0,1693.0,3263.0
0.497220516204834,0.0,2198.0,3263.0
0.5392181873321533,0.0,2992.0,3263.0
0.5737326145172119,0.0,3165.0,3194.0
0.6127328872680664,0.0,3172.0,3198.0
0.6507377624511719,0.0,3175.0,3198.0
0.6818006038665771,0.0,2893.0,3203.0
0.7198019027709961,0.0,2113.0,3203.0
0.7593834400177002,0.0,1591.0,3203.0
0.79038405418396,0.0,1057.0,3203.0
0.8223826885223389,0.0,545.0,3203.0
0.8524212837219238,0.0,9.48,0.0
0.910930871963501,0.0,0.0,0.0
0.9559340476989746,0.0,0.0,0.0
0.9924449920654297,0.0,0.0,0.0
1.0204424858093262,0.0,0.0,0.0
1.051450252532959,0.0,0.0,0.0
1.0839612483978271,0.0,0.0,0.0
1.1129570007324219,0.0,0.0,0.0
1.1449949741363525,0.0,0.0,0.0
1.1810753345489502,0.0,0.0,0.0
1.2070746421813965,0.0,0.0,0.0
1.237818717956543,0.0,0.0,0.0
1.2733676433563232,0.0,0.0,0.0
1.3003597259521484,0.0,0.0,0.0
1.329740285873413,0.0,0.0,0.0
1.3630921840667725,0.0,0.0,0.0
1.3935518264770508,0.0,0.0,0.0
1.4268553256988525,0.0,0.0,0.0
1.4619231224060059,0.0,0.0,0.0
1.4871070384979248,0.0,0.0,0.0
1.5187017917633057,0.0,0.0,0.0
1.5501618385314941,0.0,0.0,0.0
1.5812838077545166,0.0,0.0,0.0
1.6137282848358154,0.0,0.0,0.0
1.6440796852111816,0.0,0.0,0.0
1.673917531967163,0.0,0.0,0.0
1.7045660018920898,0.0,0.0,0.0
1.7369117736816406,0.0,0.0,0.0
1.765979528427124,0.0,0.0,0.0
1.7976815700531006,0.0,0.0,0.0
1.8274900913238525,0.0,0.0,0.0
1.863297939300537,0.0,0.0,0.0
1.9037079811096191,0.0,0.0,0.0
1.935523509979248,0.0,0.0,0.0
1.966320276260376,0.0,0.0,0.0
1.9996135234832764,0.0,0.0,0.0
2.0264856815338135,0.0,0.0,0.0
2.0713844299316406,0.0,0.0,0.0
2.103395462036133,0.0,0.0,0.0
2.1344656944274902,0.0,0.0,0.0
2.1672275066375732,0.0,0.0,0.0
2.199946165084839,0.0,0.0,0.0
2.2308781147003174,0.0,0.0,0.0
2.2604777812957764,0.0,0.0,0.0
2.2905166149139404,0.0,0.0,0.0
2.320343255996704,0.0,0.0,0.0
2.351196765899658,0.0,0.0,0.0
2.3831260204315186,0.0,0.0,0.0
2.41318941116333,0.0,0.0,0.0
2.4447414875030518,0.0,0.0,0.0
2.4869747161865234,0.0,0.0,0.0
2.5195553302764893,0.0,0.0,0.0
