# S/XB Table for B I 821.2 nm (2s2p² ²D → 4f ²F)
# Generated by standalone CR model
# WARNING: Uses simplified atomic physics - validate with ADAS
#
# Te range: 2.00 - 50.00 eV
# ne range: 1.00e+18 - 3.16e+19 m^-3
#
# Format: Te(eV)  ne(m^-3)  S/XB(ph/ion)
#============================================================
   2.782   1.50131e+18   2.97456e-03
   2.782   1.66184e+18   3.29169e-03
   2.782   1.83953e+18   3.64252e-03
   2.782   2.03621e+18   4.03061e-03
   2.782   2.25393e+18   4.45989e-03
   2.782   2.49493e+18   4.93469e-03
   2.782   2.76170e+18   5.45978e-03
   2.782   3.05699e+18   6.04046e-03
   2.782   3.38386e+18   6.68253e-03
   2.782   3.74567e+18   7.39240e-03
   2.782   4.14617e+18   8.17713e-03
   2.782   4.58949e+18   9.04449e-03
   2.782   5.08022e+18   1.00030e-02
   2.782   5.62341e+18   1.10622e-02
   2.782   6.22469e+18   1.22323e-02
   2.782   6.89025e+18   1.35246e-02
   2.782   7.62699e+18   1.49516e-02
   2.782   8.44249e+18   1.65270e-02
   2.782   9.34519e+18   1.82657e-02
   2.782   1.03444e+19   2.01840e-02
   2.782   1.14505e+19   2.22997e-02
   2.782   1.26748e+19   2.46323e-02
   2.782   1.40300e+19   2.72029e-02
   2.782   1.55302e+19   3.00345e-02
   2.782   1.71907e+19   3.31519e-02
   2.782   1.90288e+19   3.65822e-02
   2.782   2.10634e+19   4.03543e-02
   2.782   2.33156e+19   4.44995e-02
   2.782   2.58086e+19   4.90512e-02
   2.782   2.85682e+19   5.40453e-02
   2.782   3.16228e+19   5.95197e-02
   3.022   1.00000e+18   1.93504e-03
   3.022   1.10692e+18   2.14153e-03
   3.022   1.22528e+18   2.37000e-03
   3.022   1.35629e+18   2.62278e-03
   3.022   1.50131e+18   2.90245e-03
   3.022   1.66184e+18   3.21186e-03
   3.022   1.83953e+18   3.55414e-03
   3.022   2.03621e+18   3.93275e-03
   3.022   2.25393e+18   4.35154e-03
   3.022   2.49493e+18   4.81471e-03
   3.022   2.76170e+18   5.32694e-03
   3.022   3.05699e+18   5.89336e-03
   3.022   3.38386e+18   6.51964e-03
   3.022   3.74567e+18   7.21201e-03
   3.022   4.14617e+18   7.97736e-03
   3.022   4.58949e+18   8.82326e-03
   3.022   5.08022e+18   9.75801e-03
   3.022   5.62341e+18   1.07908e-02
   3.022   6.22469e+18   1.19316e-02
   3.022   6.89025e+18   1.31916e-02
   3.022   7.62699e+18   1.45827e-02
   3.022   8.44249e+18   1.61183e-02
   3.022   9.34519e+18   1.78128e-02
   3.022   1.03444e+19   1.96821e-02
   3.022   1.14505e+19   2.17436e-02
