##############################
# IMAGE_MIN_X: 200
# IMAGE_MIN_Y: 260 
# DIMES_X_PIXELS: 122 - 143 
# DIMES_Y_PIXELS: 334 - 320 
# PIXEL_SCALE: 0
# DiMES SPOT DIAMETER: 3.52 cm
##############################
time (ms),T_mean (C),T_max (C)
1500.242200003413,151.8565497884945,339.4156188964844
1501.2381999986246,150.55431132413904,339.7388610839844
1502.2332000007736,150.99624260104432,339.6850280761719
1503.2282000029227,151.37879004446017,340.1687316894531
1504.2241999981343,150.96940467471168,340.0076904296875
1505.2192000002833,151.36835080101378,339.79266357421875
1506.2152000027709,151.0165550595238,340.11505126953125
1507.21020000492,151.22615648126927,340.43670654296875
1508.205199999793,150.8372714503282,340.0076904296875
1509.2012000022805,151.0705888190237,340.0076904296875
1510.1962000044296,149.99316567141994,339.9539489746094
1511.1921999996412,150.9958814244692,340.2759704589844
1512.1872000017902,151.01673702317842,339.9002380371094
1513.1822000039392,150.96556169159558,340.0614013671875
1514.1781999991508,151.02800595030493,340.2759704589844
1515.1732000012998,150.87018439883278,340.0614013671875
1516.1692000037874,150.95123690650576,340.2759704589844
1517.1641999986605,151.14135820038464,340.4902648925781
1518.160200001148,151.20174812784,340.4902648925781
1519.155200003297,151.2320905931953,339.9539489746094
1520.1501999981701,151.48074538042755,340.1687316894531
1521.1462000006577,151.1894827602672,340.86444091796875
1522.1412000028067,151.40297086547022,340.43670654296875
1523.1371999980183,151.7041936342408,339.6850280761719
1524.1322000001674,151.31236786096275,340.6507568359375
1525.1272000023164,151.35111298853036,341.1311340332031
1526.123200004804,151.2540373510244,340.75762939453125
1527.118199999677,151.08499866926752,340.4902648925781
1528.1142000021646,151.48308039035928,341.1311340332031
1529.1092000043136,151.4498276483445,341.4504699707031
1530.1041999991867,151.82374847827313,341.1311340332031
1531.1002000016742,151.44825370944275,340.6507568359375
1532.0952000038233,151.50376399033735,341.1311340332031
1533.0911999990349,151.1516574677967,341.1844177246094
1534.086200001184,151.6123402394405,340.6507568359375
1535.081200003333,151.54314344756457,341.07781982421875
1536.0771999985445,151.4072645018701,340.8110656738281
1537.0722000006936,151.61594172886439,340.7041931152344
1538.0682000031811,150.86103099381842,340.4902648925781
1539.0631999980542,150.99308543302575,342.66802978515625
1540.0582000002032,150.99299460690037,342.7734069824219
1541.0542000026908,151.2882203082649,342.298583984375
1542.0492000048398,152.53717513311477,343.0890808105469
1543.0452000000514,153.74578063342037,343.875244140625
1544.0402000022004,154.6427492414202,343.7706604003906
1545.0352000043495,154.7545779481226,344.0841369628906
1546.031199999561,153.83751777078018,343.927490234375
1547.02620000171,154.09978453967037,344.70904541015625
1548.0222000041977,153.98255837369126,344.292724609375
1549.0171999990707,154.35266170371958,343.7183532714844
1550.0122000012198,154.29197672110837,344.65704345703125
1551.0082000037073,153.3326355810879,343.5089111328125
1552.0031999985804,153.54590497698103,343.8229675292969
1552.999200001068,154.30038016183036,344.5530700683594
1553.994200003217,154.768885346497,345.2276916503906
1554.9901999984286,154.58161604485545,345.43463134765625
1555.9852000005776,154.39950374681123,345.3312072753906
1556.9802000027266,154.4295639764695,345.7960510253906
1557.9762000052142,154.87358202253068,345.84759521484375
1558.9712000000873,155.0799511241264,345.8991394042969
1559.9672000025748,154.75745277664288,345.7960510253906
1560.9622000047239,154.83348509081367,346.1051330566406
1561.957199999597,153.58027965519705,346.05364990234375
1562.9532000020845,154.76686672288545,346.6187438964844
1563.9482000042335,155.17700714318931,346.6187438964844
1564.9441999994451,155.12183250375347,346.6700134277344
1565.9392000015941,155.0958275827421,346.2593994140625
1566.9342000037432,155.00060557670335,346.310791015625
1567.9301999989548,154.28449207747065,346.6700134277344
1568.9252000011038,154.9820497473892,346.9772033691406
1569.9212000035914,154.79467602165377,347.13055419921875
1570.9161999984644,155.3012603967368,347.2326965332031
1571.9112000006135,155.0925948473872,347.28375244140625
1572.907200003101,155.23061869095784,347.6405334472656
1573.90220000525,154.58440907796225,347.28375244140625
1574.8982000004617,154.74961105658085,347.2326965332031
1575.8932000026107,155.36351184455717,347.3857727050781
1576.8882000047597,155.45359444131657,347.3857727050781
1577.8841999999713,154.52982574255287,347.0283203125
1578.8792000021203,155.38329180243875,347.181640625
1579.875200004608,155.55731258262583,346.9772033691406
1580.870199999481,155.3862815908834,347.5386657714844
1581.86520000163,154.79364413306826,346.9260559082031
1582.8612000041176,155.45080031829627,347.3347473144531
1583.8561999989906,155.97132904675541,347.7931823730469
1584.8522000014782,155.5391789131424,348.1994323730469
1585.8472000036272,156.17433898302974,349.1093444824219
1586.8421999985003,156.50211360178838,349.15972900390625
1587.8382000009879,156.40388192935865,349.66259765625
1588.8332000031369,156.25730683203457,349.66259765625
1589.8291999983485,155.3673687370456,349.5621643066406
1590.8242000004975,156.32191602226828,349.91339111328125
1591.820200002985,156.02067057291666,350.1637268066406
1592.815200005134,156.70951381345995,350.313720703125
1593.8102000000072,156.5699934148464,349.9634704589844
1594.8062000024947,156.72427119040975,350.8623962402344
1595.8012000046438,156.68920343100618,350.51348876953125
1596.7971999998554,156.6362091375857,350.8126220703125
1597.7922000020044,156.7147636154071,350.6132507324219
1598.7872000041534,156.96556620695154,350.8126220703125
1599.783199999365,157.5093926669789,350.8126220703125
1600.778200001514,156.9973504721713,350.7627868652344
1601.7742000040016,155.97018297675515,350.51348876953125
1602.7691999988747,156.72535373402292,351.1111145019531
1603.7642000010237,156.77873079468603,351.8547058105469
1604.7602000035113,156.4008021451989,351.21044921875
1605.7551999983843,157.0395694654815,351.80523681640625
1606.751200000872,157.17262174645248,352.2004089355469
1607.746200003021,156.39601301335964,351.5577087402344
1608.74120000517,156.21388690974436,351.95355224609375
1609.7372000003816,156.02615600378334,351.4585876464844
1610.7322000025306,156.43667794571442,351.8547058105469
1611.7282000050182,157.0453281013333,352.15106201171875
1612.7231999998912,156.81963187496677,352.15106201171875
1613.7182000020402,156.5499222943572,352.29901123046875
1614.7142000045278,156.83632955745776,352.34832763671875
1615.7091999994009,156.42756933095504,352.15106201171875
1616.7052000018884,156.7547059351084,352.34832763671875
1617.7002000040375,157.05917244217022,352.2497253417969
1618.6951999989105,156.96901889723173,352.3975830078125
1619.691200001398,156.66554971292717,352.4960632324219
1620.6862000035471,156.7067974895036,352.44683837890625
1621.6821999987587,157.2956842954467,352.8893737792969
1622.6772000009078,157.35397058603715,352.8893737792969
1623.6722000030568,156.89783846277768,352.6928405761719
1624.6681999982684,157.27196087480402,352.8893737792969
1625.6632000004174,157.40814473677653,352.6928405761719
1626.659200002905,157.45234000277358,351.1111145019531
1627.654200005054,157.46925691358086,352.34832763671875
1628.6502000002656,156.8397309699026,353.7215881347656
1629.6452000024146,157.0955847915338,353.67279052734375
1630.6402000045637,157.44800116091358,352.6436767578125
1631.6361999997753,157.64277856528352,352.8893737792969
1632.6312000019243,157.314594606153,353.33056640625
1633.6272000044119,157.44809442636918,352.4960632324219
1634.622199999285,157.49971708959464,352.2497253417969
1635.617200001434,157.02879177794165,353.4773254394531
1636.6132000039215,157.46967673788265,353.5262145996094
1637.6081999987946,157.52017912572745,353.2326354980469
1638.6042000012822,156.88730699188855,353.6239318847656
1639.5992000034312,157.0849938425077,353.8192138671875
1640.5941999983042,157.65564016744392,353.9167175292969
1641.5902000007918,157.4211148631816,353.3794860839844
1642.5852000029408,156.84713667266223,353.1346435546875
1643.5811999981524,157.03474898565383,352.7911376953125
1644.5762000003015,157.03237619205396,352.74200439453125
1645.5712000024505,157.02592670674227,353.3794860839844
1646.567200004938,157.25561398875956,353.5750732421875
1647.5621999998111,156.84435412348535,353.4773254394531
1648.5582000022987,157.00992257254464,353.33056640625
1649.5532000044477,156.92014110331633,353.1346435546875
1650.5481999993208,156.90792353623578,353.4773254394531
1651.5442000018083,156.3196801944655,353.4284362792969
1652.5392000039574,157.50997405798256,353.9654846191406
1653.535199999169,157.1257926785216,354.11163330078125
1654.530200001318,157.75258086327793,354.6946716308594
1655.525200003467,157.67172573375052,354.11163330078125
1656.5211999986786,158.28309387414635,354.6946716308594
1657.5162000008277,157.9423147188563,354.93695068359375
1658.5122000033152,158.46873671343536,355.27545166015625
1659.5071999981883,158.61367958743557,354.8885192871094
1660.5022000003373,157.84756256933926,354.64617919921875
1661.498200002825,158.0129436570771,354.59765625
1662.493200004974,158.4181908328517,354.9853515625
1663.4892000001855,158.37355176445578,355.468505859375
1664.4842000023345,158.29794752678905,355.468505859375
1665.480200004822,158.21474451597044,355.7095031738281
1666.4751999996952,158.54437883857156,355.7576599121094
1667.4702000018442,158.78759277758954,354.7916259765625
1668.4662000043318,158.6489757615693,356.0462341308594
1669.4611999992048,159.0986061874701,355.9501037597656
1670.4572000016924,159.00122236394557,355.9981689453125
1671.4522000038414,160.01740804659266,356.2862854003906
1672.4471999987145,161.5158278277131,357.43304443359375
1673.443200001202,162.65782741624483,357.9082336425781
1674.438200003351,162.3343091173237,358.097900390625
1675.4341999985627,157.6066452337771,355.5649719238281
1676.4292000007117,161.03506884931707,356.86077880859375
1677.4242000028607,161.71643761874867,358.2873229980469
1678.4201999980723,161.69188461822716,358.80694580078125
1679.4152000002214,161.76323539059177,358.6654052734375
1680.411200002709,160.6512155857216,358.9012145996094
1681.406200004858,159.70010635479778,357.43304443359375
1682.401199999731,161.11940952223173,358.80694580078125
1683.3972000022186,161.46109107400284,360.4482727050781
1684.3922000043676,159.9398684858465,360.30828857421875
1685.3881999995792,158.9657064424891,358.47650146484375
1686.3832000017283,160.10952743218868,357.48065185546875
1687.3782000038773,160.29245773626835,358.80694580078125
1688.374199999089,160.37894315135722,359.1837158203125
1689.369200001238,160.17619043466996,357.9082336425781
1690.3652000037255,160.69546731961827,358.7597961425781
1691.3601999985985,161.0224848117958,358.9483337402344
1692.3552000007476,161.05436976426313,358.71258544921875
1693.3512000032351,160.115448413252,358.3819274902344
1694.3461999981082,159.569261927183,359.0425109863281
1695.3422000005958,160.35908923505926,359.0896301269531
1696.3372000027448,161.0714301803485,359.46563720703125
