Wavelength (nm),Brightness (photons/cm^2/s/nm),Brightness error (photons/cm^2/s/nm)
350.01245,185512834217.27597,112109155368.49286
350.03409,232595358632.59967,147631203897.10492
350.05569,254929157365.8904,169574561627.0416
350.07733,264347052333.33804,183923678587.00275
350.09897,261775426336.67947,190150809726.5692
350.12061,284749421311.41675,215575146503.39725
350.14221,347277921830.2556,273636996537.28647
350.16385,192083735168.60693,157377584996.0556
350.18549,197688883561.5996,168324895263.31302
350.20712,226225274900.45355,200155300443.91388
350.22876,187947845960.56165,172858031815.2893
350.2504,194706754546.12827,186312313651.8751
350.27206,221661603594.29797,220933770574.56796
350.2937,248270688402.98425,258070349134.995
350.31534,341248538847.4169,370380660382.223
350.33698,793532128022.4802,900064881862.0343
350.35864,0.0,0.0
350.38028,0.0,0.0
350.40192,0.0,0.0
350.42358,161822840950.67685,218363034170.73624
350.44525,253321445224.1684,355637907282.02246
350.46689,177467083537.39462,258514903796.2633
350.48856,218304080196.75885,329019995867.126
350.51019,210802990011.88095,327703091925.9773
350.53186,148704586277.07465,237714797441.07724
350.55353,90160479352.3474,147765799809.28983
350.5752,98963858242.46645,170279259096.06833
350.59686,131583393342.82166,239274149560.68796
350.6185,158144831420.00983,295625328039.0999
350.64017,125317763411.42366,248826800591.288
350.66183,83466650607.88652,172348943623.3266
350.68353,64786974082.278114,135033941901.56355
350.7052,23799006094.800472,50177237640.30091
350.72687,62748219672.83234,134620432422.22565
350.74854,162572062239.9301,355484009889.0513
350.7702,230574205282.8654,502565491937.823
350.7919,60821202536.50636,127501563252.75458
350.81357,0.0,0.0
350.83524,0.0,0.0
350.85693,0.0,0.0
350.8786,297477894565.8104,611907611328.8243
350.9003,0.0,0.0
350.92197,0.0,0.0
350.94366,0.0,0.0
350.96536,0.0,0.0
350.98703,126087747828.73706,221176602603.7796
351.00873,199266187151.26465,359457541636.53
351.03043,210320549932.26776,385655861172.1389
351.05212,108480908141.81113,193163379800.27927
351.07382,69375957400.11134,120447565362.07146
351.09552,62064671350.98192,107062744581.73747
351.11722,159650073286.0116,258300192026.20123
351.13892,0.0,0.0
351.16061,0.0,0.0
351.18231,0.0,0.0
351.20401,279172533176.0681,260978681339.55823
351.22571,183607947231.1234,152973039483.0326
351.24744,157285173394.58005,116244121585.40706
351.26913,127071702221.94896,88473555864.88275
351.29083,135937955742.64044,91350930182.55132
351.31256,167867880144.05865,101944424290.5182
351.33426,239573014509.3271,111476114979.95102
351.35599,273521393237.0333,74476347224.58376
351.37772,255143325764.75357,43721927468.14328
351.39941,234356606238.08496,56812525916.23423
351.42114,186956633584.01096,67837153749.90366
351.44287,158041348151.23618,71521186056.72388
351.46457,179939174461.61844,92120127038.39966
351.4863,171533869821.28296,92697696015.41405
351.50803,158794147694.5405,89869877442.02295
351.52975,164392690133.3876,105554305387.98228
351.55148,148405120085.5809,105732018341.8278
351.57321,156300223562.3494,118803250205.5707
351.59494,169018099783.95593,143006889735.4931
351.61667,140815566698.20813,136274657157.83566
351.6384,121765509128.76878,130567689012.93073
351.66013,78215871678.03014,91654409876.18118
351.68188,60590317215.00855,76688675662.55196
351.70361,92699192863.0141,121092512874.86162
351.72534,133448232383.83398,176273269110.0992
351.7471,126231110365.93066,174421531346.28305
351.76883,92257295043.34808,132722217549.73666
351.79059,65185091864.54517,94916356334.25787
351.81232,66223992041.676384,96842731914.65157
351.83408,68299025987.05345,97781035287.86186
351.8558,72344810653.93027,98158272284.73218
351.87756,109153258559.52084,144390669933.70828
351.89932,133336598754.4314,176587088876.0003
351.92108,155575999534.03925,204031750597.9098
351.94281,153059301953.62448,201156353589.1157
351.96457,155250857596.84857,208400751296.76736
351.98633,166211659645.92252,221562300559.5289
352.00809,157511789700.52444,207013588685.84903
352.02985,124643715938.77644,166688239402.7068
352.05161,139747986014.12024,194041407295.63116
352.07336,143065090735.02615,208973548194.2968
352.09515,105957402867.93391,160469646174.11542
352.11691,115024149340.90424,175008659488.40942
352.13867,138979311386.9941,209385207428.69376
352.16043,115734512749.72266,174505800555.45804
352.18222,125118073360.45737,193543362627.3621
352.20398,157738855091.76562,251881287921.62665
352.22574,165873878405.70828,270070526979.231
352.24753,205211715236.5124,337059954240.9961
352.26932,197752821273.7948,331591482452.86505
352.29108,157892545908.97333,274780300460.73047
352.31287,151773478460.43732,266696664841.33865
352.33463,174089215222.274,296847748953.59344
352.35641,244561886023.0356,403962212604.0089
352.3782,280932581382.2241,467173268934.0273
352.39999,234033391206.03305,394287918473.8439
352.42178,232473583524.5989,370692166505.1725
352.44357,259565170934.3885,377307399751.2457
352.46536,258165532783.2284,347837777990.8283
352.48715,212529469416.59604,261428850358.7556
352.50894,341849676519.52075,369299350333.9727
352.53073,361310286169.9111,375101541487.5841
352.55252,335062230041.4013,397013407096.9466
352.57431,350671643246.4197,488385231988.674
352.5961,345100959814.77954,536783356828.3546
352.61792,310792136182.0927,495360908002.19867
352.63971,344726943183.65936,532423704666.6351
352.6615,247501295202.74136,358906487836.4818
352.68332,200229939769.98,278891258583.7842
352.70511,319500968121.6074,436275316906.1876
352.72693,348078649472.2005,485310563340.0141
352.74875,298622368622.8418,413935017881.72125
352.77054,367559755092.1481,496949474867.4765
352.79236,355232584136.6506,464110372877.3449
352.81418,290212516586.4989,361452505015.04376
352.83597,244756998884.06268,295941807486.8427
352.85779,238948507571.6353,286364226382.6274
352.87961,235450705748.77704,280734233899.66296
352.90143,307336569909.61615,323752055357.9094
352.92325,369981772653.0718,332124107633.9673
352.94507,382264515637.0229,289753948478.74786
352.96689,340862996020.76624,221626951871.07477
352.98871,316672220133.31915,194330625442.17563
353.01053,332040984263.7137,195541711874.3228
353.03238,303719804403.58844,162230221030.5474
353.0542,341439167461.0438,194388370272.87872
353.07602,352561160047.0261,220909132890.77405
353.09787,318507241563.5928,203642370415.3012
353.11969,298819897807.79297,192489968549.01767
353.14151,270356611061.042,186467115063.76505
353.16336,262199694474.40677,191822919399.00516
353.18521,330897399659.94464,249709108148.56165
353.20703,361530723310.5762,287031295910.69104
353.22888,0.0,0.0
353.2507,0.0,0.0
353.27255,0.0,0.0
353.2944,0.0,0.0
353.31625,445393778847.8579,340429434268.06665
353.3381,350725020963.32666,250428385741.65103
353.35995,382930561070.553,252153505410.3701
353.38181,363229979711.725,213322710216.66852
353.40366,282912304513.6243,134822067953.68951
353.42551,224712669777.65567,77872931691.05424
353.44736,215157371172.1875,52587250045.35463
353.46921,285254045527.88776,61060740528.31723
353.49106,311779130513.17926,82150219258.2609
353.51294,245892901256.27533,80092760614.40172
353.53479,223033565619.97,73470482479.37799
353.55664,217399372813.68967,59673611042.50385
353.57852,183737377490.8219,44933988877.70006
353.60037,206457271903.02145,42619183386.17741
353.62225,259558444420.31976,35597023794.141106
353.6441,270796320406.12775,35871024749.63626
353.66599,288647217609.3075,54411988356.20876
353.68787,309002773449.6745,70488686050.50023
353.70972,297576684600.4376,71976277531.8968
353.7316,282829443509.69806,66730854396.30992
353.75348,259876705876.6833,61396317200.92704
353.77536,231082282913.99146,67247747953.76351
353.79724,230686502868.7359,83776773054.00656
353.81909,213807487509.9405,88619308578.36018
353.84097,183189569165.5216,83751868585.76105
353.86288,182468453975.676,90540811728.3734
353.88477,206450069098.92487,107773036693.9502
353.90665,217816286134.438,114173196439.81668
353.92853,238059628277.67197,119738588597.31618
353.95041,259785980091.3767,129150302733.57436
353.97229,258709592230.33585,135843794071.9428
353.9942,221768054971.4554,126292886688.36903
354.01608,195711789345.12195,119024607007.4082
354.03799,208312333765.00308,135242580255.72884
354.05988,205700765540.51996,143126863189.70117
354.08179,176365458305.28748,130245420868.765
354.10367,169075799825.41373,133346057266.4952
354.12558,167846795183.24942,140626191364.97946
354.14746,147635367765.64066,131615083661.44928
354.16937,139662762647.85025,134113202146.1488
354.19128,157247232465.69254,159372238472.97153
354.2132,189875611868.42145,201713927074.1085
354.23511,0.0,0.0
354.25702,0.0,0.0
354.2789,0.0,0.0
354.30081,0.0,0.0
354.32275,0.0,0.0
354.34467,223815886754.51807,280266889022.2069
354.36658,235787388202.1125,290743919166.4205
354.38849,192719052622.551,232267742592.6592
354.4104,197086536619.4637,229898675891.76053
354.43234,193692086004.3384,216937041153.97305
354.45425,208049914917.9337,228115993577.7121
354.47617,203919106050.9788,219616321669.61145
354.49811,195968977983.45404,203230454192.96185
354.52002,212094023305.98413,209429884179.01093
354.54196,261544456577.6584,251197819821.2841
354.56387,274216547038.14743,264090959641.69724
354.58582,254851937127.3917,251964135802.7585
354.60776,243231014743.8933,247653541327.4715
354.62967,241388098865.2057,246800193018.4462
354.65161,256726196384.83905,257473506056.5636
354.67355,249044714568.93823,247038844586.98575
354.6955,198573179805.01517,197070504053.11636
354.71744,199651117359.3358,201275545508.15952
354.73938,227474251470.85236,235506076894.58072
354.76132,281554199814.52374,289825959862.55896
354.78326,275279030740.3224,272165788044.18845
354.80521,235868406221.88766,235558274759.20444
354.82715,217126258592.45728,229476550720.2627
354.84909,248593978312.46036,280019491266.10724
354.87103,248827723657.0693,293620539469.6028
354.89301,232603970945.66104,275497875818.4615
354.91495,243358620940.12216,273052929516.9112
354.93692,256925536593.77252,274938886868.8243
354.95886,265434955185.2827,275283462120.2207
354.9808,258951752925.7761,261406662489.32727
355.00278,258447792698.52164,255868576011.712
355.02475,297780592926.2548,281656737610.6232
355.04669,266885746979.5503,236394134870.35135
355.06866,201596012502.93857,166174015860.82697
355.09064,204678410231.80368,156497620860.98434
355.11258,261699933640.1076,189802067885.0088
355.13455,245504835095.1493,174858269027.99612
355.15652,223218705863.41275,157180293888.47726
355.1785,246764222715.44568,160637977019.39468
355.20047,274849753744.3111,154007096477.8068
355.22244,237500879770.3533,114073676046.8718
355.24442,229784528179.02893,101808793704.908
355.26639,196077860942.5672,84424482273.44798
355.28839,174351133510.09195,70996642751.55609
355.31036,165156525149.32205,62160988168.90192
355.33234,172681105822.07788,62300423690.21586
355.35431,179326247376.18417,61864305610.66098
355.37631,197587892969.7545,61827065739.675385
355.39828,182829519460.09683,51345291957.31245
355.42029,186248043616.3646,49133926424.75148
355.44226,174257742320.67374,47673921310.19101
355.46426,196002380958.74905,57897785497.90091
355.48624,96685614505.5994,32803801899.006428
355.50824,0.0,0.0
355.53024,0.0,0.0
355.55222,0.0,0.0
355.57422,208827402700.4576,110951155769.00851
355.59622,211622296459.8905,109726478598.60728
355.61823,179081702385.36816,86815261551.91605
355.64023,161864260469.6071,73868124627.10051
355.66223,184277914077.4556,82616365635.59877
355.68423,195346798273.68015,88097798362.45573
355.70624,173707051884.70856,78498607222.87584
355.72824,173545743497.4833,77375885815.6985
355.75024,187267192004.67197,83231024997.44044
355.77228,168867937606.00732,75781009408.1785
355.79428,194275328135.55905,85743954666.12863
355.81628,200070816814.2685,87281875089.03673
355.83832,225179979973.49384,95893855206.43475
355.86032,212179926995.92703,86450032951.5605
355.88232,223740158091.8665,86991761793.15317
355.90436,239133163473.53375,87140639757.59567
355.92639,211779369015.4537,72788075459.88416
355.94839,213023412619.5377,72606208106.60558
355.97043,145598154729.16214,47192624938.50386
355.99246,50789108669.34946,15148783361.590187
356.01447,37496680622.98745,11050438948.422552
356.0365,176323285501.85916,53563117743.26292
356.05853,268003843724.66385,84131392352.02902
356.08057,250530902236.30856,79797192675.50653
356.1026,246507542815.41544,77129407681.08778
356.12463,239321358119.12323,73573477572.81921
