label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Lorentzian;433.2498067038916;638260235800.1394;0.13811590260059958;;;
2;Lorentzian;433.02887438609787;477805586393.08795;0.12661961998708948;;;
3;Lorentzian;432.77597585823327;990819851006.497;0.47821053336213337;;;
4;Lorentzian;431.71090549079423;1003236731090.3263;0.1832301027082539;;;
5;Lorentzian;431.5761278127671;1059970633743.064;0.10110252834970579;;;
6;Lorentzian;431.3297754316718;559889246413.6586;0.07924455752987836;;;
7;Lorentzian;431.11922253938724;1224593678132.4695;0.12523785881253247;;;
8;Lorentzian;430.9810280337665;1223767360245.775;0.123140208240613;;;
9;Lorentzian;430.6941821672968;1705028968884.0881;0.11865226447916877;;;
10;Lorentzian;430.38068868871676;1146236785817.8635;0.16626198177911444;;;
11;Lorentzian;430.1487171314635;737419763259.7788;0.11631502843055808;;;
12;Lorentzian;429.8538824722977;1187977976640.794;0.09186834946637301;;;
13;Lorentzian;429.75165443350596;864127128318.5776;0.14079277108909327;;;
