label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Lorentzian;433.2744698630979;4040629020455.152;0.12873410982381372;;;
2;Lorentzian;433.03640409197294;5099876480477.274;0.13687723985751354;;;
3;Lorentzian;432.7557736540241;5947466496558.237;0.3480614338564947;;;
4;Lorentzian;432.03924514188833;2644252523965.6826;0.2500243200851071;;;
5;Lorentzian;431.844010931031;34621341895907.023;0.023030562419479317;;;
6;Lorentzian;431.71054096567906;2589214705194.8535;0.09395144317747572;;;
7;Lorentzian;431.5709685520547;3259111531733.6655;0.1491536675712446;;;
8;Lorentzian;431.3260057546919;1819905103821.6438;0.11105962516780865;;;
9;Lorentzian;430.98474519676546;6044130846970.402;0.4401017047423017;;;
10;Lorentzian;430.68529949658205;6626321979588.178;0.14291751662836027;;;
11;Lorentzian;430.39448118397576;6675018125792.084;0.36338198144472145;;;
12;Lorentzian;430.1134830861681;3849060243994.593;0.19471425438647438;;;
13;Lorentzian;429.85239015432757;4413880346358.795;0.10723955069605884;;;
14;Lorentzian;429.73259630615803;5776138992278.088;0.2636838218923687;;;
