label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Lorentzian;433.08912951456307;569342208502.2172;0.11524814244957549;;;
2;Lorentzian;432.838933228266;681952882615.1324;0.07749642229092357;;;
3;Lorentzian;432.69232991258104;1352628758246.3884;0.2629135924094528;;;
4;Lorentzian;431.68133607959527;1409180552424.2878;0.3525749580208126;;;
5;Lorentzian;431.5691384498357;1072784223743.5569;0.06039672426843001;;;
6;Lorentzian;431.31858290027634;804820238597.1285;0.0845431712607203;;;
7;Lorentzian;431.1194906106381;1816826159052.5146;0.09263492911324445;;;
8;Lorentzian;430.9938128228111;2569366889676.6704;0.12052645256434014;;;
9;Lorentzian;430.6925431629613;3233312325443.6875;0.09970239419431204;;;
10;Lorentzian;430.37583012626317;1983875040634.4285;0.16289400181654923;;;
11;Lorentzian;430.1780824343183;1119502539448.326;0.09525661628851934;;;
12;Lorentzian;429.8485515557253;2673345694564.1533;0.11916528836493079;;;
13;Lorentzian;429.73963681222244;1437283805421.862;0.06546178864911267;;;
