label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Lorentzian;432.7534696308344;806982842756.916;0.21114891255585855;;;
2;Lorentzian;432.6003178175484;545030108835.5714;0.11318395321217034;;;
3;Lorentzian;432.0406209852665;446136351100.94257;0.07048988782217824;;;
4;Lorentzian;431.9124080083642;274022923177.0059;0.07975246440086181;;;
5;Lorentzian;431.71073042253863;1036939039167.8441;0.09711932988157868;;;
6;Lorentzian;431.56953485069425;1116615134146.8003;0.12463453261836177;;;
7;Lorentzian;431.31001862064096;768267911474.0973;0.09890684524708204;;;
8;Lorentzian;431.12787509144914;1068044637076.4042;0.07014155698822355;;;
9;Lorentzian;431.0070824224122;1754451441285.436;0.13983717998627965;;;
10;Lorentzian;430.6944239766028;2006930662987.6318;0.09602888798626585;;;
11;Lorentzian;430.3718248098693;1201857466253.089;0.13668951827159326;;;
12;Lorentzian;430.20566382769886;337164686049.08466;0.0983162321887332;;;
13;Lorentzian;429.85865199153903;1470372249071.3704;0.10048814380004822;;;
14;Lorentzian;429.7503172023533;1110491378434.432;0.08055862319441554;;;
