Time (s),TC1 (C),TC2 (C)
15.905,404.75,18.0
15.965,404.75,18.0
16.025,404.75,18.0
16.085,404.75,18.0
16.145,404.75,18.0
16.205,404.75,18.0
16.265,404.75,18.0
16.325,405.0,18.0
16.385,404.75,18.0
16.445,404.75,18.0
16.505,404.75,18.0
16.565,404.75,18.0
16.625,405.0,18.0
16.685,405.0,18.0
16.745,405.0,18.0
16.805,405.0,18.0
16.865,405.0,18.0
16.925,405.0,18.0
16.985,405.0,18.0
17.045,405.25,18.0
17.105,405.25,18.0
17.165,405.25,18.0
17.225,405.25,18.0
17.285,405.25,18.0
17.345,405.25,18.0
17.405,405.25,18.0
17.465,405.5,18.0
17.525,405.5,18.0
17.585,405.25,18.0
17.645,405.5,18.0
17.705,405.5,18.0
17.765,405.5,18.0
17.825,405.5,18.0
17.885,405.5,18.0
17.945,405.5,18.0
18.005,405.5,18.0
18.065,405.5,18.0
18.125,405.5,18.0
18.185,405.5,18.0
18.245,405.5,18.0
18.305,405.5,18.0
18.365,405.75,18.0
18.425,405.75,18.0
18.485,405.75,18.0
18.545,405.75,18.0
18.605,405.75,18.0
18.665,405.5,18.0
18.725,405.5,18.0
18.785,405.75,18.0
18.845,405.75,18.0
18.905,405.75,18.0
18.965,405.75,18.0
19.025,405.75,18.0
19.085,405.75,18.0
19.145,405.75,18.0
19.205,405.75,18.0
19.265,405.75,18.0
19.325,405.75,18.0
19.385,405.75,18.0
19.445,406.0,18.0
19.505,406.0,18.0
19.565,405.75,18.0
19.625,405.75,18.0
19.685,405.75,18.0
19.745,405.75,18.0
19.805,406.0,18.0
19.865,406.0,18.0
19.925,406.0,18.0
19.985,406.0,18.0
20.045,406.0,18.0
20.105,406.0,18.0
20.165,406.0,18.0
20.225,406.0,18.0
20.285,406.0,18.0
20.345,406.0,18.0
20.405,406.0,18.0
20.465,406.0,18.0
20.525,406.25,18.0
20.585,406.25,18.0
20.645,406.25,18.0
20.705,406.25,18.0
20.765,406.25,18.0
20.825,406.25,18.0
20.885,406.25,18.0
20.945,406.25,18.0
21.005,406.25,18.0
21.065,406.5,18.0
21.125,406.5,18.0
21.185,406.5,18.0
21.245,406.5,18.0
21.305,406.5,18.0
21.365,406.25,18.0
21.425,406.5,18.0
21.485,406.5,18.0
21.545,406.5,18.0
21.605,406.5,18.0
21.665,406.5,18.0
21.725,406.5,18.0
21.785,406.5,18.0
21.845,406.5,18.0
21.905,406.5,18.0
21.965,406.5,18.0
22.025,406.5,18.0
22.085,406.5,18.0
22.145,406.5,18.0
22.205,406.5,18.0
22.265,406.5,18.0
22.325,406.5,18.0
22.385,406.5,18.0
22.445,406.5,18.0
22.505,406.75,18.0
22.565,406.75,18.0
22.625,406.5,18.0
22.685,406.75,18.0
22.745,406.5,18.0
22.805,406.5,18.0
22.865,406.75,18.0
22.925,406.75,18.0
22.985,406.75,18.0
23.045,406.75,18.0
23.105,406.75,18.0
23.165,406.5,18.0
23.225,406.75,18.0
23.285,406.75,18.0
23.345,406.75,18.0
23.405,406.75,18.0
23.465,406.75,18.0
23.525,406.75,18.0
23.585,406.75,18.0
23.645,406.75,18.0
23.705,406.75,18.0
23.765,406.75,18.0
23.825,406.75,18.0
23.885,406.75,18.0
23.945,406.75,18.0
24.005,406.75,18.0
24.065,406.75,18.0
24.125,406.75,18.0
24.185,406.75,18.0
24.245,406.75,18.0
24.305,406.75,18.0
24.365,406.75,18.0
24.425,406.75,18.0
24.485,407.0,18.0
24.545,406.75,18.0
24.605,407.0,18.0
24.665,407.0,18.0
24.725,407.0,18.0
24.785,407.0,18.0
24.845,406.75,18.0
24.905,407.0,18.0
24.965,407.0,18.0
25.025,406.75,18.0
25.085,406.75,18.0
25.145,407.0,18.0
25.205,407.0,18.0
25.265,407.0,18.0
25.325,406.75,18.0
25.385,407.0,18.0
25.445,407.0,18.0
25.505,407.0,18.0
25.565,407.0,18.0
25.625,407.0,18.0
25.685,406.75,18.0
25.745,407.0,18.0
25.805,407.0,18.0
25.865,407.0,18.0
25.925,407.0,18.0
25.985,407.0,18.0
26.045,407.0,18.0
26.105,407.0,18.0
26.165,407.0,18.0
26.225,407.0,18.0
26.285,407.0,18.0
26.345,407.0,18.0
26.405,407.0,18.0
26.465,407.0,18.0
26.525,407.0,18.0
26.585,407.0,18.0
26.645,407.0,18.0
26.705,407.0,18.0
26.765,407.0,18.0
26.825,407.0,18.0
26.885,407.0,18.0
26.945,407.0,18.0
27.005,407.0,18.0
27.065,407.0,18.0
27.125,407.0,18.0
27.185,407.0,18.0
27.245,407.0,18.0
27.305,407.0,18.0
27.365,407.0,18.0
27.425,407.0,18.0
27.485,407.0,18.0
27.545,407.0,18.0
27.605,407.0,18.0
27.665,407.0,18.0
27.725,407.0,18.0
27.785,407.25,18.0
27.845,407.25,18.0
27.905,407.0,18.0
27.965,407.0,18.0
28.025,407.25,18.0
28.085,407.25,18.0
28.145,407.0,18.0
28.205,407.25,18.0
28.265,407.25,18.0
28.325,407.0,18.0
28.385,407.0,18.0
28.445,407.0,18.0
28.505,407.25,18.0
28.565,407.25,18.0
28.625,407.25,18.0
28.685,407.25,18.0
28.745,407.0,18.0
28.805,407.0,18.0
28.865,407.25,18.0
28.925,407.0,18.0
28.985,407.0,18.0
29.045,407.25,18.0
29.105,407.25,18.0
29.165,407.25,18.0
29.225,407.25,18.0
29.285,407.25,18.0
29.345,407.25,18.0
29.405,407.25,18.0
29.465,407.25,18.0
29.525,407.25,18.0
29.585,407.25,18.0
29.645,407.25,18.0
29.705,407.25,18.0
29.765,407.25,18.0
29.825,407.25,18.0
29.885,407.25,18.0
29.945,407.25,18.0
30.005,407.25,18.0
30.065,407.25,18.0
30.125,407.25,18.0
30.185,407.0,18.0
30.245,407.0,18.0
30.305,407.25,18.0
30.365,407.25,18.0
30.425,407.25,18.0
30.485,407.25,18.0
30.545,407.25,18.0
30.605,407.25,18.0
30.665,407.25,18.0
30.725,407.25,18.0
30.785,407.25,18.0
30.845,407.25,18.0
30.905,407.25,18.0
30.965,407.25,18.0
31.025,407.25,18.0
31.085,407.25,18.0
31.145,407.25,18.0
31.205,407.25,18.0
31.265,407.25,18.0
31.325,407.25,18.0
31.385,407.25,18.0
31.445,407.25,18.0
31.505,407.25,18.0
31.565,407.0,18.0
31.625,407.25,18.0
31.685,407.25,18.0
31.745,407.25,18.0
31.805,407.25,18.0
31.865,407.25,18.0
31.925,407.25,18.0
31.985,407.25,18.0
32.045,407.0,18.0
32.105,407.0,18.0
32.165,407.25,18.0
32.225,407.25,18.0
32.285,407.25,18.0
32.345,407.25,18.0
32.405,407.25,18.0
32.465,407.0,18.0
32.525,407.25,18.0
32.585,407.25,18.0
32.645,407.25,18.0
32.705,407.25,18.0
32.765,407.25,18.0
32.825,407.25,18.0
32.885,407.25,18.0
32.945,407.25,18.0
33.005,407.25,18.0
33.065,407.25,18.0
33.125,407.25,18.0
33.185,407.25,18.0
33.245,407.25,18.0
33.305,407.25,18.0
33.365,407.25,18.0
33.425,407.25,18.0
33.485,407.25,18.0
33.545,407.25,18.0
33.605,407.25,18.0
33.665,407.25,18.0
33.725,407.25,18.0
33.785,407.25,18.0
33.845,407.25,18.0
33.905,407.25,18.0
33.965,407.25,18.0
34.025,407.25,18.0
34.085,407.25,18.0
34.145,407.25,18.0
34.205,407.25,18.0
34.265,407.25,18.0
34.325,407.25,18.0
34.385,407.25,18.0
34.445,407.25,18.0
34.505,407.25,18.0
34.565,407.25,18.0
34.625,407.25,18.0
34.685,407.25,18.0
34.745,407.25,18.0
34.805,407.25,18.0
34.865,407.25,18.0
34.925,407.25,18.0
34.985,407.25,18.0
35.045,407.25,18.0
35.105,407.5,18.0
35.165,407.25,18.0
35.225,407.25,18.0
35.285,407.5,18.0
35.345,407.25,18.0
35.405,407.5,18.0
35.465,407.5,18.0
35.525,407.5,18.0
35.585,407.5,18.0
35.645,407.5,18.0
35.705,407.25,18.0
35.765,407.5,18.0
