Laser power setting (%),Laser power (W),Laser power error (W),Laser power density (MW/m^2),Laser power density error (MW/m^2),Emission time (s),alpha_0.5 (cm^2/s),alpha_c (cm^2/s),kappa_c (W/m-K),kappa_c error (W/m-K),q (MW/m^2),q error (MW/m^2),absorption_coefficient
40.0,1144.612037037037,41.2023899355402,14.699716904829945,0.5389486894851161,0.3,0.32252142338416845,0.26174236428078024,33.42517272704446,3.350643060288807,77.33034291898188,7.755308992386099,5.26066885638955
50.0,1462.3952380952378,59.94155482482417,18.780857886676053,0.7808266649825576,0.3,0.3246432748538012,0.2643493380001047,33.75808997222457,3.384015718264951,83.7612150124179,8.399396081431524,4.45992486167747
60.0,1818.7598039215686,65.13104304021786,23.357481286618683,0.8521079790016598,0.3,0.3246432748538012,0.2690136423618357,34.35373362880559,3.4437248871786377,82.06585510047898,8.228688539391822,3.513471940465339
70.0,2113.7373831775703,83.40669934700739,27.14574033687272,1.0876975308001036,0.3,0.30884005563282335,0.2555307744713009,32.631936741490854,3.2711266230254603,84.9831921734823,8.521046343521098,3.1306271672409522
80.0,2428.7961904761905,93.78446829095195,31.191893204224776,1.223850201617126,0.3,0.32275581395348835,0.2725206812024078,34.801591503585186,3.48861955062227,86.43390733072667,8.666311807914264,2.7710375501997313
90.0,2723.0471153846156,106.09042348455183,34.97082017264549,1.3840519180183952,0.3,0.369477537437604,0.31567985555851347,40.313129009458436,4.041113177098994,108.23037432260399,10.850774982319557,3.0948766368157083
