Laser power setting (%),Laser power (W),Laser power error (W),Laser power density (MW/m^2),Laser power density error (MW/m^2),Emission time (s),alpha_0.5 (cm^2/s),alpha_c (cm^2/s),kappa_c (W/m-K),kappa_c error (W/m-K),T_min (K),DT_max (K)
10.0,119.0263888888889,3.7466895510127998,1.41963948714298,0.046061363111606406,0.5,0.011875712639031349,0.012095967730779351,1.2683831762495228,0.1747852329050137,296.36137429120134,8.034991173570631
20.0,456.277536231884,16.00771055142193,5.442067205246127,0.19566596874290904,0.5,0.011269735075468443,0.013287462808191146,1.3933233500669235,0.19200218893910354,296.38644612047534,23.77990158881255
30.0,815.4862068965517,20.501480755903902,9.726384471022673,0.25621373740820597,0.5,0.010334411066611811,0.014900338950896678,1.5624495423910256,0.21530804908391754,301.39310319883833,29.014561879222526
40.0,1128.5689655172414,37.300721947191676,13.460553431625963,0.45731627158465804,0.5,0.009973850170711606,0.010921675660389022,1.1452469097483928,0.15781685818792437,297.48257611656317,35.43150303531701
