ADC Reading,Distance (in),Distance Error (in),Distance (cm),Distance Error (cm)
1658,25.5,0.05,64.77,0.127
1667,25.6,0.05,65.024,0.127
1680,25.7,0.05,65.278,0.127
1684,25.9,0.05,65.786,0.127
1697,26.0,0.05,66.04,0.127
1710,26.1,0.05,66.294,0.127
1717,26.3,0.05,66.802,0.127
1728,26.4,0.05,67.056,0.127
1736,26.5,0.05,67.31,0.127
1744,26.6,0.05,67.564,0.127
1754,26.8,0.05,68.072,0.127
1761,26.9,0.05,68.326,0.127
1775,27.0,0.05,68.58,0.127
1782,27.2,0.05,69.088,0.127
1795,27.3,0.05,69.342,0.127
1807,27.4,0.05,69.596,0.127
1810,27.5,0.05,69.85,0.127
1823,27.7,0.05,70.358,0.127
1834,27.8,0.05,70.612,0.127
1842,27.9,0.05,70.866,0.127
1855,28.1,0.05,71.374,0.127
1862,28.2,0.05,71.628,0.127
1872,28.3,0.05,71.882,0.127
1882,28.4,0.05,72.136,0.127
1890,28.6,0.05,72.644,0.127
1901,28.7,0.05,72.898,0.127
1910,28.8,0.05,73.152,0.127
1923,29.0,0.05,73.66,0.127
1933,29.1,0.05,73.914,0.127
1940,29.2,0.05,74.168,0.127
