# "Outgoing Spectral Radiance Values for OL 455-12-1 (Cal: 12-2) S/N: 04203031","[W/(sr cm^2 nm)]",140129,350.00,2500.00,1.00
# 6.145A Lamp current, 8,902 ft-L
Wavelength [nm],Spectral radiance [W/(sr cm^2 nm)]
586.00,4.8859380E-05
587.00,4.9114360E-05
588.00,4.9367410E-05
589.00,4.9618390E-05
590.00,4.9867200E-05
591.00,5.0104060E-05
592.00,5.0339100E-05
593.00,5.0572760E-05
594.00,5.0805520E-05
595.00,5.1037850E-05
596.00,5.1270200E-05
597.00,5.1503050E-05
598.00,5.1736860E-05
599.00,5.1972080E-05
600.00,5.2209200E-05
601.00,5.2462030E-05
602.00,5.2716870E-05
603.00,5.2973370E-05
604.00,5.3231190E-05
605.00,5.3489990E-05
606.00,5.3749410E-05
607.00,5.4009120E-05
608.00,5.4268770E-05
609.00,5.4528010E-05
610.00,5.4786500E-05
611.00,5.5038770E-05
612.00,5.5289910E-05
613.00,5.5539880E-05
614.00,5.5788660E-05
615.00,5.6036210E-05
616.00,5.6282500E-05
617.00,5.6527480E-05
618.00,5.6771130E-05
619.00,5.7013420E-05
620.00,5.7254300E-05
621.00,5.7492860E-05
622.00,5.7730010E-05
623.00,5.7965760E-05
624.00,5.8200140E-05
625.00,5.8433160E-05
626.00,5.8664840E-05
627.00,5.8895210E-05
628.00,5.9124270E-05
629.00,5.9352070E-05
630.00,5.9578600E-05
631.00,5.9804300E-05
632.00,6.0028760E-05
633.00,6.0251970E-05
634.00,6.0473920E-05
635.00,6.0694630E-05
636.00,6.0914060E-05
637.00,6.1132230E-05
638.00,6.1349130E-05
639.00,6.1564760E-05
640.00,6.1779100E-05
641.00,6.1989440E-05
642.00,6.2198660E-05
643.00,6.2406910E-05
644.00,6.2614350E-05
645.00,6.2821140E-05
646.00,6.3027450E-05
647.00,6.3233430E-05
648.00,6.3439240E-05
649.00,6.3645050E-05
650.00,6.3851000E-05
651.00,6.4062340E-05
652.00,6.4273840E-05
653.00,6.4485360E-05
654.00,6.4696750E-05
655.00,6.4907860E-05
656.00,6.5118530E-05
657.00,6.5328630E-05
658.00,6.5538010E-05
659.00,6.5746520E-05
660.00,6.5954000E-05
661.00,6.6159730E-05
662.00,6.6364170E-05
663.00,6.6567230E-05
664.00,6.6768780E-05
665.00,6.6968710E-05
666.00,6.7166920E-05
667.00,6.7363280E-05
668.00,6.7557690E-05
669.00,6.7750030E-05
670.00,6.7940200E-05
671.00,6.8121060E-05
672.00,6.8299950E-05
673.00,6.8477170E-05
674.00,6.8653040E-05
675.00,6.8827870E-05
676.00,6.9001980E-05
677.00,6.9175670E-05
678.00,6.9349270E-05
679.00,6.9523070E-05
680.00,6.9697400E-05
681.00,6.9880940E-05
682.00,7.0065120E-05
683.00,7.0249760E-05
684.00,7.0434640E-05
685.00,7.0619590E-05
686.00,7.0804400E-05
687.00,7.0988880E-05
688.00,7.1172840E-05
689.00,7.1356080E-05
690.00,7.1538400E-05
691.00,7.1719500E-05
692.00,7.1899310E-05
693.00,7.2077640E-05
694.00,7.2254290E-05
695.00,7.2429090E-05
696.00,7.2601840E-05
697.00,7.2772350E-05
698.00,7.2940440E-05
699.00,7.3105920E-05
700.00,7.3268600E-05
701.00,7.3421330E-05
702.00,7.3571300E-05
703.00,7.3718760E-05
704.00,7.3863940E-05
705.00,7.4007070E-05
706.00,7.4148380E-05
707.00,7.4288120E-05
708.00,7.4426510E-05
709.00,7.4563790E-05
710.00,7.4700200E-05
711.00,7.4840950E-05
712.00,7.4981000E-05
713.00,7.5120270E-05
714.00,7.5258690E-05
715.00,7.5396200E-05
716.00,7.5532730E-05
717.00,7.5668210E-05
718.00,7.5802580E-05
719.00,7.5935770E-05
720.00,7.6067700E-05
721.00,7.6195330E-05
722.00,7.6321760E-05
723.00,7.6447100E-05
724.00,7.6571450E-05
725.00,7.6694940E-05
726.00,7.6817670E-05
727.00,7.6939760E-05
728.00,7.7061320E-05
729.00,7.7182460E-05
730.00,7.7303300E-05
731.00,7.7429910E-05
732.00,7.7556090E-05
733.00,7.7681570E-05
734.00,7.7806120E-05
735.00,7.7929480E-05
736.00,7.8051410E-05
737.00,7.8171650E-05
738.00,7.8289970E-05
739.00,7.8406100E-05
740.00,7.8519800E-05
741.00,7.8624000E-05
742.00,7.8725690E-05
743.00,7.8825040E-05
744.00,7.8922190E-05
745.00,7.9017330E-05
746.00,7.9110620E-05
747.00,7.9202210E-05
748.00,7.9292280E-05
749.00,7.9380990E-05
750.00,7.9468500E-05
751.00,7.9553460E-05
752.00,7.9637650E-05
753.00,7.9721320E-05
754.00,7.9804730E-05
755.00,7.9888140E-05
756.00,7.9971800E-05
757.00,8.0055970E-05
758.00,8.0140900E-05
759.00,8.0226860E-05
760.00,8.0314100E-05
761.00,8.0410680E-05
762.00,8.0508590E-05
763.00,8.0607590E-05
764.00,8.0707490E-05
765.00,8.0808060E-05
766.00,8.0909080E-05
767.00,8.1010340E-05
768.00,8.1111630E-05
769.00,8.1212720E-05
770.00,8.1313400E-05
771.00,8.1414640E-05
772.00,8.1514970E-05
773.00,8.1614100E-05
774.00,8.1711740E-05
775.00,8.1807590E-05
776.00,8.1901380E-05
777.00,8.1992820E-05
778.00,8.2081610E-05
779.00,8.2167460E-05
780.00,8.2250100E-05
781.00,8.2318180E-05
782.00,8.2383140E-05
783.00,8.2445350E-05
784.00,8.2505190E-05
785.00,8.2563050E-05
