# ********************
# Shot #203782
# B-II line brightness
# Wavelength range (Å): [4119.5, 4123] 
# ********************
time (s),Line brightness (photons/cm^2/ster/s),SX/B,Flux BII (molecules/s)
1e-06,3553267121918.7554,54.33408550692678,1.0079886378496066e+16
0.010870565217391352,-2141987885928.754,54.33410919223546,-6076380746337398.0
0.021740130434782484,33427082475492.668,54.33415329288187,9.482586085329736e+16
0.03260969565217384,-10905442233611.383,54.334215384997925,-3.093656559222916e+16
0.04347926086956519,17172295364847.115,54.334152868524825,4.871432256388889e+16
0.05434882608695654,-10560613303801.635,54.33357546436752,-2.995800182658846e+16
0.06521839130434767,12429754614213.451,54.33220078151728,3.5259428543677812e+16
0.07608795652173903,36993386530560.99,54.33159927460759,1.0493781003177635e+17
0.08695752173913038,25628074863936.043,54.338309134324334,7.270721700382962e+16
0.09782708695652173,5089341945042.503,54.362482218639826,1.4444959464881856e+16
0.10869665217391308,8320770809802.434,54.394422749172854,2.3630523858135504e+16
0.11956621739130421,26440616139026.26,54.34179576698485,7.501722148020032e+16
0.13043578260869557,26169904922629.082,54.186955295285486,7.403759645029795e+16
0.14130534782608692,12911562778161.93,54.29103030446721,3.65984179259637e+16
0.15217491304347827,20898821944561.938,54.2593595165265,5.920411400896491e+16
0.16304447826086962,15172003111841.855,53.913659299268836,4.270681172164597e+16
0.17391404347826075,38948542401131.92,53.39782589809411,1.0858509154820506e+17
0.1847836086956521,18605363843405.78,53.09583586026413,5.1576758836280264e+16
0.19565317391304346,-10655420631548.18,53.38766764175648,-2.970071908110875e+16
0.2065227391304348,27269588056581.19,54.45319301464079,7.75277795633165e+16
0.21739230434782594,24582339880531.11,55.29786065304325,7.0971987310177864e+16
0.2282618695652173,6751862754698.77,55.107607485597214,1.9426321844806108e+16
0.23913143478260865,33701463722678.76,54.151489703532405,9.528281724398491e+16
0.250001,1497346812204.444,53.82424623293423,4207806656756246.0
0.2608705652173913,-7962460480836.898,54.36437554079088,-2.2600451281269396e+16
0.27174013043478246,17235877753699.988,55.123107735520364,4.960466452746676e+16
0.2826096956521738,21007033615358.258,55.42686208349712,6.0791161338942584e+16
0.29347926086956516,-5178325315544.066,55.92460224202315,-1.5119855887153568e+16
0.3043488260869565,17768212383784.383,56.975746083876295,5.2855377017606056e+16
0.31521839130434764,4558218639186.299,57.75936146376127,1.3745892827287056e+16
0.326087956521739,-2965410392056.4106,57.61897119103804,-8920839424493093.0
0.33695752173913035,-14831839337445.072,56.519255630772804,-4.376700849743585e+16
0.3478270869565217,-1702426089151.61,54.89416053358805,-4879213607663602.0
0.35869665217391306,3561263025475.458,53.35970047061101,9921397527769080.0
0.3695662173913042,14273867119292.111,52.000560606796164,3.875297896003395e+16
0.38043578260869554,24053720863929.234,50.85201875311325,6.386249515014019e+16
0.3913053478260869,-3348458449063.0913,49.92821493119429,-8728635752968000.0
0.40217491304347824,-11124732618683.23,49.26434407098031,-2.861394274103196e+16
0.4130444782608696,10125397821968.523,49.08058773681049,2.594640947174372e+16
0.4239140434782607,25146218846335.7,49.404906289114926,6.486317275146932e+16
0.4347836086956521,9815997363590.803,50.01511195740078,2.563250765800794e+16
0.44565317391304343,19665255490450.016,50.375953902743746,5.172235531755258e+16
0.4565227391304348,19347737514866.223,50.85598620829387,5.137214324701976e+16
0.4673923043478259,3755123514878.9795,53.15081971573377,1.0420525261831236e+16
0.47826186956521727,-3639068199020.712,58.43813818464077,-1.110304201281534e+16
0.4891314347826086,8208706142506.225,64.45707680109369,2.7624901124950708e+16
0.500001,5049776755079.516,68.09921164034476,1.7954349733608014e+16
0.5108705652173912,6047518258700.854,68.91519674054356,2.1759434579897296e+16
0.5217401304347827,36495522869337.4,67.83026697763854,1.2924642345397827e+17
0.5326096956521739,-1539167139737.5496,66.0603496327238,-5308625247552777.0
0.543479260869565,9653072951649.645,65.98377799596426,3.3255094310351944e+16
0.5543488260869566,26020205484829.727,69.89279135254976,9.49507774051492e+16
0.5652183913043477,-299040560269.1333,76.07688982884791,-1187786170998468.2
0.5760879565217393,8585653950085.664,77.386156932169,3.468902370588764e+16
0.5869575217391304,-9922680194698.043,70.88030788740629,-3.672062015564052e+16
0.5978270869565215,1087029144608.2456,57.379474225110684,3256515653403194.0
0.6086966521739131,20894210258850.28,45.75416945059036,4.991281388992786e+16
0.6195662173913042,14200741566384.678,42.15211455059324,3.1252575077850876e+16
0.6304357826086958,30245282936628.44,43.31068253723799,6.8392439806345656e+16
0.641305347826087,18994604919693.887,44.399153314738236,4.403118467994835e+16
0.6521749130434781,-13074954486220.129,44.18568684275774,-3.01631860887523e+16
0.6630444782608697,-796758267886.251,43.52982513187627,-1810793466016770.5
0.6739140434782608,27142571316952.65,43.31357951145214,6.13805083783835e+16
0.6847836086956524,-33661969300189.78,42.955960812592295,-7.54950321698635e+16
0.6956531739130435,12867422373137.297,42.01535499903761,2.8226368803929444e+16
0.7065227391304346,-30863027433254.426,40.90254846569859,-6.5908937447569704e+16
