# ********************
# Shot #203783
# BD line brightness
# Wavelength range (Å): [4324, 4329] 
# ********************
time (s),Line brightness (photons/cm^2/ster/s),SX/B,Flux BD (molecules/s)
1e-06,236073304544.60107,0.5273396530301864,6499691230150.652
0.013889888888888839,857056428324.9635,0.527350921532765,23597421138166.438
0.02777877777777768,301149853914.74585,0.5273805189634807,8292054684171.446
0.04166766666666652,246679088819.79044,0.5273956393452698,6792416176327.496
0.05555655555555536,66717782522.521515,0.5271358034015698,1836198107999.6458
0.06944544444444442,200002547962.66846,0.5263202208914034,5495927582064.205
0.08333433333333326,178390444175.0485,0.5269426295227997,4907839352284.895
0.0972232222222221,137436312033.04614,0.5369236210885486,3852737505334.184
0.11111211111111094,-37261508305.92954,0.5572167363900176,-1084026752969.6577
0.125001,428844507369.31885,0.5691332576108958,12742928139561.422
0.13888988888888884,148049569415.68152,0.5760046750154226,4452342591789.693
0.15277877777777768,50778709629.40236,0.576267040744221,1527780135821.6692
0.16666766666666652,87700143292.99365,0.5713214324984127,2615990947677.4683
0.18055655555555536,94214519482.10872,0.5715184061488061,2811275945423.0366
0.19444544444444442,151268651233.26013,0.5850796015157991,4620822741406.153
0.20833433333333326,-21544598053.77176,0.6341826639315907,-713359056885.6301
0.2222232222222221,204847214562.77405,0.6970168766594386,7454676024612.177
0.23611211111111094,101949072140.11432,0.7157580581797325,3809824243439.4214
0.250001,444922455567.8714,0.6808278054424969,15815285169319.36
0.2638898888888888,109565947638.30374,0.6260246319975088,3581149390475.933
0.27777877777777765,258922087792.71454,0.6167616391877422,8337615662886.254
0.2916676666666665,215543604981.12808,0.6621415980218538,7451460990983.932
0.30555655555555533,80223341749.99222,0.7178256649477285,3006596504141.484
0.3194454444444444,533350792390.69684,0.7381051617601123,20553538675111.836
0.33333433333333323,449267012332.8333,0.7360498086975694,17265022674264.195
0.34722322222222207,242750707511.57388,0.7146361452577642,9057344782671.053
0.3611121111111109,373972522180.1251,0.6825644723664795,13327196164480.717
0.375001,121399150908.5762,0.6697204857099698,4244872499563.827
0.3888898888888888,1334529220484.4163,0.6546747342476298,45615147700491.82
0.40277877777777765,237253723748.40228,0.6036264154176514,7477160304631.856
0.4166676666666665,515272016500.06165,0.5820423687769157,15658370838867.63
0.43055655555555533,96045843535.65962,0.7347827398430594,3684621981664.3984
0.4444454444444444,41330041553.69591,1.020267757063332,2201584816800.855
0.45833433333333323,333283003164.0587,1.0945262405553258,19045604491810.17
0.47222322222222207,94042066773.65004,0.9703020481312525,4764140168447.667
0.4861121111111109,525067425574.6771,0.8949351099476268,24533642929856.836
0.500001,651595629625.902,0.9594504201455215,32640448495931.64
0.5138898888888889,359627130112.8516,1.0376721382356253,19483546873258.555
0.5277787777777777,365707851198.8645,1.0095230245205027,19275512324348.676
0.5416676666666665,1163136355585.35,0.8919517250624082,54166078857454.055
0.5555565555555554,320146159227.1859,0.8176763027719199,13667375453041.508
0.5694454444444442,278634400651.3251,0.7884896049015282,11470599689892.42
0.5833343333333331,364716085014.0494,0.6780610031098541,12911571440820.658
0.5972232222222223,539820817350.3219,0.4933228632222762,13903888914724.873
0.6111121111111112,484245151025.71954,0.40133104411510945,10146668059792.855
0.625001,512945872432.7417,0.40047989490553293,10725256200034.75
0.6388898888888889,71169911236.36646,0.4135070024432169,1536507590340.6753
0.6527787777777777,682472506095.9994,0.41228838285195274,14690672441761.762
0.6666676666666665,217105816605.35132,0.3939844407582832,4465868670516.165
0.6805565555555554,-19302508430.923134,0.36642295962414306,-369276649261.9628
0.6944454444444442,176490722266.39813,0.35451576094401066,3266727025926.251
0.7083343333333331,431568794846.5088,0.3532193664479164,7958843400841.223
0.7222232222222223,142186588225.77896,0.347258160767065,2577902641662.148
0.7361121111111112,116385544809.04355,0.32893997006728537,1998808142185.9763
0.750001,234951581126.07886,0.3205946263856165,3932692845584.4966
0.7638898888888889,632579562748.4712,0.34629152997260504,11437008484784.078
0.7777787777777777,112523755831.38834,0.41315891832444585,2427262625895.899
0.7916676666666665,820099812303.277,0.4850754362071726,20769756874088.49
0.8055565555555554,326518458643.4952,0.5325103572668247,9078021653284.682
0.8194454444444442,356504034890.59924,0.5405027452641975,10060458434340.688
0.8333343333333331,885655484945.6173,0.5220630477917437,24140329212562.45
0.8472232222222219,1459668863418.7126,0.5213652978958565,39733048064881.0
0.8611121111111112,839260465477.8049,0.5459451604961806,23922204769485.777
0.875001,1431441271776.2217,0.5734927035155393,42860462091684.164
0.8888898888888889,2310800809929.6777,0.5817831749158321,70190621176723.05
0.9027787777777777,445037732000.16705,0.5740588488413548,13338551406399.646
0.9166676666666665,711558086395.0894,0.5633726502554421,20929629267209.273
0.9305565555555554,1137316514101.2861,0.5678433063514924,33718269182090.926
0.9444454444444442,1871244902968.5352,0.5920622609490408,57843348656731.47
0.9583343333333331,4379815232808.1704,0.6143890779120486,140493002411714.45
0.9722232222222219,6554016365541.01,0.6586550240320997,225382892271867.06
0.9861121111111112,10196926628029.93,0.8581123725670192,456844999494217.75
1.000001,13940129313855.697,1.2626314762366126,918964704921859.8
1.0138898888888888,25230661515134.664,1.6946495634865428,2232358595174209.2
1.0277787777777776,20902102142447.72,1.9956181123143206,2177824203411926.5
1.0416676666666664,20714586702816.86,2.1528585553781876,2328344225265027.0
1.0555565555555553,15776847636611.83,2.256743804287199,1858908047850848.0
1.0694454444444441,23680381675940.383,2.4398267190253207,3016498394125344.0
1.083334333333333,28776325402775.72,2.6875140235057877,4037769213273443.0
1.0972232222222218,18322408919460.367,2.823186606621027,2700707645918582.0
