label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Gaussian;433.20196996883857;409746945268.0363;0.1760561387047721;;;
2;Gaussian;432.9758082766938;431453058543.7562;0.023449414044984795;;;
3;Gaussian;432.8875230029816;413488406658.6501;0.30070589345093657;;;
4;Gaussian;432.59225321297913;534935623790.9028;0.22010549556717995;;;
5;Gaussian;431.6565851865967;972260241707.3495;0.11038922777535376;;;
6;Gaussian;431.52254282939293;967502741176.742;0.09813595678644926;;;
7;Gaussian;431.26173026724314;337996693433.31384;0.0792282515997833;;;
8;Gaussian;431.05224180869936;1125399077787.4634;0.12164974718827937;;;
9;Gaussian;430.9168340636517;1012972971543.6123;0.11502808573393697;;;
10;Gaussian;430.63596629368595;1581215755563.9753;0.11769613944977442;;;
11;Gaussian;430.3218888792904;819898952205.1824;0.16495442427229;;;
12;Gaussian;430.0949285504328;545310197655.95154;0.0980039158435031;;;
13;Gaussian;429.79665683926834;1066187288687.9773;0.09320946524301599;;;
14;Gaussian;429.69222420577137;724718392287.6174;0.09683512871671018;;;
