label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Gaussian;433.2108844438194;374177855674.3546;0.18816395276344267;;;
2;Gaussian;432.9752746374241;557636682820.8943;0.0192716684239036;;;
3;Gaussian;432.84734118291743;431126647464.5587;0.39913623692042766;;;
4;Gaussian;432.57806971907803;390090751214.06726;0.20364273403453703;;;
5;Gaussian;431.6624216307993;850409986691.0424;0.10123470078444718;;;
6;Gaussian;431.52947593959794;1036460436093.8176;0.10514949525448625;;;
7;Gaussian;431.26604127548273;503154050344.6875;0.07937557521751071;;;
8;Gaussian;431.0654807769995;1055424956091.9252;0.10913805295896806;;;
9;Gaussian;430.9283315725591;1067670349107.0479;0.12699522202556102;;;
10;Gaussian;430.6392409205775;1513763989957.6904;0.11861342620381743;;;
11;Gaussian;430.3261461517937;879542749034.7749;0.17273374949430265;;;
12;Gaussian;430.0967287166207;582555053263.7686;0.10283137195779002;;;
13;Gaussian;429.7974647238498;1106856589753.797;0.10014527284918362;;;
14;Gaussian;429.6925613519459;736542685729.5895;0.07791469017800479;;;
