label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Gaussian;433.206087001703;416019016568.98157;0.23952896336959517;;;
2;Gaussian;432.9756604883947;283754182930.8201;0.02926140623261686;;;
3;Gaussian;432.8735887418394;377323712606.29333;0.24722689981468982;;;
4;Gaussian;432.60321396471835;546684976374.4841;0.2709093529244644;;;
5;Gaussian;431.6360948707893;842090724814.8574;0.1133047270751697;;;
6;Gaussian;431.50626352449495;1039414105731.1248;0.09924887946406447;;;
7;Gaussian;431.25039587659984;392720703523.027;0.07406874849601452;;;
8;Gaussian;431.0460561971531;1041135752501.7808;0.10986690269099153;;;
9;Gaussian;430.908208493388;1079491534021.9208;0.12741669598644867;;;
10;Gaussian;430.6177920295225;1357621597304.1675;0.12612622922021366;;;
11;Gaussian;430.30511622180336;882207286014.7021;0.15265509452885295;;;
12;Gaussian;430.0794317895336;575737196456.4921;0.09628228630457203;;;
13;Gaussian;429.77611249354374;1135325865304.8213;0.08412603635830074;;;
14;Gaussian;429.67781454714486;749724346831.7767;0.08624411064545034;;;
