label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Gaussian;433.2432096914113;374882080774.60706;0.22789024417119164;;;
2;Gaussian;432.9757493308495;433422377037.0541;0.025291935744253813;;;
3;Gaussian;432.8445777664556;386228295091.11505;0.36172922857469203;;;
4;Gaussian;432.56020426141254;438343952470.4295;0.2143266200277938;;;
5;Gaussian;431.6392521486137;848460766025.5305;0.11519138689438657;;;
6;Gaussian;431.50317136587176;980763766105.9021;0.09494650450284636;;;
7;Gaussian;431.25239795950915;342395769636.47174;0.07201463116406348;;;
8;Gaussian;431.03822459601133;972054316260.4767;0.12210999054010907;;;
9;Gaussian;430.9020079382307;1171546343093.6914;0.1083863444031885;;;
10;Gaussian;430.61795219093045;1407296276646.415;0.11632446933539375;;;
11;Gaussian;430.3002077932581;843340176414.4427;0.15213681705698034;;;
12;Gaussian;430.07230009786423;548251552413.5801;0.10040548180572095;;;
13;Gaussian;429.7777099156145;1077244466966.8542;0.08678894224004585;;;
14;Gaussian;429.67738442400577;725509152912.7178;0.09639992748773363;;;
