x (cm),x error (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV),J_sat (A/cm^2),J_sat error (A/cm^2),V_sc (eV),V_sc error (eV),synthetic
-4.75677,0.3825310059099226,41525848680.7164,51932902440.501434,0.1084614197204003,1.3653458293130236,-0.0015635196001825,0.0008209475841702,0.0847562365371201,2.3315686396838076,True
-4.62672,0.3631157599534957,36049952607.150314,24030903915.38781,0.268445190442551,0.4494358929603271,-0.0015253848760506,0.0011871958811471,-0.0326156008965619,0.6606764034644096,True
-4.4492400000000005,0.0834532997223891,30030112303.73418,25783419817.86796,0.5889977342374915,1.1035967474498551,-0.0015126509833089,0.0021277191685785,-0.0202708264403309,2.248771020933087,True
-4.33449,0.3581482840229955,46477916347.85699,28486836837.41527,0.7308856727255001,0.5680720907028544,-0.0024889937030254,0.0031540975360484,0.1900967534658952,0.8185560559059428,True
-4.20597,0.3964204168172368,39491412507.41745,28130229550.965717,1.1420243700144597,1.0228005720407256,-0.002442647265168,0.0039532789204459,1.0949348324566972,1.7934988725237075,True
-4.037669999999999,0.1119965354890255,67505484875.264854,44563895325.51006,0.469320118145307,0.4480973561485826,-0.0032080487845308,0.0063249529710099,-1.628095456327481,0.5848843177479872,True
-3.9014999999999995,0.3258284113891766,74780913097.09314,57070917738.73179,0.1594881428828777,0.192180713158504,-0.0029313153968284,0.0058861517421996,-2.0104395558545165,0.1715043098494784,True
-3.77757,0.3709458952590971,73286771144.53195,47544275512.97905,0.616778473739182,0.5336433576629352,-0.0037383279238194,0.0077778585430447,-1.461294236231645,0.8132942694791288,True
-3.6108000000000002,0.1157890304868755,74663879675.46385,44865490601.62421,1.1281548838617952,0.5317090318505238,-0.0045986112844318,0.01149755695053,-0.8282158414561911,0.8769603359644499,True
-3.4792200000000006,0.385481079639385,67933248200.755905,40039351674.33522,2.719450867236908,1.1747685480779104,-0.005883578755258,0.0218642741288176,1.5905295053558337,2.452143127796857,True
-3.34152,0.3402896154555597,89669483253.81453,55341527730.35664,1.1104058110407389,0.4824074885135954,-0.0054926334970441,0.0184259136341128,-2.1883654643248085,0.8039282021422589,True
