angle (rad),n particles
1.5207754699891265,157
1.4706289056333368,502
1.4202280540182106,812
1.3694384060045657,1158
1.318116071652818,1396
1.266103672779499,1685
1.2132252231493863,2090
1.1592794807274085,2381
1.1040309877476002,2639
1.0471975511965976,2917
0.9884320889261531,3228
0.9272952180016121,3460
0.8632118900695409,3768
0.7953988301841435,4043
0.7227342478134154,4158
0.6435011087932843,4391
0.5548110329800713,4587
0.45102681179626214,4654
0.3175604292915212,4923
0.0,5185
