label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Gaussian;433.19217818111053;310153902265.1901;0.1492785927004081;;;
2;Gaussian;432.9074906883987;371997586391.5965;0.26339737724054846;;;
3;Gaussian;432.58728978774286;351954830232.92566;0.09873428531255168;;;
4;Gaussian;431.71473521466686;462216011452.60834;0.13459019193523547;;;
5;Gaussian;431.5843182708934;488268848653.57117;0.0775330508605454;;;
6;Gaussian;431.1205055620731;467355572904.6501;0.10407835228184448;;;
7;Gaussian;430.99498737498385;508176442391.395;0.11694999843193665;;;
8;Gaussian;430.6944878162198;649055425262.773;0.11083453241753638;;;
9;Gaussian;430.3861486436169;368117932379.1775;0.16350152520786532;;;
10;Gaussian;430.13818979807854;181998471677.72614;0.0755034133979593;;;
11;Gaussian;429.85323908310517;529768987149.1117;0.09311961687293868;;;
12;Gaussian;429.7645491303305;229990863804.803;0.061314145475255266;;;
