label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Gaussian;433.2307962763389;902238266959.6204;0.18098102681909367;;;
2;Gaussian;432.88324757438113;888583489498.5686;0.2645006053494936;;;
3;Gaussian;432.60685844655;795150481028.7953;0.19766106054684984;;;
4;Gaussian;431.7005416760705;1091897558755.9546;0.12014186479620825;;;
5;Gaussian;431.5737337014134;1391791692691.525;0.0841123085802975;;;
6;Gaussian;431.11762276587;1170616110063.916;0.09367263670614356;;;
7;Gaussian;430.98448786438706;1464044367417.3267;0.15288143964640177;;;
8;Gaussian;430.6838939496233;2334529476531.899;0.11598535320553882;;;
9;Gaussian;430.3705766095205;1334392171443.5806;0.17045928603000027;;;
10;Gaussian;430.1385237539787;871106999621.47;0.09046259096959774;;;
11;Gaussian;429.8390774969917;1710778030744.9487;0.09906956991335703;;;
12;Gaussian;429.74234848931326;894877600176.4652;0.08526403448160247;;;
