label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Gaussian;433.19996629141406;318619019645.3299;0.14013210485682714;;;
2;Gaussian;432.89755826160325;352378297166.48926;0.23415103040130836;;;
3;Gaussian;432.5899137008221;378870678998.64307;0.11000764989674838;;;
4;Gaussian;431.66801704355817;497125802496.22095;0.2860210650798889;;;
5;Gaussian;431.57020563297914;652829031986.4473;0.01925638409331354;;;
6;Gaussian;431.1159487133591;580537029752.9991;0.11544265379579421;;;
7;Gaussian;430.99198683982326;583309472495.9865;0.12027234314105906;;;
8;Gaussian;430.69245824686783;718729964843.7145;0.10883739100298051;;;
9;Gaussian;430.38281524348383;479363793824.5976;0.14911847235340447;;;
10;Gaussian;430.1441058199316;300472885042.42053;0.07911721936908478;;;
11;Gaussian;429.8504367067797;583985842294.6211;0.10043311768755947;;;
12;Gaussian;429.7603352130805;272367479489.24268;0.06301604050780174;;;
