x (cm),n_e (cm^{-3}),T_e (eV),J_sat (A/cm^2),V_sc (eV),J_sat_robust (A/cm^2),x error (cm),n_e error (cm^{-3}),T_e error (eV),J_sat error (A/cm^2),V_sc error (eV)
11.10933,26675672562.229435,0.1000492711370865,-0.0009974178215899222,0.8062034185975321,-0.0019088063946267504,0.24620107030931906,72437288134.8785,3.098706234133216,0.000761688753645823,6.392475721701293
10.96704,14396938491.79765,0.1000000000057206,-0.0005382872139171221,-0.767546203412039,-0.0023680494340281664,0.2806360691306168,21094144373.274975,0.6764584455439127,0.0010618731751560486,1.0136944369736607
10.82169,25905242556.22676,0.10068785887540227,-0.0009691263002906949,-0.45058312252840627,-0.0026533520987794246,0.33813240861386223,18960178323.213814,0.27308864739062644,0.0008422815390648307,0.4185977584742437
10.68552,18839610929.02071,0.25191645458596307,-0.000788542333339094,-0.16316675103983408,-0.003584606028476656,0.28387528196425765,20408342931.721077,0.5879676203854753,0.0010796219091872455,0.7952373525159249
10.53252,32882508095.869488,0.9510458830891566,-0.0019119379694548533,0.9532264214703638,-0.0030881633578943766,0.2316223090760437,16279098682.246935,0.7625676338714087,0.0017100865741454519,1.3328980780621529
10.38411,32679730478.23168,0.6332060018387311,-0.0016791952176881406,-0.047705194616994545,-0.004580557174003977,0.3454660407712976,21912432476.3394,0.9939885432808888,0.001839533637748112,2.056043256880321
10.23723,37358144610.70795,0.434679257306514,-0.0017433512236257483,-0.31057631880685665,-0.005013470786947021,0.3536740239459709,17239544233.77521,0.28834136923805065,0.0014368392924626635,0.34398951186244675
10.11177,28441310152.28735,0.8550774276225886,-0.0015980852514635266,-0.129394523457055,-0.005599715188654566,0.22321012938148985,14650129079.819408,0.5711073859719155,0.002151355177288326,0.911446221328845
9.96795,30380614069.294067,1.177883225482618,-0.0018995280169990527,0.3762919605223355,-0.004421595054419302,0.20327973279451605,14851786478.302479,0.6982350069744285,0.0027719819723819364,1.2609004492890161
9.85014,34724187436.30089,1.0168657053679426,-0.0020643053955435144,0.4040454581572776,-0.0052926517797286495,0.41505854122001207,18859490291.40379,0.6151338816596679,0.002934213292821099,0.9510925111318784
9.704790000000001,35558357337.49216,1.15568716917968,-0.0022085087345350032,-0.2202412393962297,-0.0063900519569996235,0.42651649066533137,20821076410.358288,0.971066775248405,0.004250820038111557,1.9002835573871
