# ********************
time (s),Line brightness (a.u.)
1e-06,45.814835200174706
0.02000100000000002,49.94796938289163
0.040001000000000037,76.86754109430954
0.060001000000000054,78.2137376693773
0.08000100000000007,78.84502504025379
0.10000100000000009,23.531800173993265
0.12000100000000011,12.619788870578077
0.14000100000000013,42.63367264025371
0.16000100000000014,62.63078493259258
0.18000099999999994,22.972500642062723
0.20000099999999996,44.531892538403476
0.22000099999999997,71.87132947794748
0.240001,38.30926921127049
0.260001,52.69693461890026
0.280001,48.66582422850603
0.300001,30.067899829457282
0.32000100000000004,41.983285834620936
0.34000100000000005,68.45422561682754
0.36000100000000007,65.20087980711895
0.3800010000000001,95.4988399259314
0.4000010000000001,119.9597204423046
0.4200009999999999,23.206436935156145
0.4400009999999999,62.656863810659665
0.46000099999999994,70.50824600976385
0.48000099999999996,162.13076722980534
0.500001,193.32156806936246
0.520001,185.62060717847845
0.5400010000000001,213.6616766363493
0.5600010000000001,62.58966351856258
0.5800010000000001,90.64969648498612
0.6000010000000001,60.263308190939945
0.6200010000000001,62.69752011138658
0.6400010000000002,70.01496147755778
0.6600010000000002,66.71691749655575
0.6800010000000002,41.6847688132155
0.7000010000000002,16.529443789489978
0.7200010000000002,74.16996085683027
0.7400010000000002,85.87877716435399
0.7600010000000003,55.49844211736595
0.7800010000000003,151.2648819565586
0.8000010000000003,218.62944445096775
0.8200009999999999,224.9218989624567
0.8400009999999999,159.0148975738565
0.8600009999999999,209.25849354483688
0.8800009999999999,217.15365122052106
0.9000009999999999,200.0927800019713
0.920001,299.7394117516575
0.940001,231.25286528741478
0.960001,266.91086086042384
0.980001,181.72087194319437
1.000001,265.13199924920065
1.020001,272.6956001075787
1.040001,311.673297018117
1.060001,247.18994111448868
1.080001,242.16146017003723
1.100001,247.89866888292082
1.120001,210.28339543352112
1.140001,185.424776746074
1.160001,197.46640089640394
1.180001,107.07574058340884
1.200001,231.43826121280156
1.2200010000000001,171.12682010409978
1.2400010000000001,193.3269193985037
1.2600010000000001,79.7278851398943
1.2800010000000002,216.12492181153482
1.3000010000000002,251.6398965300373
1.3200009999999998,195.8616902610172
1.3400009999999998,165.36505877247768
1.3600009999999998,184.15797122727727
1.3800009999999998,302.1578922291438
1.4000009999999998,259.3936402198961
1.4200009999999998,269.0736569886519
1.4400009999999999,187.80715412430757
1.4600009999999999,193.76004201945906
1.480001,229.13602522281593
1.500001,234.6408023961916
1.520001,208.4550105143341
1.540001,132.57140691596217
1.560001,210.65810525180754
1.580001,288.93200738274857
1.600001,326.0052824958352
1.620001,310.8605809196947
1.640001,268.1406855865908
1.660001,399.16172903082463
1.680001,374.8762365480372
1.700001,393.214433028783
1.7200010000000001,585.8776477814474
1.7400010000000001,533.4100374730026
1.7600010000000001,509.91060308214924
1.7800010000000002,690.6119005302976
1.8000010000000002,864.752597647465
1.8200010000000002,1426.5718627125536
1.8400009999999998,1410.793082394869
1.8600009999999998,1952.9887450798683
1.8800009999999998,2391.7456098113707
1.9000009999999998,3123.6604593503175
1.9200009999999998,3627.714703255929
1.9400009999999999,8464.696696926098
1.9600009999999999,5518.887756099864
1.980001,5654.151725633056
2.000001,5260.584771464745
2.020001,3234.1498783501634
2.040001,7203.182396037291
2.060001,3826.296403820934
2.080001,4961.49097728424
2.1000010000000002,4175.414680467405
2.1200010000000002,4878.394431852878
2.1400010000000003,6643.333247698184
2.1600010000000003,18279.739428732417
2.1800010000000003,14133.363576834536
2.2000010000000003,11237.292134690113
2.2200010000000003,12936.148871312482
2.2400010000000004,3866.26415197374
2.2600010000000004,16641.12865663706
2.2800010000000004,18350.435179064232
2.3000010000000004,3575.037305233152
2.3200010000000004,22597.350787945652
2.340001,30577.298783504393
2.360001,19983.09176783518
2.380001,25221.19573746939
2.400001,28128.152663263434
2.420001,25917.53640610154
2.440001,30208.29486525355
2.460001,25305.47285557888
2.480001,35549.14491596316
2.500001,24308.81407708781
2.5200010000000006,25705.67906955578
2.540001,22810.56558740636
2.5600010000000006,33206.016903831645
2.580001,31051.751653515086
2.600001,32329.976655138144
2.6200010000000002,33847.15686379906
2.640001,37894.93987739452
2.6600010000000003,38751.96516070409
2.680001,43030.55806176539
2.7000010000000003,40979.95032193602
2.720001,44308.161685691084
2.7400010000000004,40350.813113201184
2.760001,33107.065729048845
2.7800010000000004,35239.10381624553
2.800001,35554.23472086592
2.8200010000000004,29297.55094965428
2.840001,31509.027437086334
2.8600010000000005,26477.546603866085
2.880001,43800.30418923406
2.9000010000000005,34246.595844236734
2.920001,29296.750510265712
2.9400010000000005,21404.28559322735
2.960001,22440.26608629353
2.9800010000000006,33369.45215217076
3.000001,35073.56413537606
3.0200010000000006,30518.773299835386
3.040001,25543.859027909934
3.0600010000000006,23089.72904016637
3.080001,26141.274199976197
3.1000010000000007,15451.834464715208
3.1200010000000002,7583.887967743721
3.140001,5762.412545052825
3.1600010000000003,3453.4701811059344
3.180001,4716.530115689416
3.2000010000000003,4432.455827239518
3.220001,3238.394117764564
3.2400010000000004,2140.676210401791
3.260001,3165.3900902660894
3.2800010000000004,1592.5476522706049
3.300001,2025.2581553043701
3.3200010000000004,2275.807871591609
3.340001,4123.2351970334585
3.3600010000000005,2006.4981190794956
3.380001,1620.4042925477315
3.4000010000000005,969.376890528644
3.420001,762.5051842141049
3.4400010000000005,1857.6945137254688
3.460001,677.3920333871632
3.4800010000000006,1940.745022014159
3.500001,1361.316538351031
3.5200010000000006,955.7057172625582
3.540001,834.563407719069
3.5600010000000006,1204.8054421402007
3.580001,995.0345693387109
