# ********************
time (s),Line brightness (photons/cm^2/ster/s),SX/B,Flux BD (molecules/s)
1e-06,18049203126.18809,0.33663329257924596,100976576460.19551
0.013889888888888839,65526401221.90303,0.33667802736500374,366637291017.9865
0.02777877777777768,23025009229.766464,0.3368127053856703,128882461934.94342
0.04166766666666652,18859022339.29451,0.33692735112750394,105599287346.13661
0.05555655555555536,5100285258.944297,0.3358596677773608,28468059551.964714
0.06944544444444442,15290509508.857166,0.33196793599213376,84357488255.55077
0.08333433333333326,13638686234.407919,0.33315714922728495,75513955607.06096
0.0972232222222221,10507150066.782999,0.3764004489843232,65726516084.74388
0.11111211111111094,-2849134024.186057,0.4797668308406833,-22716877864.60511
0.125001,32785319269.63587,0.5534316085570344,301542771188.58466
0.13888988888888884,11319498575.918383,0.5793373288376513,108984377141.46004
0.15277877777777768,3882033199.837528,0.5819398618686252,37544203619.544815
0.16666766666666652,6705497381.855524,0.5871489748418988,65431194526.94198
0.18055655555555536,7202947499.547917,0.6016169954625323,72017143338.55153
0.19444544444444442,11563370072.379887,0.6268432154757639,120461675481.82077
0.20833433333333326,-1646871450.1779876,0.6631250222091797,-18149332675.648544
0.2222232222222221,15661543772.254004,0.6994237913037372,182045737387.0805
0.23611211111111094,7794055201.727699,0.7090610256240296,91844390542.86147
0.250001,34014274345.12326,0.6870924245300075,388402409333.1327
0.2638898888888888,8376912862.95471,0.651014302368803,90631688784.41843
0.27777877777777765,19795989824.416084,0.64491816620159,212171661365.55008
0.2916676666666665,16478333689.820297,0.6773055922864528,185482738530.47784
0.30555655555555533,6134163507.139429,0.7139904202918784,72786909119.13687
0.3194454444444444,40778219615.77776,0.7405851045763616,501890272085.0178
0.33333433333333323,34348519487.072784,0.7489202088972376,427512794818.59753
0.34722322222222207,18559872152.300148,0.7111606931228961,219355369402.45923
0.3611121111111109,28592469311.85228,0.6514959145272926,309577155172.43713
0.375001,9281804175.800314,0.6462079769595284,99680512239.18161
0.3888898888888888,102033772161.45389,0.6658229042968183,1129037113559.4878
0.40277877777777765,18139410980.802208,0.6430407374383279,193850627986.24948
0.4166676666666665,39394905871.274605,0.5452118258659738,356952870814.21075
0.43055655555555533,7342403455.831945,0.46886022683147976,57212006961.894936
0.4444454444444444,3160406103.8508644,0.5178075689610444,27196738844.8581
0.45833433333333323,25482693562.634285,0.716338951968918,303367773139.9685
0.47222322222222207,7191004640.643338,0.8530506554484681,101945940019.66357
0.4861121111111109,40143778173.612015,0.8903942023039225,594026900384.9973
0.500001,49818893017.84095,0.9374511294816618,776154633746.734
0.5138898888888889,27494633530.264366,1.0403156904606827,475355615723.74854
0.5277787777777777,27959636662.21149,1.0276300696290708,477500545300.36505
0.5416676666666665,88926036751.54999,0.9006359880908833,1331017540065.7131
0.5555565555555554,24476119608.848904,0.8170454807163176,332348974994.6796
0.5694454444444442,21302856683.316467,0.7842452606001689,277648475479.8912
0.5833343333333331,27883468417.033333,0.6197333735215811,287182005116.444
0.5972232222222223,41272107076.44326,0.40081865553697976,274922391613.7967
0.6111121111111112,37022146325.38351,0.346495818633648,213189168539.83844
0.625001,39216869656.6141,0.3914292757060073,255112520556.561
0.6388898888888889,5442132278.445692,0.4303008154896678,38917667884.14353
0.6527787777777777,52178902958.33436,0.4190278706397514,363365255836.43805
0.6666676666666665,16598141559.585217,0.3771648706200586,104039018018.96358
0.6805565555555554,-1475184248.7349114,0.32878256563356123,-8060474184.985067
0.6944454444444442,13493521576.286686,0.31911235613965144,71560682363.53447
0.7083343333333331,32994182915.411392,0.337997200312702,185334395322.8413
0.7222232222222223,10870459983.125977,0.363655358220871,65696685208.94466
0.7361121111111112,8898672631.254875,0.33714582241367574,49859573296.063255
0.750001,17963390424.299606,0.3022986959096706,90246450074.58081
0.7638898888888889,48362296339.01007,0.333596111050433,268122609631.35904
0.7777787777777777,8603336255.02629,0.41112232769481577,58781884570.79739
0.7916676666666665,62700773680.660706,0.4917342109676472,512399702086.4638
0.8055565555555554,24965657487.060154,0.5563099400516927,230815714122.24164
0.8194454444444442,27256140446.068428,0.57753474200286,261606191163.7814
0.8333343333333331,67711518394.80017,0.5558904780054339,625543235985.5927
0.8472232222222219,111599347200.26453,0.5295093932403288,982066434122.7465
0.8611121111111112,64168139006.57498,0.5335083863580417,568939700058.6552
0.875001,109441091365.43082,0.555980736850503,1011220126254.7537
0.8888898888888889,176673143524.60632,0.5819511749507027,1708687453616.1997
0.9027787777777777,34025886734.74997,0.5830586150292245,329706275498.4313
0.9166676666666665,54405000741.07855,0.563773498822001,509740361386.4598
0.9305565555555554,86954782303.29147,0.5650776953585076,816595875652.7614
0.9444454444444442,143062023475.6635,0.6007976351861684,1428427237242.48
0.9583343333333331,334868791465.76245,0.6309974315124831,3511622402506.8867
0.9722232222222219,501089243122.8882,0.6538456716182014,5444974844535.518
0.9861121111111112,779602782002.8043,0.8217411473587166,10646674069692.066
1.000001,1065792855555.8679,1.264548084821741,22398229876475.188
1.0138898888888888,1929014605344.3723,1.709681014864435,54809539056095.93
1.0277787777777776,1598074077525.028,1.968400225241294,52277626022770.734
1.0416676666666664,1583721804781.4963,2.134859018686283,56189302538471.85
1.0555565555555553,1206223870997.833,2.2904372955773717,45914712611792.016
1.0694454444444441,1810494905080.8684,2.458147103505855,73962353260282.5
1.083334333333333,2200109478099.5566,2.5805394875671817,94354006430080.53
1.0972232222222218,1400863629293.5251,2.574523439785264,59937448971189.945
1.111112111111111,2356870988698.2373,2.424266249194013,94955837941338.53
1.125001,1587248827526.6548,2.2817126712665337,60188221961426.91
