label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Lorentzian;433.18395406522154;423806728223.30035;0.1978377343060278;;;
2;Lorentzian;432.7627251896894;650053984349.1163;0.43019105388648615;;;
3;Lorentzian;431.67668629225324;654342345845.2365;0.33420375805450764;;;
4;Lorentzian;431.5664527701242;378792609080.3973;0.04738736272149602;;;
5;Lorentzian;431.0835868766296;701031939612.9642;0.25514599467025834;;;
6;Lorentzian;430.9631473023539;467920321320.004;0.06844005952660881;;;
7;Lorentzian;430.69557425090164;1091462159019.7782;0.10532856520903966;;;
8;Lorentzian;430.3658896988202;704599219099.4796;0.2593589441989952;;;
9;Lorentzian;429.81843774761273;819432948525.3279;0.25489880982260127;;;
10;Lorentzian;429.73241968331763;207629507312.35727;0.03600533241994164;;;
