label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Lorentzian;433.1686011075083;230495794308.54492;0.23077682135110855;;;
2;Lorentzian;432.7377014608778;478192729970.89734;0.39956891134206307;;;
3;Lorentzian;431.662634805136;466888877563.46;0.38078561619816487;;;
4;Lorentzian;431.57035972821046;357406978679.0061;0.026425971380850122;;;
5;Lorentzian;431.0790760138368;509827459589.45526;0.21881401057908256;;;
6;Lorentzian;430.95762003058076;470687598554.11285;0.04175651191936636;;;
7;Lorentzian;430.6941419499124;708090217504.3557;0.09052447011612674;;;
8;Lorentzian;430.3442635188484;424447050618.92395;0.4033734078631168;;;
9;Lorentzian;429.8560647965282;444799439334.4679;0.1153568394122284;;;
10;Lorentzian;429.7477070915999;383626570399.84625;0.1653795506529998;;;
