t (s),q (A)
0.0,0.0
2.0000000001346052e-05,1.1167086286651108e-05
4.000000000041836e-05,2.2320591323466602e-05
6.0000000001309684e-05,3.346530428299179e-05
8.000000000083674e-05,4.46039608416556e-05
9.999999999990905e-05,5.574088242456219e-05
0.00012000000000080037,6.688403026669138e-05
0.00014000000000032742,7.804440382221453e-05
0.00016000000000121874,8.922078092421424e-05
0.00018000000000029104,0.00010040305975782928
0.0001999999999998181,0.00011159166943831004
0.0002200000000007094,0.00012278307280497703
0.00023999999999978176,0.00013398626636770884
0.00026000000000112776,0.0001451970818531701
0.00028000000000020006,0.0001564112113239206
0.0003000000000010914,0.00016762335215450672
0.00032000000000061846,0.00017883835524074569
0.00033999999999969076,0.00019005875963366636
0.0003600000000005821,0.00020128058484365213
0.00038000000000010915,0.0002124964765338516
0.0004000000000010004,0.0002237123173833089
0.00042000000000007277,0.0002349228847021299
0.0004400000000014188,0.0002461287567661357
0.0004600000000004911,0.00025732952953411126
0.0004799999999995634,0.0002685278640428726
0.0005000000000009095,0.000279724612529004
0.0005199999999999818,0.0002909239458763623
0.0005400000000008731,0.0003021334000849033
0.0005600000000004002,0.0003133528785804462
0.0005800000000012915,0.00032457137108397725
0.0006000000000003638,0.00033578836156850864
0.0006199999999998909,0.00034700453311325286
0.0006400000000007822,0.0003582212204472913
0.0006599999999998545,0.0003694404765518993
0.0006800000000012006,0.0003806702977553752
0.0006999999999998182,0.00039190343884946635
0.0007200000000011642,0.000403133572883591
0.0007400000000006913,0.0004143657363876684
0.0007599999999997636,0.00042561077026948935
0.0007800000000006548,0.00043687491679066966
0.000800000000000182,0.00044815061776394636
0.0008200000000006185,0.00045942308745029986
0.0008400000000001455,0.00047069448763000025
0.0008600000000014916,0.00048197642028875655
0.0008800000000005639,0.0004932784727921466
0.0008999999999996362,0.0005046014718834911
0.0009200000000009823,0.0005159392346177126
0.0009400000000000546,0.0005272746314883355
0.0009600000000009459,0.0005386117226764851
0.000980000000000473,0.0005499517726152973
0.0010000000000013642,0.000561293059615209
0.0010200000000004366,0.0005726473093690788
0.0010399999999999635,0.0005840143344981848
0.001060000000000855,0.0005953783711498904
0.0010799999999999272,0.0006067427012104241
0.0011000000000012731,0.0006181141851501701
0.0011200000000003455,0.000629486058319658
0.0011400000000012368,0.0006408497568491861
0.001160000000000764,0.0006522158045932221
0.0011799999999998363,0.0006635935226910791
0.0012000000000007276,0.0006749853927711667
0.0012200000000002545,0.0006863800360600715
0.001240000000001146,0.0006977775416819089
0.0012600000000002182,0.0007091697476183348
0.0012800000000015642,0.0007205642394100557
0.0013000000000006366,0.0007319602077338616
0.001319999999999709,0.0007433582721998057
0.001340000000001055,0.0007547502782594247
0.0013600000000001274,0.0007661399714490883
0.0013800000000010186,0.0007775165763726169
0.0014000000000005456,0.0007888781878703747
0.001419999999999618,0.0008002252383985753
0.0014400000000005092,0.0008115673701194135
0.0014600000000000364,0.0008229033542185688
0.0014800000000009276,0.0008342355280287682
0.0015,0.0008455745941602792
0.001520000000001346,0.0008569308008806635
0.0015400000000004184,0.0008683070187981521
0.0015599999999994906,0.0008797091418317634
0.0015800000000008366,0.0008911306600985166
0.001599999999999909,0.0009025648324204061
0.0016200000000008003,0.0009140115053391349
0.0016400000000003274,0.0009254682588325849
0.0016600000000012187,0.0009369237526656002
0.001680000000000291,0.0009483779476835112
0.001699999999999818,0.0009598162074156303
0.0017200000000007095,0.0009712403575020358
0.0017399999999997817,0.000982659531393967
0.0017600000000011276,0.0009940848356621362
0.0017800000000002,0.0010055224722744834
0.0018000000000010913,0.0010169640776688102
0.0018200000000006184,0.0010283964749534657
0.0018399999999996906,0.0010398265411513353
0.001860000000000582,0.0010512531347199076
0.001880000000000109,0.0010626774765231269
0.0019000000000010005,0.0010741015449271753
0.0019200000000000727,0.0010855231181961713
0.0019400000000014187,0.001096940631600012
0.0019600000000004913,0.00110836088903151
0.0019799999999995637,0.0011198003284831114
0.0020000000000009095,0.0011312712036094979
0.002019999999999982,0.0011427687690701675
0.002040000000000873,0.0011542753284885536
0.0020600000000004005,0.0011657764521380378
0.0020800000000012918,0.0011772750408017272
0.002100000000000364,0.0011887755452495772
0.002119999999999891,0.001200287844792089
0.0021400000000007823,0.0012118111342894746
0.0021599999999998547,0.0012233440733943825
0.0021800000000012005,0.0012348716008624939
0.0021999999999998184,0.0012463906345593176
0.002220000000001164,0.0012578937982959974
0.0022400000000006915,0.001269394125336654
0.002259999999999764,0.0012808997072905177
0.002280000000000655,0.0012924165380439154
0.002300000000000182,0.0013039581456189657
0.0023200000000006184,0.0013155192965584102
0.0023400000000001458,0.0013270773638253445
0.0023600000000014915,0.001338628219820095
0.002380000000000564,0.0013501714913178365
0.0023999999999996364,0.0013617180593035174
0.0024200000000009826,0.001373277538550062
0.002440000000000055,0.0013848600216275287
0.0024600000000009462,0.0013964617928794794
0.002480000000000473,0.0014080793022750344
0.0025000000000013644,0.0014197053221092792
0.002520000000000437,0.0014313320192357523
0.0025399999999999637,0.0014429609210184825
0.002560000000000855,0.0014545951800636787
0.0025799999999999274,0.0014662284956691648
0.0026000000000012736,0.0014778656920159201
0.002620000000000346,0.0014895143365237773
0.002639999999999873,0.0015011785417317518
0.002660000000000764,0.0015128514824425381
0.0026799999999998366,0.0015245319069229905
0.002700000000000728,0.0015362234315252831
0.0027200000000002548,0.001547929337438475
0.002740000000001146,0.001559641267726856
0.0027600000000002184,0.001571357962120119
0.0027799999999997453,0.0015830808544664895
0.002800000000000637,0.0015948111636462628
0.002820000000000164,0.001606552372699412
