# Total D retention: 6.103E+20 1/m^2
Peak,r_m,r_m_error,Ea,Ea_error,Tm,Tm_error
1,8.592962930402552e+16,0.0,0.43489344728556306,0.030106316690795498,456.5459092527597,1.797984291878663
2,1.781925758501069e+17,0.0,0.31820523558994257,0.008207821191355713,577.3146951769567,1.5058399699464644
3,1.1870986638637005e+18,0.0,0.671716348213092,0.0016267390712424445,871.9958541850262,0.18064759210506054
